Taxon	fad_Ma	lad_Ma	body_length_m	log10(body_length_m)	skull_length_mm	math.log10(skull_length_mm)	orbit_length_mm	math.log10(orbit_length_mm)
Acamptonectes_densus	132.9	129.4						
Aegirosaurus_leptospondylus	153.96	149.87	1.77	0.247973266	570	2.755874856	104	2.017033339
Arthropterygius_chrisorum	163.47	152.06						
Athabascasaurus_bitumineus	113	111.5	3.5	0.544068044			225	2.352182518
Barracudasauroides_panxianensis	244.94	243.99			212	2.326335861	40	1.602059991
Besanosaurus_leptorhynchus	242.1	241.5	5.5	0.740362689	510	2.707570176	75	1.875061263
Brachypterygius_alekseevi	149.6	147.9						
Brachypterygius_extremus	151	150					148	2.170261715
Brachypterygius_pseudoscythica	150.1	149.5						
Californosaurus_perrini	233.5	228.35						
Callawayia_neoscapularis	221.5	217.5			453	2.656098202	90	1.954242509
Cartorhynchus_lenticarpus	247.9	247.71	0.4	-0.397940009	55	1.740362689	20	1.301029996
Caypullisaurus_bonapartei	152.1	139.4			1300	3.113943352	255	2.40654018
Chacaicosaurus_cayi	170.3	169.45			980	2.991226076	130	2.113943352
Chaotusaurus_chaoxianensis	248.09	247.71	1	0	117	2.068185862	30	1.477121255
Chaohusaurus_geishanensis	248.09	247.71						
Chaohusaurus_zhangjiawanensis	247.9	247.1						
Contectopalatus_atavus	244.94	241.5			130	2.113943352	34	1.531478917
Cryopterygius_kristiansenae	148.3	147.4	5.5	0.740362689	1220	3.086359831	270	2.431363764
Cymbospondylus_buchseri	242.57	240.3	5.5	0.740362689			158	2.198657087
Cymbospondylus_nichollsi	243.99	243.05					200	2.301029996
Cymbospondylus_petrinus	243.99	241.5	9.5	0.977723605	1166	3.06669855	198	2.29666519
Cymbospondylus_piscosus	247.1	241.5						
Dearcmhara_shawcrossi	174.43	169.45						
Eurhinosaurus_longirostris	182.7	180.81	5.07	0.705007959	1250	3.096910013	180	2.255272505
Excalibosaurus_costini	199.3	197.8			1540	3.187520721		
Grippia_longirostris	247.9	247.71					43	1.633468456
Guizhouichthyosaurus_tangae	233.5	228.35	6	0.77815125	800	2.903089987	175	2.243038049
Guizhouichthyosaurus_wolonggangense	233.5	228.35			645	2.809559715	122	2.086359831
