Taxon,Bodylength.m,Bodylength.mm,Skulllength.mm,Orbitlength.mm,Eye.scleroticring.diameter.mm
Aegirosaurus_leptospondylus,1.77,1770,570,104,NA
Arthropterygius_chrisorum,NA,NA,NA,NA,NA
Athabascasaurus_bitumineus,3.5,3500,NA,225,169
Barracudasauroides_panxianensis,NA,NA,212,40,NA
Besanosaurus_leptorhynchus,5.5,5500,510,75,63
Brachypterygius_extremus,NA,NA,1155,148,NA
Callawayia_neoscapularis,NA,NA,453,90,NA
Cartorhynchus_lenticarpus,0.4,400,55,20,NA
Caypullisaurus_bonapartei,NA,NA,1300,255,167
Chacaicosaurus_cayi,NA,NA,980,130,NA
Chaohusaurus_geishanensis,1,1000,117,30,NA
Contectopalatus_atavus,NA,NA,130,34,NA
Cryopterygius_kristiansenae,5.5,5500,1220,270,NA
Cymbospondylus_buchseri,5.5,5500,NA,158,NA
Cymbospondylus_nichollsi,NA,NA,NA,200,144
Cymbospondylus_petrinus,9.5,9500,1166,198,116
Eurhinosaurus_longirostris,5.07,5070,1250,180,NA
Excalibosaurus_costini,NA,NA,1540,NA,177
Grippia_longirostris,NA,NA,NA,43,NA
Guizhouichthyosaurus_tangae,6,6000,800,175,NA
Guizhouichthyosaurus_wolonggangense,NA,NA,645,122,NA
Gulosaurus_helmi,NA,NA,87,NA,NA
Hauffiopteryx_typicus,1.7,1700,380,116,99
Hudsonelpidia_brevirostris,NA,NA,131,47,NA
Hupehsuchus_nanchangensis,0.74,740,126,NA,NA
Ichthyosaurus_breviceps,1.5,1500,240,77.5,NA
Ichthyosaurus_communis,1.5,1500,256,67.5,NA
Ichthyosaurus_conybeari,0.87,870,216,52,NA
Janusaurus_lundi,4,4000,NA,220,NA
Leninia_stellans,NA,NA,NA,265,57
Leptonectes_moorei,NA,NA,328,107.2,NA
Leptonectes_solei,8,8000,1585,240,NA
Leptonectes_tenuirostris,NA,NA,523,114,NA
Macgowania_janiceps,NA,NA,505,150,NA
Mixosaurus_cornalianus,0.9,900,195,45,NA
Mollesaurus_periallus,NA,NA,NA,376,224
Nannopterygius_enthekiodon,3,3000,600,130,NA
Ophthalmosaurus_icenicus,4.12,4120,965,255,197
Ophthalmosaurus_natans,NA,NA,1082,234,NA
Ophthalmosaurus_yasykovi,NA,NA,NA,120,NA
Palvennia_hoybergeti,NA,NA,860,290,NA
Parvinatator_wapitiensis,NA,NA,120,25,NA
Phalarodon_callawayi,1.5,1500,300,65.5,60
Platypterygius_americanus,NA,NA,1250,150,NA
Platypterygius_australis,5.6,5600,1430,230,NA
Platypterygius_bedengensis,NA,NA,1400,220,NA
Platypterygius_hercynicus,4.65,4650,1040,NA,NA
Platypterygius_ochevi,3.6,3600,NA,NA,NA
Platypterygius_platydactylus,5,5000,1170,NA,NA
Platypterygius_sachicarum,NA,NA,870,143,NA
Qianichthyosaurus_zhoui,1.21,1210,240,83,NA
Shastasaurus_alexandrae,NA,NA,NA,130,NA
Shastasaurus_liangae,6.44,6440,750,NA,NA
Shastasaurus_sikkaniensis,21,21000,3000,NA,NA
Shonisaurus_popularis,13.7,13700,2750,300,220
Stenopterygius_aaleniensis,NA,NA,NA,118,95
Stenopterygius_quadriscissus,2.69,2690,625,114,NA
Stenopterygius_triscissus,2.39,2390,634,107,80
Stenopterygius_uniter,1.93,1930,537,107,NA
Suevoleviathan_disinteger,4.31,4310,860,170,150
Suevoleviathan_integer,3.05,3050,690,NA,NA
Sveltonectes_insolitus,NA,NA,570,130,NA
Temnodontosaurus_eurycephalus,NA,NA,1020,200,NA
Temnodontosaurus_nuertingensis,NA,NA,NA,NA,NA
Temnodontosaurus_platyodon,6.38,6380,1790,237,NA
Temnodontosaurus_trigonodon,5.17,5170,1090,150,NA
Thalattoarchon_saurophagis,8.6,8600,1200,308,NA
Utatsusaurus_hataii,3,3000,215,NA,40.5
Xinminosaurus_catactes,2.32,2320,290,NA,NA
Chaohusaurus_zhangjiawanensis,0.7,700,NA,NA,NA
Ichthyosaurus_anningae,1.5,1500,390,NA,NA
Ichthyosaurus_larkini,2.5,2500,355,NA,NA
Ichthyosaurus_somersetensis,3,3000,438,NA,NA
Qianichthyosaurus_xingyiensis,1.3,1300,270,NA,NA
Sclerocormus_parviceps,1.6,1600,100,NA,NA
Acamptonectes_densus,NA,NA,1000,NA,NA
Mixosaurus_kuhnschneyderi,NA,NA,160,NA,NA
Phalarodon_fraasi,NA,NA,205,NA,NA
Temnodontosaurus_azerguensis,NA,NA,1700,NA,NA
Wimanius_odontopalatus,NA,NA,250,NA,NA
