Taxon	FAD	LAD
Acamptonectes_densus	132.90	129.40
Aegirosaurus_leptospondylus	153.96	149.87
Arthropterygius_chrisorum	163.47	152.06
Athabascasaurus_bitumineus	113.00	111.50
Barracudasauroides_panxianensis	244.94	243.99
Besanosaurus_leptorhynchus	242.10	241.50
Brachypterygius_extremus	151.00	150.00
Brachypterygius_pseudoscythica	150.10	149.50
Californosaurus_perrini	233.50	228.35
Callawayia_neoscapularis	221.50	217.50
Cartorhynchus_lenticarpus	247.70	247.20
Caypullisaurus_bonapartei	152.10	139.40
Chacaicosaurus_cayi	170.30	169.45
Chaohusaurus_chaoxianensis	247.90	247.20
Chaohusaurus_geishanensis	247.90	247.20
Chaohusaurus_zhangjiawanensis	247.90	247.20
Contectopalatus_atavus	244.94	241.50
Cryopterygius_kielanae	149.00	147.00
Cryopterygius_kristiansenae	148.30	147.40
Cymbospondylus_buchseri	242.57	240.30
Cymbospondylus_nichollsi	243.99	243.05
Cymbospondylus_petrinus	243.99	241.50
Cymbospondylus_piscosus	247.20	241.50
Dearcmhara_shawcrossi	174.43	169.45
Eurhinosaurus_longirostris	182.70	180.36
Excalibosaurus_costini	199.30	197.80
Gengasaurus_nicosiai	155.00	150.00
Grendelius_alekseevi	149.60	147.90
Grendelius_zhuravlevi	149.60	147.90
Grippia_longirostris	247.70	247.20
Guizhouichthyosaurus_tangae	233.50	228.35
Guizhouichthyosaurus_wolonggangense	233.50	228.35
Gulosaurus_helmi	247.70	247.20
Hauffiopteryx_typicus	182.70	181.25
Himalayasaurus_tibetensis	228.40	209.50
Hudsonelpidia_brevirostris	226.50	221.25
Hupehsuchus_nanchangensis	247.90	247.20
Ichthyosaurus_acutirostris	180.36	175.60
Ichthyosaurus_anningae	193.81	189.35
Ichthyosaurus_breviceps	200.10	196.31
Ichthyosaurus_communis	201.30	196.31
Ichthyosaurus_conybeari	200.10	196.31
Ichthyosaurus_larkini	201.30	200.85
Ichthyosaurus_somersetensis	201.30	200.85
Isfjordosaurus_minor	247.70	247.20
Janusaurus_lundi	148.30	147.40
Keilhauia_nui	145.00	143.00
Leninia_stellans	126.30	123.00
Leptonectes_moorei	190.82	187.56
Leptonectes_solei	195.31	193.81
Leptonectes_tenuirostris	201.30	190.80
Macgowania_janiceps	220.00	216.90
Maiaspondylus_lindoei	111.27	110.22
Malawania_anachronus	131.00	125.00
Mikadocephalus_gracilirostris	242.57	240.30
Mixosaurus_cornalianus	242.57	240.30
Mixosaurus_kuhnschneyderi	242.57	240.30
Mixosaurus_xindianensis	244.94	241.50
Mollesaurus_periallus	170.30	169.45
Muiscasaurus_catheti	130.77	115.64
Nannopterygius_enthekiodon	154.60	149.87
Ophthalmosaurus_icenicus	165.59	161.39
Ophthalmosaurus_natans	163.50	157.30
Ophthalmosaurus_yasykovi	147.50	146.40
Palvennia_hoybergeti	148.30	147.40
Paraophthalmosaurus_kabanovi	147.50	146.90
Paraophthalmosaurus_saveljeviensis	149.60	146.90
Parvinatator_wapitiensis	247.70	247.20
Pervushovisaurus_bannovkensis	96.24	95.47
Pervushovisaurus_campylodon	100.45	96.50
Pessopteryx_nisseri	247.70	247.20
Phalarodon_callawayi	243.99	239.10
Phalarodon_fraasi	244.94	237.00
Phalarodon_major	244.94	237.00
Phantomosaurus_neubigi	244.94	241.50
Platypterygius_americanus	107.59	100.50
Platypterygius_australis	113.00	100.50
Platypterygius_hauthali	130.77	129.41
Platypterygius_hercynicus	125.00	113.00
Platypterygius_platydactylus	125.00	113.00
Platypterygius_sachicarum	130.77	113.00
Qianichthyosaurus_xingyiensis	241.50	237.00
Qianichthyosaurus_zhoui	237.00	228.35
Quasianosteosaurus_vikinghoegdai	247.70	247.20
Sclerocormus_parviceps	247.90	247.70
Shastasaurus_liangae	233.50	228.35
Shastasaurus_pacificus	233.50	228.35
Shastasaurus_sikkaniensis	216.90	214.70
Shonisaurus_popularis	233.50	228.35
Simbirskiasaurus_birjukovi	130.77	129.41
Sisteronia_seeleyi	100.50	96.24
Stenopterygius_aaleniensis	174.10	172.13
Stenopterygius_quadriscissus	182.70	180.36
Stenopterygius_triscissus	182.70	180.36
Stenopterygius_uniter	181.70	180.36
Suevoleviathan_disinteger	181.70	180.36
Suevoleviathan_integer	181.70	180.36
Sveltonectes_insolitus	129.60	126.30
Temnodontosaurus_azerguensis	180.36	178.24
Temnodontosaurus_crassimanus	182.70	180.36
Temnodontosaurus_eurycephalus	199.30	197.80
Temnodontosaurus_nuertingensis	190.80	187.56
Temnodontosaurus_platyodon	200.10	196.31
Temnodontosaurus_trigonodon	182.70	180.36
Thaisaurus_chonglakmanii	250.01	247.20
Thalattoarchon_saurophagis	247.20	244.60
Tholodus_schmidi	241.00	237.00
Toretocnemus_californicus	233.50	228.35
Toretocnemus_zitteli	233.50	228.35
Undorosaurus_gorodischensis	147.90	146.90
Undorosaurus_trautscholdi	150.00	144.10
Utatsusaurus_hataii	247.70	247.20
Wahlisaurus_massarae	201.30	200.85
Wimanius_odontopalatus	241.50	237.00
Xinminosaurus_catactes	244.94	241.50
