"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",1.17768890153464,0.0417950849571095,9.99900009999e-05,0.000215363079076708
"2","E_Trias vs L_Trias",1.32430238104671,0.0593211092755598,9.99900009999e-05,0.000215363079076708
"3","E_Trias vs E_Jur",2.14467118591255,0.0593357503484065,9.99900009999e-05,0.000215363079076708
"4","E_Trias vs M_Jur",1.38729085061664,0.103627452790625,0.0033996600339966,0.0055994400559944
"5","E_Trias vs L_Jur",1.99131002995104,0.0711402941777399,9.99900009999e-05,0.000215363079076708
"6","E_Trias vs E_Cret",1.80811963000466,0.0759455033872535,9.99900009999e-05,0.000215363079076708
"7","E_Trias vs L_Cret",1.04040319813691,0.0797830544292949,0.0122987701229877,0.0191314201913142
"8","M_Trias vs L_Trias",1.15858208071815,0.0397338278490673,0.0003999600039996,0.0007999200079992
"9","M_Trias vs E_Jur",2.11248442400105,0.0489993664764311,9.99900009999e-05,0.000215363079076708
"10","M_Trias vs M_Jur",1.31950236421585,0.0649377302930211,0.0004999500049995,0.0009332400093324
"11","M_Trias vs L_Jur",1.91594159867316,0.0548729752356434,9.99900009999e-05,0.000215363079076708
"12","M_Trias vs E_Cret",1.76551546439122,0.0573861818253841,9.99900009999e-05,0.000215363079076708
"13","M_Trias vs L_Cret",1.01097904831145,0.0505212186705455,0.274072592740726,0.365430123654301
"14","L_Trias vs E_Jur",1.59518554509487,0.0435900384527134,9.99900009999e-05,0.000215363079076708
"15","L_Trias vs M_Jur",1.22044906561724,0.0858235249805221,0.0015998400159984,0.0027997200279972
"16","L_Trias vs L_Jur",1.66860793153536,0.0582033119822291,9.99900009999e-05,0.000215363079076708
"17","L_Trias vs E_Cret",1.54679502803136,0.0630141338722627,9.99900009999e-05,0.000215363079076708
"18","L_Trias vs L_Cret",0.961115401044525,0.0688423076119418,0.958104189581042,1
"19","E_Jur vs M_Jur",1.05589481341551,0.0390264236572931,0.0330966903309669,0.0487740699614249
"20","E_Jur vs L_Jur",1.3812349665841,0.033378292544905,9.99900009999e-05,0.000215363079076708
"21","E_Jur vs E_Cret",1.33616074369534,0.0357873095969293,9.99900009999e-05,0.000215363079076708
"22","E_Jur vs L_Cret",0.939219050435084,0.0348643755662217,0.991400859914009,1
"23","M_Jur vs L_Jur",0.901097085251851,0.0476743271137927,0.847315268473153,0.988534479885345
"24","M_Jur vs E_Cret",1.03097184314361,0.0685898326403881,0.0414958504149585,0.0580941905809419
"25","M_Jur vs L_Cret",0.975798054908305,0.196108854125569,1,1
"26","L_Jur vs E_Cret",0.969827687490182,0.0334771645158585,0.498250174982502,0.60656543041348
"27","L_Jur vs L_Cret",0.97746205049611,0.0515064684569113,0.951304869513049,1
"28","E_Cret vs L_Cret",1.0014814104398,0.066758834213723,0.471052894710529,0.599521865995219
