"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",2.13982716215936,0.0734330766703419,0.0001999800019998,0.000430726158153415
"2","E_Trias vs L_Trias",3.21678803643083,0.13283297651165,9.99900009999e-05,0.0002333100023331
"3","E_Trias vs E_Jur",9.73053714167237,0.222511265072018,9.99900009999e-05,0.0002333100023331
"4","E_Trias vs M_Jur",4.03625898056802,0.25169579672285,0.0027997200279972,0.0048995100489951
"5","E_Trias vs L_Jur",8.92886673694344,0.255630015258972,9.99900009999e-05,0.0002333100023331
"6","E_Trias vs E_Cret",7.44840839422214,0.252930762658247,9.99900009999e-05,0.0002333100023331
"7","E_Trias vs L_Cret",1.99219847188883,0.142379231962102,0.0032996700329967,0.0051328200513282
"8","M_Trias vs L_Trias",2.06070302635221,0.0685513916472855,0.0002999700029997,0.0005999400059994
"9","M_Trias vs E_Jur",9.31130088192724,0.185073745236272,9.99900009999e-05,0.0002333100023331
"10","M_Trias vs M_Jur",3.22899613779683,0.145260546980187,0.0013998600139986,0.00261307202613072
"11","M_Trias vs L_Jur",7.85464644477493,0.192258338482807,9.99900009999e-05,0.0002333100023331
"12","M_Trias vs E_Cret",6.51004948734027,0.183329777945288,9.99900009999e-05,0.0002333100023331
"13","M_Trias vs L_Cret",1.46280326847445,0.0714859664769431,0.0240975902409759,0.0337366263373663
"14","L_Trias vs E_Jur",5.35238737837245,0.132641157713537,9.99900009999e-05,0.0002333100023331
"15","L_Trias vs M_Jur",2.5734049255228,0.165243563487219,0.0032996700329967,0.0051328200513282
"16","L_Trias vs L_Jur",5.91265109530283,0.179646758876457,9.99900009999e-05,0.0002333100023331
"17","L_Trias vs E_Cret",5.02320207025705,0.179251537981397,9.99900009999e-05,0.0002333100023331
"18","L_Trias vs L_Cret",1.23216788264228,0.0865762611010965,0.0673932606739326,0.0786254707862547
"19","E_Jur vs M_Jur",1.36976686241689,0.0500467128310765,0.0374962503749625,0.0456476091521283
"20","E_Jur vs L_Jur",3.73425368283728,0.0853851013422626,9.99900009999e-05,0.0002333100023331
"21","E_Jur vs E_Cret",3.41106808849565,0.086551018633554,9.99900009999e-05,0.0002333100023331
"22","E_Jur vs L_Cret",1.39989070253733,0.051091105352756,0.027997200279972,0.035632800356328
"23","M_Jur vs L_Jur",0.93917180634558,0.0495888529841052,0.61033896610339,0.61033896610339
"24","M_Jur vs E_Cret",1.16068397958637,0.0765588136491209,0.133686631336866,0.140504468071711
"25","M_Jur vs L_Cret",1.28089124546415,0.242552096971194,0.1,0.112
"26","L_Jur vs E_Cret",1.16218052735442,0.0398523192140686,0.135486451354865,0.140504468071711
"27","L_Jur vs L_Cret",1.42474241511626,0.0733467854898057,0.0140985901409859,0.0207768696814529
"28","E_Cret vs L_Cret",1.43981350452431,0.0932532963628349,0.027997200279972,0.035632800356328
