"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",1.35881414631029,0.0479150552381994,1e-04,0.000215384615384615
"2","E_Trias vs L_Trias",1.48282264314471,0.0659535800589007,1e-04,0.000215384615384615
"3","E_Trias vs E_Jur",2.83512629995052,0.0769680081144267,1e-04,0.000215384615384615
"4","E_Trias vs M_Jur",1.69058899111915,0.123485482780602,0.0027,0.00378
"5","E_Trias vs L_Jur",3.11625113275263,0.107027897188563,1e-04,0.000215384615384615
"6","E_Trias vs E_Cret",2.87928504287884,0.115730216439759,1e-04,0.000215384615384615
"7","E_Trias vs L_Cret",1.80415275453044,0.130696377141895,0.0024,0.00353684210526316
"8","M_Trias vs L_Trias",1.13932476088827,0.0390992162734502,0.0157,0.0199818181818182
"9","M_Trias vs E_Jur",2.76324814351566,0.0631408375917154,1e-04,0.000215384615384615
"10","M_Trias vs M_Jur",1.56179595182187,0.0759562032169414,4e-04,8e-04
"11","M_Trias vs L_Jur",3.07336050930043,0.0851975104594997,1e-04,0.000215384615384615
"12","M_Trias vs E_Cret",2.80213813023013,0.0881116269212888,1e-04,0.000215384615384615
"13","M_Trias vs L_Cret",1.62247529046017,0.0786750992598216,6e-04,0.00112
"14","L_Trias vs E_Jur",1.75101618767717,0.0476453815245602,1e-04,0.000215384615384615
"15","L_Trias vs M_Jur",1.34866398141242,0.0939923036151314,0.0024,0.00353684210526316
"16","L_Trias vs L_Jur",2.35353177688867,0.0801788280462289,1e-04,0.000215384615384615
"17","L_Trias vs E_Cret",2.24131440829636,0.0887954712675217,1e-04,0.000215384615384615
"18","L_Trias vs L_Cret",1.41879766585884,0.0983991660565639,0.0024,0.00353684210526316
"19","E_Jur vs M_Jur",1.08558533589264,0.0400798181922275,0.0104,0.0138666666666667
"20","E_Jur vs L_Jur",1.73485765138289,0.0415685532193353,1e-04,0.000215384615384615
"21","E_Jur vs E_Cret",1.74073988690372,0.0461236290576213,1e-04,0.000215384615384615
"22","E_Jur vs L_Cret",1.26580791700892,0.0464247353631243,7e-04,0.001225
"23","M_Jur vs L_Jur",0.908381274240585,0.0480411972376556,0.823,0.823
"24","M_Jur vs E_Cret",1.08003985883137,0.0716204909895421,0.0402,0.0469
"25","M_Jur vs L_Cret",1.02755506972207,0.204384647303103,0.3,0.323076923076923
"26","L_Jur vs E_Cret",1.05554667869071,0.0363285774782839,0.296,0.323076923076923
"27","L_Jur vs L_Cret",0.960296036472804,0.0506477343299672,0.7925,0.821851851851852
"28","E_Cret vs L_Cret",1.1335416944272,0.0749026049100334,0.0173,0.0210608695652174
