"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",2.85219092591354,0.0955437720799804,9.99900009999e-05,0.000215363079076708
"2","E_Trias vs L_Trias",3.51861299597882,0.143507832052159,9.99900009999e-05,0.000215363079076708
"3","E_Trias vs E_Jur",16.0862881013178,0.321171496453828,9.99900009999e-05,0.000215363079076708
"4","E_Trias vs M_Jur",5.36125936795308,0.308805902517035,0.0025997400259974,0.00316490090121423
"5","E_Trias vs L_Jur",17.1071938044992,0.396852411272332,9.99900009999e-05,0.000215363079076708
"6","E_Trias vs E_Cret",14.1839701075476,0.391995960238453,9.99900009999e-05,0.000215363079076708
"7","E_Trias vs L_Cret",6.15782656465599,0.339127953597824,0.0037996200379962,0.0044328900443289
"8","M_Trias vs L_Trias",2.13676866199887,0.070902381272656,0.0004999500049995,0.0009332400093324
"9","M_Trias vs E_Jur",14.212091830627,0.25740904500096,9.99900009999e-05,0.000215363079076708
"10","M_Trias vs M_Jur",4.41979692670948,0.188720548711029,0.0010998900109989,0.0017109400171094
"11","M_Trias vs L_Jur",15.6322778064869,0.321438322685386,9.99900009999e-05,0.000215363079076708
"12","M_Trias vs E_Cret",12.8656318732004,0.307307719901778,9.99900009999e-05,0.000215363079076708
"13","M_Trias vs L_Cret",5.16746944157042,0.213819219015205,0.0006999300069993,0.00122487751224878
"14","L_Trias vs E_Jur",7.04192924086691,0.167497766349452,9.99900009999e-05,0.000215363079076708
"15","L_Trias vs M_Jur",3.13834120687042,0.194464918459796,0.0020997900209979,0.0027997200279972
"16","L_Trias vs L_Jur",10.454787560437,0.279130873284681,9.99900009999e-05,0.000215363079076708
"17","L_Trias vs E_Cret",9.12115340118202,0.283960955176858,9.99900009999e-05,0.000215363079076708
"18","L_Trias vs L_Cret",3.94144314784414,0.232650968010698,0.0025997400259974,0.00316490090121423
"19","E_Jur vs M_Jur",1.84676830576671,0.0663189453615797,0.0017998200179982,0.00251974802519748
"20","E_Jur vs L_Jur",6.61937913783202,0.14198771541469,9.99900009999e-05,0.000215363079076708
"21","E_Jur vs E_Cret",6.36184544977975,0.150178666255741,9.99900009999e-05,0.000215363079076708
"22","E_Jur vs L_Cret",4.28039267696678,0.141358559072542,0.0002999700029997,0.0005999400059994
"23","M_Jur vs L_Jur",0.99686483707442,0.0524752292351384,0.461753824617538,0.461753824617538
"24","M_Jur vs E_Cret",1.21055452774209,0.0795864822373303,0.211078892110789,0.218896628855633
"25","M_Jur vs L_Cret",1.38779583493272,0.257581370462241,0.1,0.107692307692308
"26","L_Jur vs E_Cret",1.72913232270896,0.0581628923420728,0.0053994600539946,0.00604739526047395
"27","L_Jur vs L_Cret",2.62190905931774,0.127141917451773,0.000999900009999,0.001646894134116
"28","E_Cret vs L_Cret",2.73433715617224,0.163396800880381,0.0017998200179982,0.00251974802519748
