"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",1.34857672899843,0.0475712323017239,9.99900009999e-05,0.000215363079076708
"2","E_Trias vs L_Trias",1.47594366956073,0.0656677063824291,9.99900009999e-05,0.000215363079076708
"3","E_Trias vs E_Jur",2.8015078690702,0.07612481203317,9.99900009999e-05,0.000215363079076708
"4","E_Trias vs M_Jur",1.67127065027464,0.122246914206257,0.0033996600339966,0.00501002531325815
"5","E_Trias vs L_Jur",3.10741872987169,0.106756932269047,9.99900009999e-05,0.000215363079076708
"6","E_Trias vs E_Cret",2.86010700465203,0.115048056877503,9.99900009999e-05,0.000215363079076708
"7","E_Trias vs L_Cret",1.78434295769727,0.129447080878155,0.0035996400359964,0.00503949605039496
"8","M_Trias vs L_Trias",1.13572147730469,0.0389803794009137,0.0146985301469853,0.0187072201870722
"9","M_Trias vs E_Jur",2.71818906140146,0.0621752437545802,9.99900009999e-05,0.000215363079076708
"10","M_Trias vs M_Jur",1.54615823599739,0.0752529119185155,0.0008999100089991,0.00157484251574842
"11","M_Trias vs L_Jur",3.03094482532671,0.084120603553982,9.99900009999e-05,0.000215363079076708
"12","M_Trias vs E_Cret",2.76302287906511,0.0869886625585062,9.99900009999e-05,0.000215363079076708
"13","M_Trias vs L_Cret",1.60066434876218,0.0776996470435849,0.0007999200079992,0.00149318401493184
"14","L_Trias vs E_Jur",1.73696761294789,0.0472811918296625,9.99900009999e-05,0.000215363079076708
"15","L_Trias vs M_Jur",1.33814675457363,0.0933277345725861,0.0026997300269973,0.0041995800419958
"16","L_Trias vs L_Jur",2.34031562267185,0.0797645005857894,9.99900009999e-05,0.000215363079076708
"17","L_Trias vs E_Cret",2.22411456287968,0.0881741381777868,9.99900009999e-05,0.000215363079076708
"18","L_Trias vs L_Cret",1.40966432949615,0.097827700719621,0.0023997600239976,0.0039525459218784
"19","E_Jur vs M_Jur",1.08158782720097,0.0399381245332525,0.0116988301169883,0.0155984401559844
"20","E_Jur vs L_Jur",1.7168977637937,0.0411559309494917,9.99900009999e-05,0.000215363079076708
"21","E_Jur vs E_Cret",1.72520024975555,0.0457307115226441,9.99900009999e-05,0.000215363079076708
"22","E_Jur vs L_Cret",1.25382027941336,0.0460053037173821,0.0007999200079992,0.00149318401493184
"23","M_Jur vs L_Jur",0.904084748021286,0.0478248357469894,0.842115788421158,0.842115788421158
"24","M_Jur vs E_Cret",1.07806006237664,0.0714985918557694,0.0432956704329567,0.0505116155051162
"25","M_Jur vs L_Cret",1.0269380388935,0.20428698960442,0.3,0.336
"26","L_Jur vs E_Cret",1.0486821823993,0.036100852211282,0.324867513248675,0.349857321960112
"27","L_Jur vs L_Cret",0.959901411324256,0.0506279748243275,0.797820217978202,0.827369114940358
"28","E_Cret vs L_Cret",1.1275518180831,0.0745363051234271,0.0188981101889811,0.0230063950126726
