"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",2.8452473212673,0.0953333470699645,1e-04,0.000215384615384615
"2","E_Trias vs L_Trias",3.55970693759033,0.144940937065578,1e-04,0.000215384615384615
"3","E_Trias vs E_Jur",16.3400826339677,0.324593877860303,1e-04,0.000215384615384615
"4","E_Trias vs M_Jur",5.40570167877568,0.310570741618957,0.0024,0.00318181818181818
"5","E_Trias vs L_Jur",17.6560719950263,0.404435653236,1e-04,0.000215384615384615
"6","E_Trias vs E_Cret",14.5681116165247,0.398382934544029,1e-04,0.000215384615384615
"7","E_Trias vs L_Cret",6.19704244635921,0.34055217844475,0.0029,0.00338333333333333
"8","M_Trias vs L_Trias",2.15934365811532,0.0715978332484129,5e-04,0.000875
"9","M_Trias vs E_Jur",14.387997242502,0.259767421802739,1e-04,0.000215384615384615
"10","M_Trias vs M_Jur",4.46842997950241,0.190401743252752,7e-04,0.00115294117647059
"11","M_Trias vs L_Jur",15.9803839405587,0.326260895789466,1e-04,0.000215384615384615
"12","M_Trias vs E_Cret",13.1224369287607,0.311530810787466,1e-04,0.000215384615384615
"13","M_Trias vs L_Cret",5.18227498968612,0.214300556581066,0.0011,0.00171111111111111
"14","L_Trias vs E_Jur",7.15171335530371,0.169666017962799,1e-04,0.000215384615384615
"15","L_Trias vs M_Jur",3.16157069324651,0.195622737000906,0.0025,0.00318181818181818
"16","L_Trias vs L_Jur",10.7212970514991,0.284223976626834,1e-04,0.000215384615384615
"17","L_Trias vs E_Cret",9.33717851905096,0.288744378658457,1e-04,0.000215384615384615
"18","L_Trias vs L_Cret",3.94073259035626,0.232618782531257,0.002,0.00294
"19","E_Jur vs M_Jur",1.82884428116323,0.0657175793103681,0.0029,0.00338333333333333
"20","E_Jur vs L_Jur",6.67909533148035,0.143085363674046,1e-04,0.000215384615384615
"21","E_Jur vs E_Cret",6.41111551086504,0.151165925103352,1e-04,0.000215384615384615
"22","E_Jur vs L_Cret",4.17710238386492,0.138419598102246,4e-04,8e-04
"23","M_Jur vs L_Jur",0.993804202206604,0.052322546427595,0.4747,0.4747
"24","M_Jur vs E_Cret",1.21206716893389,0.0796780053278476,0.2086,0.216325925925926
"25","M_Jur vs L_Cret",1.402205040044,0.259561610425764,0.1,0.107692307692308
"26","L_Jur vs E_Cret",1.72026249210015,0.0578818068163902,0.0052,0.005824
"27","L_Jur vs L_Cret",2.54368816363867,0.123818476184859,5e-04,0.000875
"28","E_Cret vs L_Cret",2.68547333204907,0.160946787580241,0.0021,0.00294
