"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",1.1276640899438,0.0400909256573127,9.99900009999e-05,0.000215363079076708
"2","E_Trias vs L_Trias",1.23254630363833,0.0554388276900441,9.99900009999e-05,0.000215363079076708
"3","E_Trias vs E_Jur",1.75911377864167,0.0491934388959147,9.99900009999e-05,0.000215363079076708
"4","E_Trias vs M_Jur",1.27887593354395,0.0963090505509856,0.0036996300369963,0.0060935082962292
"5","E_Trias vs L_Jur",1.73718002006527,0.0626300156976513,9.99900009999e-05,0.000215363079076708
"6","E_Trias vs E_Cret",1.62154349066124,0.0686468050363567,9.99900009999e-05,0.000215363079076708
"7","E_Trias vs L_Cret",0.985477874860961,0.0758907669288615,0.777322267773223,0.989319249893192
"8","M_Trias vs L_Trias",1.09824524899748,0.0377426624732746,0.0005999400059994,0.0011998800119988
"9","M_Trias vs E_Jur",1.73428365675795,0.0405829584201698,9.99900009999e-05,0.000215363079076708
"10","M_Trias vs M_Jur",1.24485640302876,0.0614900090297763,0.0008999100089991,0.00167983201679832
"11","M_Trias vs L_Jur",1.68307595717712,0.0485272978456466,9.99900009999e-05,0.000215363079076708
"12","M_Trias vs E_Cret",1.62044403011759,0.0529203308914711,9.99900009999e-05,0.000215363079076708
"13","M_Trias vs L_Cret",0.994919859440405,0.0497586320142545,0.653734626537346,0.871646168716462
"14","L_Trias vs E_Jur",1.38039636924638,0.0379434120298173,9.99900009999e-05,0.000215363079076708
"15","L_Trias vs M_Jur",1.15385716106696,0.0815224534157995,0.0024997500249975,0.00437456254374563
"16","L_Trias vs L_Jur",1.51773765987284,0.053220829715691,9.99900009999e-05,0.000215363079076708
"17","L_Trias vs E_Cret",1.42918341110892,0.0585031184652294,9.99900009999e-05,0.000215363079076708
"18","L_Trias vs L_Cret",0.91794096801885,0.0659537908752543,0.978102189781022,1
"19","E_Jur vs M_Jur",1.03409183890917,0.0382513991988753,0.0767923207679232,0.113167630605361
"20","E_Jur vs L_Jur",1.27210935396059,0.03082249426727,9.99900009999e-05,0.000215363079076708
"21","E_Jur vs E_Cret",1.25308999677958,0.033637209608328,9.99900009999e-05,0.000215363079076708
"22","E_Jur vs L_Cret",0.845064060334538,0.0314793087636241,0.997800219978002,1
"23","M_Jur vs L_Jur",0.897618376247703,0.0474990212193042,0.928307169283072,1
"24","M_Jur vs E_Cret",1.04840996735626,0.0696691523975307,0.0190980901909809,0.0297081402970814
"25","M_Jur vs L_Cret",0.946369248095994,0.191326041512222,1,1
"26","L_Jur vs E_Cret",0.960107964640657,0.0331527757359509,0.517348265173483,0.724287571242876
"27","L_Jur vs L_Cret",0.876312371752911,0.046423917685546,1,1
"28","E_Cret vs L_Cret",0.950534389929366,0.0635786230203011,0.957804219578042,1
