"","pairs","F.Model","R2","p.value","p.adjusted"
"1","E_Trias vs M_Trias",2.73853962619361,0.0920872262261834,0.0002999700029997,0.0005999400059994
"2","E_Trias vs L_Trias",4.35774694595899,0.17185071509886,9.99900009999e-05,0.0002333100023331
"3","E_Trias vs E_Jur",13.0038312358219,0.276654708646634,9.99900009999e-05,0.0002333100023331
"4","E_Trias vs M_Jur",5.95044886468169,0.331493040064834,0.0031996800319968,0.0052700612291712
"5","E_Trias vs L_Jur",14.7939276492379,0.362650239919085,9.99900009999e-05,0.0002333100023331
"6","E_Trias vs E_Cret",12.5090126127125,0.362485381807313,9.99900009999e-05,0.0002333100023331
"7","E_Trias vs L_Cret",2.8458038879758,0.191690790842302,0.0091990800919908,0.0143096801430968
"8","M_Trias vs L_Trias",2.57973005408203,0.0843607857073828,0.0001999800019998,0.000430726158153415
"9","M_Trias vs E_Jur",12.5408431237467,0.234229466554375,9.99900009999e-05,0.0002333100023331
"10","M_Trias vs M_Jur",4.44140588267371,0.189468409228667,0.0011998800119988,0.00223977602239776
"11","M_Trias vs L_Jur",12.2369294328566,0.27050751645333,9.99900009999e-05,0.0002333100023331
"12","M_Trias vs E_Cret",10.0405766625839,0.25718310334813,9.99900009999e-05,0.0002333100023331
"13","M_Trias vs L_Cret",1.60121995273838,0.077724520994959,0.0635936406359364,0.0847915208479152
"14","L_Trias vs E_Jur",6.85873763594914,0.163854383178023,9.99900009999e-05,0.0002333100023331
"15","L_Trias vs M_Jur",3.32283806067178,0.203569872366609,0.0026997300269973,0.00472452754724528
"16","L_Trias vs L_Jur",8.9225807585794,0.248383623062728,9.99900009999e-05,0.0002333100023331
"17","L_Trias vs E_Cret",7.56152301647747,0.247419705241804,9.99900009999e-05,0.0002333100023331
"18","L_Trias vs L_Cret",1.20542721192043,0.0848568081718024,0.201479852014799,0.216978302169783
"19","E_Jur vs M_Jur",1.44682240375614,0.0527136577951602,0.0734926507349265,0.093536100935361
"20","E_Jur vs L_Jur",4.69541646471276,0.105053646125433,9.99900009999e-05,0.0002333100023331
"21","E_Jur vs E_Cret",4.18779683607257,0.104205683460448,9.99900009999e-05,0.0002333100023331
"22","E_Jur vs L_Cret",1.17788074387668,0.0433396832879277,0.232876712328767,0.241501775748351
"23","M_Jur vs L_Jur",1.02414264388576,0.0538338396140503,0.351964803519648,0.351964803519648
"24","M_Jur vs E_Cret",1.39988849660883,0.0909025086069353,0.108089191080892,0.121059894010599
"25","M_Jur vs L_Cret",1.63707586554396,0.290412246453948,0.1,0.116666666666667
"26","L_Jur vs E_Cret",1.35721396510172,0.046231020651861,0.0833916608339166,0.101520282754333
"27","L_Jur vs L_Cret",1.66642939970006,0.0847347205652631,0.045995400459954,0.0677826954146691
"28","E_Cret vs L_Cret",1.72648659747715,0.109782091936168,0.0596940305969403,0.0835716428357164
