"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.516221373149638,27,0.609902026476277,0.954682980459076
"E_Trias vs L_Trias",0.19512022050188,21,0.84717430556673,0.954682980459076
"E_Trias vs E_Jur",0.835470461344897,34,0.409285737743343,0.881538512062585
"E_Trias vs M_Jur",-1.6019383367133,12,0.13515012027586,0.315350280643672
"E_Trias vs L_Jur",0.379776498996604,26,0.707195848226466,0.954682980459076
"E_Trias vs E_Cret",0.138421119025267,22,0.891166813745791,0.954682980459076
"E_Trias vs L_Cret",-1.67881993948808,12,0.119015278813101,0.302947982433347
"M_Trias vs L_Trias",-0.291027181288103,28,0.773175487371889,0.954682980459076
"M_Trias vs E_Jur",0.300690514670215,41,0.765170052881887,0.954682980459076
"M_Trias vs M_Jur",-2.24119010053321,19,0.0371523723225653,0.218831415733305
"M_Trias vs L_Jur",-0.157442164181312,33,0.875855787796771,0.954682980459076
"M_Trias vs E_Cret",-0.383470889784053,29,0.704167569518178,0.954682980459076
"M_Trias vs L_Cret",-2.33269573721187,19,0.0308118174473568,0.218831415733305
"L_Trias vs E_Jur",0.584379481048123,35,0.562713145478161,0.954682980459076
"L_Trias vs M_Jur",-1.754092031404,13,0.102941626102724,0.288236553087628
"L_Trias vs L_Jur",0.154720998756386,27,0.878192078276012,0.954682980459076
"L_Trias vs E_Cret",-0.0667717694497166,23,0.947340441149301,0.954682980459076
"L_Trias vs L_Cret",-1.8321510102011,13,0.0899292251871457,0.288236553087628
"E_Jur vs M_Jur",-2.69396018377713,26,0.012201494833326,0.170820927666564
"E_Jur vs L_Jur",-0.47632259429956,40,0.636436212463071,0.954682980459076
"E_Jur vs E_Cret",-0.701497848479448,36,0.487502775488668,0.954682980459076
"E_Jur vs L_Cret",-2.79805156432907,26,0.00955303383229933,0.170820927666564
"M_Jur vs L_Jur",2.13357593328336,18,0.0468924462285654,0.218831415733305
"M_Jur vs E_Cret",1.7867295072131,14,0.0956458918486207,0.288236553087628
"M_Jur vs L_Cret",-0.0604687114128619,4,0.954682980459076,0.954682980459076
"L_Jur vs E_Cret",-0.239918901512706,28,0.81214089192027,0.954682980459076
"L_Jur vs L_Cret",-2.22396080849372,18,0.0391882319757442,0.218831415733305
"E_Cret vs L_Cret",-1.86820780060638,14,0.082804003127213,0.288236553087628
