"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.90217110978802,27,0.00729262299187972,0.0127620902357895
"E_Trias vs L_Trias",0.498497357421754,21,0.623314619160871,0.671261897557861
"E_Trias vs E_Jur",4.88633146118486,34,2.41045954876284e-05,8.43660842066996e-05
"E_Trias vs M_Jur",-4.52596992031866,12,0.000694558916370491,0.00129650997722492
"E_Trias vs L_Jur",2.20961706587985,26,0.036142383778015,0.0505993372892211
"E_Trias vs E_Cret",0.889071516727158,22,0.383583220753929,0.447513757546251
"E_Trias vs L_Cret",-5.22771156866458,12,0.000212013366877928,0.000424026733755856
"M_Trias vs L_Trias",-2.48206243998265,28,0.0193294940804729,0.0300681019029579
"M_Trias vs E_Jur",2.36208727565647,41,0.0230018379588279,0.0338974454130096
"M_Trias vs M_Jur",-7.07653870616087,19,9.85406989340021e-07,6.89784892538015e-06
"M_Trias vs L_Jur",-0.515067426257654,33,0.60993907319472,0.671261897557861
"M_Trias vs E_Cret",-2.12313315532239,29,0.0424000958995658,0.0565334611994211
"M_Trias vs L_Cret",-7.90601705559039,19,1.99662193223205e-07,1.86351380341658e-06
"L_Trias vs E_Jur",4.55811751641862,35,6.04714991041533e-05,0.000169320197491629
"L_Trias vs M_Jur",-5.16782244132284,13,0.000180955068883604,0.000389749379133916
"L_Trias vs L_Jur",1.79838995633077,27,0.0833057095419363,0.106025448507919
"L_Trias vs E_Cret",0.396895439690976,23,0.69510344623574,0.69510344623574
"L_Trias vs L_Cret",-5.93196214323424,13,4.96863835419692e-05,0.000154579859908349
"E_Jur vs M_Jur",-8.01244635760322,26,1.71807854609796e-08,2.40530996453714e-07
"E_Jur vs L_Jur",-2.723207093377,40,0.00953486500409562,0.0157044835361575
"E_Jur vs E_Cret",-4.2715376532587,36,0.000135491257631903,0.000316146267807775
"E_Jur vs L_Cret",-8.79105779563841,26,2.88712387330747e-09,8.08394684526093e-08
"M_Jur vs L_Jur",6.00332993956935,18,1.11933814377352e-05,5.22357800427642e-05
"M_Jur vs E_Cret",5.56957544737713,14,6.91006664474969e-05,0.000175892605502719
"M_Jur vs L_Cret",-0.482044845783558,4,0.654963162942912,0.679221057866723
"L_Jur vs E_Cret",-1.45810677887533,28,0.155937511000718,0.189836969913918
"L_Jur vs L_Cret",-6.71298407107305,18,2.70610255470594e-06,1.51541743063532e-05
"E_Cret vs L_Cret",-6.36076212725608,14,1.76628618659969e-05,7.06514474639874e-05
