"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",1.30898515162926,27,0.201571253933502,0.331999712361062
"E_Trias vs L_Trias",0.66501757269051,21,0.51327706073267,0.624859030457163
"E_Trias vs E_Jur",2.40445902279054,34,0.0217904934495352,0.0871619737981408
"E_Trias vs M_Jur",-1.83268839059976,12,0.0917642432116166,0.171293253995018
"E_Trias vs L_Jur",0.83525382235266,26,0.411184724297069,0.575658614015896
"E_Trias vs E_Cret",0.16441139071353,22,0.870908519107082,0.937901482115319
"E_Trias vs L_Cret",-1.96134486506939,12,0.0734598039523269,0.146919607904654
"M_Trias vs L_Trias",-0.500796623795642,28,0.620428372948891,0.694879777702758
"M_Trias vs E_Jur",1.07466660279595,41,0.28880798736691,0.425611770856499
"M_Trias vs M_Jur",-2.89689711636063,19,0.00924147522491503,0.0586440610272072
"M_Trias vs L_Jur",-0.668027152559026,33,0.508761883888829,0.624859030457163
"M_Trias vs E_Cret",-1.19885651051375,29,0.240288672456315,0.37378237937649
"M_Trias vs L_Cret",-3.06877633005204,19,0.00631957331855437,0.0586440610272072
"L_Trias vs E_Jur",1.45940426715371,35,0.153371542419869,0.26840019923477
"L_Trias vs M_Jur",-2.20195605854632,13,0.0463307671530626,0.11824388205643
"L_Trias vs L_Jur",-0.0143705965734165,27,0.988639981716596,0.988639981716596
"L_Trias vs E_Cret",-0.545677617127599,23,0.590541277993317,0.688964824325536
"L_Trias vs L_Cret",-2.33975045104946,13,0.0359052272633205,0.111705151485886
"E_Jur vs M_Jur",-3.7835559979795,26,0.000820040545219891,0.0114805676330785
"E_Jur vs L_Jur",-1.94822966621165,40,0.0584278809222472,0.129525064745141
"E_Jur vs E_Cret",-2.33556937386344,36,0.0252026793155704,0.0882093776044964
"E_Jur vs L_Cret",-3.99444354213196,26,0.000474327612693948,0.0114805676330785
"M_Jur vs L_Jur",2.68713788995047,18,0.0150571469673684,0.0702666858477191
"M_Jur vs E_Cret",2.04492988254414,14,0.0601366372031011,0.129525064745141
"M_Jur vs L_Cret",-0.0558847583194794,4,0.958113679865046,0.988639981716596
"L_Jur vs E_Cret",-0.682697044329173,28,0.500408108898037,0.624859030457163
"L_Jur vs L_Cret",-2.85702765898077,18,0.0104721537548584,0.0586440610272072
"E_Cret vs L_Cret",-2.18421902085374,14,0.046452953665026,0.11824388205643
