"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.31348419658108,43,0.755428476394197,0.952504588762877
"bin1 vs bin3",-0.771975918463944,36,0.445167057809744,0.776396208008952
"bin1 vs bin4",-1.73467666076883,31,0.0927324733000354,0.485219857331071
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.644766723585165,38,0.52295205964985,0.776396208008952
"bin1 vs bin7",-0.57470648250177,39,0.568790459855452,0.782722360785566
"bin1 vs bin8",-0.630121816091137,38,0.532385971206139,0.776396208008952
"bin1 vs bin9",-2.75511834748499,29,0.0100306165130351,0.194385351892851
"bin1 vs bin10",-1.77620393894141,31,0.0855163156488139,0.485219857331071
"bin1 vs bin11",-0.566607677284411,42,0.573996397909415,0.782722360785566
"bin1 vs bin12",-4.16045778448451,28,0.000272894810644519,0.0286539551176745
"bin1 vs bin13",-1.35665250582855,33,0.184100571501008,0.623566451858253
"bin1 vs bin14",-1.54053269781765,32,0.13326220137762,0.559701245786003
"bin1 vs bin15",-2.82490376627464,29,0.008469507307721,0.194385351892851
"bin1 vs bin16",-1.80444434513703,31,0.0808856928798201,0.485219857331071
"bin2 vs bin3",-0.42515520767089,25,0.674360796230357,0.896302324103639
"bin2 vs bin4",-1.26831326868667,20,0.21925149599368,0.677100208215778
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.305931008364375,27,0.762003671010302,0.952504588762877
"bin2 vs bin7",-0.24059572539523,28,0.81162141039283,0.976103175323633
"bin2 vs bin8",-0.289150281506962,27,0.774675001553027,0.956951472506681
"bin2 vs bin9",-2.14480139737256,18,0.0458655164361734,0.437807202345292
"bin2 vs bin10",-1.30249630519773,20,0.207546544718591,0.660375369559153
"bin2 vs bin11",-0.20719472241615,31,0.837212828718866,0.976103175323633
"bin2 vs bin12",-3.34597045978536,17,0.00383021536614669,0.164772879614757
"bin2 vs bin13",-0.931239085389828,22,0.361837249183582,0.748044964895393
"bin2 vs bin14",-1.09364510567866,21,0.286497443853832,0.748044964895393
"bin2 vs bin15",-2.20121040444232,18,0.0410095414599088,0.430600185329042
"bin2 vs bin16",-1.32519981885527,20,0.200045872397395,0.656400518803952
"bin3 vs bin4",-0.771447819755494,13,0.454236307723078,0.776396208008952
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.120186541476176,20,0.905534551043808,0.990428415204165
"bin3 vs bin7",0.186259429497801,21,0.854028840876993,0.976103175323633
"bin3 vs bin8",0.14350491319344,20,0.887327484032768,0.990428415204165
