"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-3.03647557784331,43,0.00405599834592274,0.0081899966600363
"bin1 vs bin3",-6.13714732762489,36,4.55915175390231e-07,5.3190103795527e-06
"bin1 vs bin4",-7.75613244208285,31,9.4574803544134e-09,1.98607087442682e-07
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-4.92467153010209,38,1.67939520487881e-05,0.000103727350889573
"bin1 vs bin7",-4.8859815311141,39,1.7936027433052e-05,0.000104626826692803
"bin1 vs bin8",-5.20116255291831,38,7.07121562792956e-06,5.71136646871234e-05
"bin1 vs bin9",-8.59405179698266,29,1.82350312627477e-09,9.57339141294256e-08
"bin1 vs bin10",-7.63964595540594,31,1.29298267648181e-08,2.26271968384317e-07
"bin1 vs bin11",-3.86690679156543,42,0.000376801568261698,0.00106930174776968
"bin1 vs bin12",-8.75182781208097,28,1.67524683014619e-09,9.57339141294256e-08
"bin1 vs bin13",-7.00482734074089,33,5.1847667492666e-08,6.80500635841241e-07
"bin1 vs bin14",-7.33799553581337,32,2.41444375603805e-08,3.62166563405708e-07
"bin1 vs bin15",-8.34746711196864,29,3.35223582226263e-09,1.08190185976742e-07
"bin1 vs bin16",-8.068540285942,31,4.12153089435208e-09,1.08190185976742e-07
"bin2 vs bin3",-3.08314464885304,25,0.00494044702194185,0.00978767806233763
"bin2 vs bin4",-5.19533466790852,20,4.39392905127178e-05,0.000219696452563589
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.93111628218728,27,0.0640301720563623,0.090853622512406
"bin2 vs bin7",-1.76709113693919,28,0.0881125317894207,0.123357544505189
"bin2 vs bin8",-2.13054381216903,27,0.0423865463297595,0.0645012661539818
"bin2 vs bin9",-6.36941923636265,18,5.33609180597416e-06,4.66908033022739e-05
"bin2 vs bin10",-5.09422828133162,20,5.53661089188751e-05,0.000252758323325299
"bin2 vs bin11",-0.697018891567009,31,0.490985386935577,0.542668059244586
"bin2 vs bin12",-6.81345192616888,17,3.01829660775965e-06,3.16921143814763e-05
"bin2 vs bin13",-4.22966221461005,22,0.00034432179631505,0.0010042719059189
"bin2 vs bin14",-4.66385644133389,21,0.000133031724756982,0.000465611036649438
"bin2 vs bin15",-6.1368395803097,18,8.52587934452309e-06,5.96811554116616e-05
"bin2 vs bin16",-5.47570628314002,20,2.32622314428887e-05,0.000128554436921227
"bin3 vs bin4",-2.87039469094037,13,0.013133173630512,0.0233725971390468
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",1.07086264329735,20,0.296984617515058,0.346482053767568
"bin3 vs bin7",1.40947519906923,21,0.173332450350536,0.21666556293817
"bin3 vs bin8",0.972790895541111,20,0.342276640976693,0.386441368844654
"bin3 vs bin9",-4.63199132307396,11,0.000726048871627194,0.00190587828802138
