"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.715979243449057,43,0.477874554959054,0.678065246901361
"bin1 vs bin3",-1.70809497407313,36,0.0962294644463235,0.252602344171599
"bin1 vs bin4",-3.32424451067765,31,0.00228635013438638,0.0285086670163337
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-1.56505017648555,38,0.1258618562496,0.28036432264823
"bin1 vs bin7",-1.49220062768388,39,0.143692351100907,0.290148016646063
"bin1 vs bin8",-1.5224442510845,38,0.136176956714855,0.28036432264823
"bin1 vs bin9",-4.21341102300079,29,0.000223483009650582,0.0115583803967823
"bin1 vs bin10",-3.42037154982341,31,0.00177259375603511,0.0265889063405267
"bin1 vs bin11",-2.10049192189228,42,0.0417294148025857,0.157638951827233
"bin1 vs bin12",-5.0600111873995,28,2.3536640845423e-05,0.00247134728876941
"bin1 vs bin13",-3.2814829896234,33,0.00244360002997146,0.0285086670163337
"bin1 vs bin14",-3.5026691141834,32,0.00138269592804341,0.0265889063405267
"bin1 vs bin15",-4.07051587346295,29,0.000330239439908064,0.0115583803967823
"bin1 vs bin16",-3.62131862469208,31,0.00103343793530297,0.0265889063405267
"bin2 vs bin3",-0.897626269796929,25,0.377948422517262,0.551706446473415
"bin2 vs bin4",-2.29409243764776,20,0.0327457376335154,0.14326260214663
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.757140001716188,27,0.455523049340369,0.655204386037518
"bin2 vs bin7",-0.652958361592535,28,0.519108984131659,0.698800555561849
"bin2 vs bin8",-0.695580576541563,27,0.492635584025901,0.684830642699186
"bin2 vs bin9",-3.05540730938596,18,0.00681161788602136,0.0650199889120221
"bin2 vs bin10",-2.37650280005112,20,0.027577540525467,0.135434833224741
"bin2 vs bin11",-1.00115259949711,31,0.32450413523207,0.493810640570541
"bin2 vs bin12",-3.76351209627789,17,0.00154881042163013,0.0265889063405267
"bin2 vs bin13",-2.1588297839927,22,0.0420370538205954,0.157638951827233
"bin2 vs bin14",-2.35455465303673,21,0.0283539021048917,0.135434833224741
"bin2 vs bin15",-2.97379942579324,18,0.00813561630685289,0.0659201984944311
"bin2 vs bin16",-2.51541575995203,20,0.0205452880423833,0.119847513580569
"bin3 vs bin4",-1.29254682136192,13,0.218669828672203,0.381053662455529
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.159551197654033,20,0.874834930747574,0.956850705505159
"bin3 vs bin7",0.302414342549198,21,0.765311210985257,0.9051075570327
"bin3 vs bin8",0.239490647505502,20,0.813162418192773,0.938264328683968
"bin3 vs bin9",-1.98949741888757,11,0.0720887649712676,0.229373343090397
