"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",3.19031256641217,27,0.00358547912054918,0.00590549502208101
"E_Trias vs L_Trias",1.06637460590761,21,0.298361392942315,0.348088291766034
"E_Trias vs E_Jur",5.20119227759092,34,9.41609915106056e-06,3.76643966042423e-05
"E_Trias vs M_Jur",-4.38423711006723,12,0.000889660059519848,0.00166069877777038
"E_Trias vs L_Jur",2.25343366626584,26,0.0328906755602227,0.048470469246644
"E_Trias vs E_Cret",0.623884877436229,22,0.5391190221189,0.580589716128046
"E_Trias vs L_Cret",-5.59792103256967,12,0.00011652354057845,0.000296605376017874
"M_Trias vs L_Trias",-2.06724925065204,28,0.048066617762021,0.0672932648668294
"M_Trias vs E_Jur",1.77316820453621,41,0.0836297082419848,0.11150627765598
"M_Trias vs M_Jur",-6.02546232794885,19,8.50713641442624e-06,3.76643966042423e-05
"M_Trias vs L_Jur",-1.38945381693822,33,0.173999207649441,0.211825122355841
"M_Trias vs E_Cret",-2.73739533532435,29,0.0104679965123957,0.0162835501303933
"M_Trias vs L_Cret",-7.0803026263912,19,9.7808934174104e-07,6.84662539218728e-06
"L_Trias vs E_Jur",3.94368991372758,35,0.00036732118256122,0.00073464236512244
"L_Trias vs M_Jur",-4.81469084768176,13,0.000337829205447893,0.000727632134810846
"L_Trias vs L_Jur",0.983919115191137,27,0.333890644485789,0.373957521824084
"L_Trias vs E_Cret",-0.510333764879556,23,0.614680762283139,0.614680762283139
"L_Trias vs L_Cret",-5.93810423531683,13,4.91890626574953e-05,0.000137729375440987
"E_Jur vs M_Jur",-7.63352182985146,26,4.21278820716964e-08,5.89790349003749e-07
"E_Jur vs L_Jur",-3.47127857270402,40,0.00125681460725735,0.00219942556270036
"E_Jur vs E_Cret",-4.79801804384207,36,2.78065728951393e-05,8.6509337895989e-05
"E_Jur vs L_Cret",-8.81610883511697,26,2.72975331228054e-09,7.6433092743855e-08
"M_Jur vs L_Jur",6.20334070563664,18,7.45127801682344e-06,3.76643966042423e-05
"M_Jur vs E_Cret",4.89508308279229,14,0.000236457503752785,0.000551734175423165
"M_Jur vs L_Cret",-0.617865965509312,4,0.570105395929886,0.591220410593956
"L_Jur vs E_Cret",-1.65344413304582,28,0.109410680560584,0.139249957077107
"L_Jur vs L_Cret",-7.5440888665658,18,5.59410975986552e-07,5.22116910920782e-06
"E_Cret vs L_Cret",-6.12926270613997,14,2.60918778196562e-05,8.6509337895989e-05
