"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.87552263948212,27,0.00777800065949474,0.0197985471332593
"E_Trias vs L_Trias",2.50251290185766,21,0.0206657445911018,0.0385760565700567
"E_Trias vs E_Jur",3.15116581530345,34,0.00338477012987459,0.0105303959596098
"E_Trias vs M_Jur",-0.831883645412385,12,0.421720757347922,0.590409060287091
"E_Trias vs L_Jur",0.201034765719107,26,0.842235823374037,0.90702319440281
"E_Trias vs E_Cret",-0.37339823982983,22,0.712425996696475,0.831163662812554
"E_Trias vs L_Cret",-3.21057579080716,12,0.00748420893541746,0.0197985471332593
"M_Trias vs L_Trias",-0.0889401707005413,28,0.929762577091464,0.929762577091464
"M_Trias vs E_Jur",-0.276887153042748,41,0.783257955611108,0.877248910284441
"M_Trias vs M_Jur",-2.08999062413155,19,0.0503008108488823,0.0828483943393355
"M_Trias vs L_Jur",-3.16854299492673,33,0.00329506550118031,0.0105303959596098
"M_Trias vs E_Cret",-3.29624638207937,29,0.00259189929506665,0.0103675971802666
"M_Trias vs L_Cret",-4.46876641702881,19,0.000263199548313331,0.00368479367638663
"L_Trias vs E_Jur",-0.135712716000478,35,0.892825949770873,0.925893577540165
"L_Trias vs M_Jur",-1.79980005135962,13,0.0951319000874942,0.147982955691658
"L_Trias vs L_Jur",-2.71594103801546,27,0.0113853847863052,0.0227707695726105
"L_Trias vs E_Cret",-2.8444392452667,23,0.00918048873186716,0.0214211403743567
"L_Trias vs L_Cret",-3.9956004217389,13,0.00152465908400257,0.00811285083340444
"E_Jur vs M_Jur",-2.3472608499396,26,0.0268023768460792,0.0469041594806386
"E_Jur vs L_Jur",-3.4552827511179,40,0.00131548245336721,0.00811285083340444
"E_Jur vs E_Cret",-3.64198944491792,36,0.000844535702220872,0.00788233322072814
"E_Jur vs L_Cret",-5.14448363374628,26,2.29606586650277e-05,0.000642898442620776
"M_Jur vs L_Jur",1.04161599590219,18,0.311378902074693,0.458874171478495
"M_Jur vs E_Cret",0.700973262619561,14,0.494806543714597,0.629753782909488
"M_Jur vs L_Cret",-0.840173407597014,4,0.448097196809976,0.597462929079968
"L_Jur vs E_Cret",-0.623264687461439,28,0.538154836388928,0.655145018212608
"L_Jur vs L_Cret",-3.67344897426643,18,0.00173846803572952,0.00811285083340444
"E_Cret vs L_Cret",-2.93963343229135,14,0.0107644802240716,0.0227707695726105
