"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.0177094077764824,43,0.98595259411926,0.995432907524253
"bin1 vs bin3",-0.288688386020719,36,0.774475682118967,0.942259853836518
"bin1 vs bin4",-1.17511994085504,31,0.248894010508934,0.730182385710325
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.463342604723067,38,0.645761768301408,0.84516985599314
"bin1 vs bin7",-0.432047057165858,39,0.668086648070768,0.84516985599314
"bin1 vs bin8",-0.543723080841711,38,0.589808029339942,0.814866356324919
"bin1 vs bin9",-1.76381266238845,29,0.0882975585480716,0.730182385710325
"bin1 vs bin10",-1.23009252186997,31,0.227915983572237,0.730182385710325
"bin1 vs bin11",-1.02650665833109,42,0.310528739812137,0.730182385710325
"bin1 vs bin12",-2.23120926703146,28,0.0338532918135701,0.710919128084972
"bin1 vs bin13",-1.2475295890909,33,0.220984103924638,0.730182385710325
"bin1 vs bin14",-1.18310317241408,32,0.245483754139976,0.730182385710325
"bin1 vs bin15",-1.5253389126432,29,0.138007648848787,0.730182385710325
"bin1 vs bin16",-1.16327907986669,31,0.253592569706482,0.730182385710325
"bin2 vs bin3",-0.281386937379933,25,0.78072959317883,0.942259853836518
"bin2 vs bin4",-1.12214123169047,20,0.275094192367131,0.730182385710325
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.436050390001289,27,0.666266912098152,0.84516985599314
"bin2 vs bin7",-0.413564842482924,28,0.682343351402941,0.852929189253677
"bin2 vs bin8",-0.515493687527577,27,0.610403481388357,0.815141443886643
"bin2 vs bin9",-1.69155068445454,18,0.107971501064103,0.730182385710325
"bin2 vs bin10",-1.17332880060488,20,0.254448682079986,0.730182385710325
"bin2 vs bin11",-0.959855846695365,31,0.344554938780325,0.730182385710325
"bin2 vs bin12",-2.16805934784627,17,0.0446365301309444,0.730182385710325
"bin2 vs bin13",-1.18927001303117,22,0.247011397384722,0.730182385710325
