"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-2.29291978376133,43,0.0268054221715508,0.0420084974330274
"bin1 vs bin3",-5.30541663374065,36,5.89190040245491e-06,5.10837229146244e-05
"bin1 vs bin4",-7.75833538592808,31,9.4018590690581e-09,1.73822213289654e-07
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-4.89623152734865,38,1.83496836616559e-05,9.63358392236935e-05
"bin1 vs bin7",-4.47880086679641,39,6.38300658752922e-05,0.000279256538204403
"bin1 vs bin8",-5.21084026713116,38,6.85962113733396e-06,5.10837229146244e-05
"bin1 vs bin9",-8.36190665107022,29,3.23411164515619e-09,1.73822213289654e-07
"bin1 vs bin10",-7.68038418626358,31,1.15881475526436e-08,1.73822213289654e-07
"bin1 vs bin11",-4.73108328032472,42,2.53653109676399e-05,0.000121061711436463
"bin1 vs bin12",-8.29100021067281,28,5.06576003367343e-09,1.73822213289654e-07
"bin1 vs bin13",-7.41292422015926,33,1.62114974777694e-08,2.12775904395723e-07
"bin1 vs bin14",-7.6157159955504,32,1.11987592532614e-08,1.73822213289654e-07
"bin1 vs bin15",-8.00183524512846,29,7.97545740560679e-09,1.73822213289654e-07
"bin1 vs bin16",-7.85622977649078,31,7.23825466231176e-09,1.73822213289654e-07
"bin2 vs bin3",-2.96189330686986,25,0.00661584498614376,0.0119769607507775
"bin2 vs bin4",-5.66138574218723,20,1.53343528008776e-05,8.96260874892289e-05
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-2.44046934721412,27,0.0215108637130599,0.0342218286344134
"bin2 vs bin7",-2.05714975981015,28,0.0490945338882538,0.0706154254557075
"bin2 vs bin8",-2.73125737256619,27,0.0109806331341145,0.0189010898210167
"bin2 vs bin9",-6.55681803826843,18,3.677252509382e-06,3.51010466804645e-05
"bin2 vs bin10",-5.58962612894584,20,1.80060757379863e-05,9.63358392236935e-05
"bin2 vs bin11",-2.02918134749588,31,0.0511012198510299,0.0725084876264613
"bin2 vs bin12",-6.73918105705813,17,3.46683638863254e-06,3.51010466804645e-05
"bin2 vs bin13",-5.09693142501354,22,4.16752175165236e-05,0.000190256427792825
"bin2 vs bin14",-5.40082979006762,21,2.34106960286251e-05,0.000117053480143126
"bin2 vs bin15",-6.21364851688146,18,7.2976747020892e-06,5.10837229146244e-05
"bin2 vs bin16",-5.74429145948636,20,1.27464005386102e-05,8.36482535346295e-05
"bin3 vs bin4",-3.15132849857191,13,0.00765203996994157,0.0136180372346418
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.710495871176618,20,0.485600014470022,0.548258080853251
"bin3 vs bin7",0.999050779081279,21,0.3291435402019,0.391537767669671
"bin3 vs bin8",0.403060692843488,20,0.691179808434809,0.740549794751581
"bin3 vs bin9",-4.53058745299059,11,0.000857004831841035,0.00219476847178802
"bin3 vs bin10",-3.08730594795867,13,0.00865569684520096,0.0151474694791017
"bin3 vs bin11",1.45277618752581,24,0.159236330791508,0.211643224469726
"bin3 vs bin12",-5.10542907399116,10,0.000460365326669931,0.00127206208685113
"bin3 vs bin13",-2.23911416272126,15,0.0407303009424582,0.0610954514136873
"bin3 vs bin14",-2.68957617161719,14,0.0176124231979593,0.0284508374736266
"bin3 vs bin15",-4.19043496457163,11,0.00150973636677043,0.00337281528746586
"bin3 vs bin16",-3.24268651425694,13,0.00641794416579033,0.0119390516355247
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",3.99862174382506,15,0.0011625714050123,0.00271266661169537
"bin4 vs bin7",4.04391761552429,16,0.000941047150790242,0.0023526178769756
"bin4 vs bin8",3.65438101865546,15,0.00234866139618006,0.00493218893197813
"bin4 vs bin9",-1.75472813456636,6,0.129838680130529,0.17478283863725
"bin4 vs bin10",0.0361583791282697,8,0.972042033909744,0.972042033909744
"bin4 vs bin11",4.97702255526537,19,8.36870178271276e-05,0.000313826316851729
"bin4 vs bin12",-2.72379612353646,5,0.0415863998709642,0.0615010138936795
"bin4 vs bin13",1.19701856288804,10,0.258905296433577,0.319824189712066
"bin4 vs bin14",0.677003174837347,9,0.515426136761834,0.575741961276516
