"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.710495216399405,43,0.481233049964655,0.639613547421377
"bin1 vs bin3",-0.120210536804038,36,0.904984770310385,0.941244998770644
"bin1 vs bin4",-2.94430993271284,31,0.00608726826325356,0.0441996528326643
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-1.19940539300141,38,0.237795788252068,0.384131657945649
"bin1 vs bin7",-1.27952827171609,39,0.208271086558575,0.341694751385162
"bin1 vs bin8",-1.60253193418602,38,0.11731920032112,0.236894539109954
"bin1 vs bin9",-3.64335450050724,29,0.00104360795858693,0.0182631392752713
"bin1 vs bin10",-3.18313905158738,31,0.00330646437895332,0.0315617054354635
"bin1 vs bin11",-4.5260746592299,42,4.88003246688073e-05,0.00512403409022477
"bin1 vs bin12",-4.10071973652182,28,0.00032057447625089,0.00841508000158586
"bin1 vs bin13",-4.1913888422296,33,0.000194818125141882,0.00681863437996588
"bin1 vs bin14",-3.52105161082001,32,0.0013155618983931,0.0197334284758965
"bin1 vs bin15",-2.71206884080292,29,0.011124067247644,0.0571006974054609
"bin1 vs bin16",-2.57258447595013,31,0.0151055360447188,0.0660867201956446
"bin2 vs bin3",-0.599286488473414,25,0.554374523886383,0.701317168771931
"bin2 vs bin4",-2.81788665432304,20,0.0106278863673712,0.0571006974054609
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.49812650969573,27,0.145701688212238,0.263770297625603
"bin2 vs bin7",-1.65280173380608,28,0.109542332025931,0.225528330641622
"bin2 vs bin8",-1.89471164168489,27,0.0688871522938497,0.163484573650752
"bin2 vs bin9",-3.30495022868952,18,0.0039380364105146,0.0344578185920028
"bin2 vs bin10",-3.01839134991035,20,0.00678874823770026,0.0441996528326643
"bin2 vs bin11",-4.46750557966111,31,9.81688224799271e-05,0.00515386318019617
"bin2 vs bin12",-3.65051584608255,17,0.00197948761388744,0.0259807749322727
"bin2 vs bin13",-3.98044712514183,22,0.000632580309245734,0.0132841864941604
"bin2 vs bin14",-3.35492684624758,21,0.00299881984228145,0.0314876083439553
"bin2 vs bin15",-2.50295030482172,18,0.0221716087592496,0.0765004935126523
"bin2 vs bin16",-2.47102727269574,20,0.0225858599894497,0.0765004935126523
"bin3 vs bin4",-2.15525619764712,13,0.050469416208671,0.132482217547761
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-0.77186764217618,20,0.449217694127404,0.604716126709967
"bin3 vs bin7",-0.850799453114948,21,0.404477868739077,0.581783235857577
"bin3 vs bin8",-1.09545957487337,20,0.286332251675563,0.435722991680205
"bin3 vs bin9",-2.67655400390965,11,0.021540375217864,0.0765004935126523
"bin3 vs bin10",-2.33787432119016,13,0.036030884515323,0.103198192932227
"bin3 vs bin11",-3.34737325905343,24,0.00268252643078415,0.0312961416924817
"bin3 vs bin12",-3.063933111891,10,0.0119639556468585,0.0571006974054609
"bin3 vs bin13",-3.18229798319025,15,0.00618391972332377,0.0441996528326643
"bin3 vs bin14",-2.61733460903564,14,0.0202810234838384,0.0760538380643941
"bin3 vs bin15",-1.93911990044252,11,0.0785590365865563,0.179319540034531
"bin3 vs bin16",-1.82795910580875,13,0.090588633845587,0.194118501097686
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",1.57819759884584,15,0.135372708241461,0.253823827952739
"bin4 vs bin7",1.94755060725642,16,0.069236906651402,0.163484573650752
"bin4 vs bin8",1.65042977790873,15,0.119632031605646,0.23700685506779
"bin4 vs bin9",-0.815858153568144,6,0.445753623884538,0.604716126709967
"bin4 vs bin10",-0.132443089437515,8,0.897904452453638,0.941244998770644
"bin4 vs bin11",0.60679105948768,19,0.551172210061889,0.701317168771931
"bin4 vs bin12",-1.31812133148744,5,0.244617402121846,0.389164048830209
"bin4 vs bin13",-0.271545859501494,10,0.79149466245358,0.898960182020781
"bin4 vs bin14",-0.111721522840073,9,0.913496208158981,0.941244998770644
"bin4 vs bin15",-0.341717089059193,6,0.744214291911445,0.878005625288784
"bin4 vs bin16",0.108967887714165,8,0.915911619545446,0.941244998770644
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.0686602265231318,23,0.945853516038536,0.954948261385061
"bin6 vs bin8",-0.216662405662897,22,0.830467977676341,0.898960182020781
"bin6 vs bin9",-2.25525077317048,13,0.041998178828917,0.116047599395692
"bin6 vs bin10",-1.75723668332455,15,0.0992628056459677,0.208451891856532
"bin6 vs bin11",-2.20674827092964,26,0.0363650775094515,0.103198192932227
"bin6 vs bin12",-2.69730417383405,12,0.0194059026307802,0.0754673991197009
"bin6 vs bin13",-2.38202323673765,17,0.0291668372303355,0.09045326408243
"bin6 vs bin14",-1.94115588245911,16,0.0700648172788938,0.163484573650752
"bin6 vs bin15",-1.56390829293094,13,0.141847121560611,0.261297329190599
"bin6 vs bin16",-1.31754163195944,15,0.207427684508842,0.341694751385162
"bin7 vs bin8",-0.340861939138354,23,0.736301567100179,0.878005625288784
"bin7 vs bin9",-2.71000200947499,14,0.016921843305115,0.0710717418814832
"bin7 vs bin10",-2.16491573253493,16,0.0458550006398752,0.12345577095351
"bin7 vs bin11",-2.84372013204008,27,0.00839724569990108,0.048983933249423
"bin7 vs bin12",-3.24695281140219,13,0.00636545777737352,0.0441996528326643
"bin7 vs bin13",-3.03277911268624,18,0.00715613426814565,0.0441996528326643
"bin7 vs bin14",-2.42645421256392,17,0.0266586942561986,0.0874738405281517
"bin7 vs bin15",-1.85427663526492,14,0.0848838281130806,0.185683373997364
"bin7 vs bin16",-1.59327355818039,16,0.130659800375754,0.249441437080984
"bin8 vs bin9",-2.43794406690487,13,0.0298820302611738,0.09045326408243
"bin8 vs bin10",-1.85719602620432,15,0.0830275835768848,0.185487154799423
"bin8 vs bin11",-2.29350936362068,26,0.0301510880274767,0.09045326408243
"bin8 vs bin12",-2.97661052712408,12,0.011558326014752,0.0571006974054609
"bin8 vs bin13",-2.60968689903935,17,0.0183093570533956,0.0739416342540978
"bin8 vs bin14",-2.07290965196296,16,0.0546924681406535,0.140066076945576
"bin8 vs bin15",-1.63331891798623,13,0.126374889643886,0.245728952085333
"bin8 vs bin16",-1.3336141328155,15,0.20222865846404,0.341694751385162
"bin9 vs bin10",0.719178302566422,6,0.499070921640782,0.655030584653526
"bin9 vs bin11",1.95685779378234,17,0.0669940752164955,0.163484573650752
"bin9 vs bin12",-0.48051529447882,3,0.663725087938041,0.829656359922551
"bin9 vs bin13",0.850919415971296,8,0.419552792204513,0.595311394344241
"bin9 vs bin14",0.843261448550306,7,0.426954390378036,0.59773614652925
"bin9 vs bin15",0.315895470512878,4,0.767878232284595,0.886013344943763
"bin9 vs bin16",0.831200794236958,6,0.437680407410058,0.604690036553369
"bin10 vs bin11",0.86252250805849,19,0.399156346833773,0.581783235857577
"bin10 vs bin12",-1.23821421862376,5,0.270600482161539,0.417838979808258
"bin10 vs bin13",-0.0987134396698145,10,0.923316522603584,0.941244998770644
"bin10 vs bin14",0.0396354052161046,9,0.969249104125006,0.969249104125006
"bin10 vs bin15",-0.251030081933914,6,0.810166690076315,0.898960182020781
"bin10 vs bin16",0.229724258789845,8,0.824070790854343,0.898960182020781
"bin11 vs bin12",-2.80668829218898,16,0.012665374460576,0.0578201877548036
"bin11 vs bin13",-1.37467324950299,21,0.183725073032033,0.321518877806059
"bin11 vs bin14",-0.926348327032744,20,0.365309159871923,0.540245940655661
"bin11 vs bin15",-1.02637428841687,17,0.319098812903299,0.478648219354948
"bin11 vs bin16",-0.337051849519828,19,0.739772514453496,0.878005625288784
"bin12 vs bin13",1.52991743952505,7,0.169888765397861,0.302344412996193
"bin12 vs bin14",1.42571724785395,6,0.203836878174407,0.341694751385162
"bin12 vs bin15",0.714681365267412,3,0.526399436786457,0.68236964027874
"bin12 vs bin16",1.27439791728498,5,0.258537222243509,0.405170273665201
"bin13 vs bin14",0.167257099832184,11,0.87020291264965,0.932360263553196
"bin13 vs bin15",-0.251344744300239,8,0.807883402486528,0.898960182020781
"bin13 vs bin16",0.381492741307474,10,0.710818230954263,0.867859468025554
"bin14 vs bin15",-0.309067751853786,7,0.766266131098846,0.886013344943763
"bin14 vs bin16",0.224371222157459,9,0.827479409308208,0.898960182020781
"bin15 vs bin16",0.394354229579092,6,0.706954627223584,0.867859468025554
