"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.56142538991,27,0.579138191967536,0.943285366773691
"E_Trias vs L_Trias",0.27129193883214,21,0.788815451211326,0.943285366773691
"E_Trias vs E_Jur",0.732894330259483,34,0.468645943211821,0.943285366773691
"E_Trias vs M_Jur",-1.63880447137194,12,0.127188422563349,0.296772985981148
"E_Trias vs L_Jur",0.317403054786184,26,0.753472754039634,0.943285366773691
"E_Trias vs E_Cret",0.0380979770117707,22,0.969953168221239,0.99742425872922
"E_Trias vs L_Cret",-1.73511779176938,12,0.108303641272796,0.275681995967117
"M_Trias vs L_Trias",-0.244625431439055,28,0.808530314377449,0.943285366773691
"M_Trias vs E_Jur",0.084906314479693,41,0.932749126429885,0.99742425872922
"M_Trias vs M_Jur",-2.23763793123098,19,0.037421177250772,0.219033629530808
"M_Trias vs L_Jur",-0.293749694207317,33,0.770788817042298,0.943285366773691
"M_Trias vs E_Cret",-0.547952039373133,29,0.587918179044843,0.943285366773691
"M_Trias vs L_Cret",-2.35023569940396,19,0.0297172060398261,0.219033629530808
"L_Trias vs E_Jur",0.360056460594957,35,0.720968617416581,0.943285366773691
"L_Trias vs M_Jur",-1.80186276252789,13,0.094792293650187,0.275681995967117
"L_Trias vs L_Jur",-0.00325824171357163,27,0.99742425872922,0.99742425872922
"L_Trias vs E_Cret",-0.247543115020166,23,0.806684409968683,0.943285366773691
"L_Trias vs L_Cret",-1.89882925200234,13,0.0800063792155803,0.275681995967117
"E_Jur vs M_Jur",-2.67363046382419,26,0.0127933533592499,0.179106947029499
"E_Jur vs L_Jur",-0.43184770330776,40,0.668171077727189,0.943285366773691
"E_Jur vs E_Cret",-0.721251093227885,36,0.475413354070095,0.943285366773691
"E_Jur vs L_Cret",-2.80789219305295,26,0.00933287190701271,0.179106947029499
"M_Jur vs L_Jur",2.11123077993875,18,0.0489992847878926,0.228663329010166
"M_Jur vs E_Cret",1.72875461224479,14,0.10583185580906,0.275681995967117
"M_Jur vs L_Cret",-0.0395675116399915,4,0.970334041422079,0.99742425872922
"L_Jur vs E_Cret",-0.289443340679318,28,0.774374594890655,0.943285366773691
"L_Jur vs L_Cret",-2.22491942836707,18,0.0391131481305014,0.219033629530808
"E_Cret vs L_Cret",-1.8267953420921,14,0.0891243943517768,0.275681995967117
