"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.64659852032533,27,0.0133988479146565,0.0234479838506489
"E_Trias vs L_Trias",0.603870049341739,21,0.552398155697072,0.618685934380721
"E_Trias vs E_Jur",4.12502674436221,34,0.000225963341450086,0.000632697356060241
"E_Trias vs M_Jur",-4.33668341018948,12,0.000967251749632858,0.00193450349926572
"E_Trias vs L_Jur",2.28763118152955,26,0.0305394995367201,0.0503003521781272
"E_Trias vs E_Cret",0.670479659487807,22,0.509529969794132,0.594451631426487
"E_Trias vs L_Cret",-4.96904418276869,12,0.000325788390209247,0.000829279538714448
"M_Trias vs L_Trias",-1.97323825129356,28,0.0584130032363221,0.0860823205587905
"M_Trias vs E_Jur",1.42022517421762,41,0.163102234154219,0.198559241579049
"M_Trias vs M_Jur",-5.94770219979889,19,1.00352177758722e-05,5.61972195448845e-05
"M_Trias vs L_Jur",-0.378449465114045,33,0.707520537252365,0.761945193964086
"M_Trias vs E_Cret",-2.08723735225378,29,0.0457642895510428,0.0711888948571777
"M_Trias vs L_Cret",-6.54883492093765,19,2.85544731815079e-06,2.66508416360741e-05
"L_Trias vs E_Jur",3.40771412131298,35,0.00166231026182784,0.00310297915541196
"L_Trias vs M_Jur",-4.50380047599937,13,0.000593151072425746,0.00138401916899341
"L_Trias vs L_Jur",1.61809494572997,27,0.117266626620569,0.149248433880724
"L_Trias vs E_Cret",0.0191347030780677,23,0.984898675933976,0.984898675933976
"L_Trias vs L_Cret",-5.08413576850184,13,0.000209493488034118,0.000632697356060241
"E_Jur vs M_Jur",-7.05819203556897,26,1.70335979099434e-07,2.38470370739208e-06
"E_Jur vs L_Jur",-1.81826258418754,40,0.0765180628767832,0.107125288027496
"E_Jur vs E_Cret",-3.6066491139922,36,0.000933272991666456,0.00193450349926572
"E_Jur vs L_Cret",-7.68182960440749,26,3.75368705007872e-08,1.05103237402204e-06
"M_Jur vs L_Jur",5.73607518361376,18,1.9435720255423e-05,9.07000278586404e-05
"M_Jur vs E_Cret",4.92492153976346,14,0.000223653134697077,0.000632697356060241
"M_Jur vs L_Cret",-0.331904175144103,4,0.756624323093899,0.784647446171451
"L_Jur vs E_Cret",-1.70958361419213,28,0.0984049519889862,0.131206602651982
"L_Jur vs L_Cret",-6.34007290409036,18,5.65887873560378e-06,3.96121511492264e-05
"E_Cret vs L_Cret",-5.58186536998924,14,6.76071648317844e-05,0.000270428659327138
