"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",1.7846488562256,27,0.0855600677827832,0.149730118619871
"E_Trias vs L_Trias",1.0375386206767,21,0.311284818842751,0.435798746379851
"E_Trias vs E_Jur",2.03640216772319,34,0.0495588152963609,0.106742063715239
"E_Trias vs M_Jur",-1.95128802670743,12,0.0747597466491567,0.139551527078426
"E_Trias vs L_Jur",0.618145852515012,26,0.541856719281352,0.659651658255559
"E_Trias vs E_Cret",-0.162791960491868,22,0.872168303537045,0.904095012029106
"E_Trias vs L_Cret",-2.36750421190154,12,0.0355625692712014,0.0905229035994217
"M_Trias vs L_Trias",-0.348357009290582,28,0.730177753072444,0.851874045251185
"M_Trias vs E_Jur",-0.291419262582021,41,0.772200016967209,0.864864019003275
"M_Trias vs M_Jur",-3.16339939734698,19,0.00511687854450682,0.0286545198492382
"M_Trias vs L_Jur",-1.53456338024431,33,0.134423987119613,0.209103979963843
"M_Trias vs E_Cret",-2.13159078355845,29,0.0416401940423992,0.097160452765598
"M_Trias vs L_Cret",-3.7553244242555,19,0.001339608190565,0.0125030097786067
"L_Trias vs E_Jur",0.22983783026816,35,0.819555771040151,0.882598522658624
"L_Trias vs M_Jur",-2.36234691130107,13,0.0344242090663798,0.0905229035994217
"L_Trias vs L_Jur",-0.755359945703425,27,0.456572372506111,0.581092110462323
"L_Trias vs E_Cret",-1.27274579792548,23,0.2158240824551,0.31805654256541
"L_Trias vs L_Cret",-2.79193454030692,13,0.0152635213310397,0.0610540853241588
"E_Jur vs M_Jur",-3.74270971992982,26,0.000911212118246629,0.0125030097786067
"E_Jur vs L_Jur",-1.67409583113232,40,0.101914941853143,0.167859904228706
"E_Jur vs E_Cret",-2.45584297298553,36,0.0190140273438881,0.0665490957036085
"E_Jur vs L_Cret",-4.47599266800955,26,0.000134022902855468,0.00375264127995312
"M_Jur vs L_Jur",2.68219127343872,18,0.0152159246937782,0.0610540853241588
"M_Jur vs E_Cret",2.0315636405628,14,0.0616287287433877,0.123257457486775
"M_Jur vs L_Cret",-0.128311528104326,4,0.904095012029106,0.904095012029106
"L_Jur vs E_Cret",-0.876532234962098,28,0.38819921238328,0.517598949844373
"L_Jur vs L_Cret",-3.23590834325796,18,0.00458553917392401,0.0286545198492382
"E_Cret vs L_Cret",-2.47221208284292,14,0.0268695618429453,0.0835941924002743
