"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.261733472727047,43,0.794776633044715,0.970366819415058
"bin1 vs bin3",-0.738574532090238,36,0.464953544724203,0.737088763477343
"bin1 vs bin4",-1.54245360118995,31,0.133111026496709,0.491805349805818
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.803328661020618,38,0.426781327014987,0.72766988365586
"bin1 vs bin7",-0.786026421724663,39,0.436601930193516,0.72766988365586
"bin1 vs bin8",-0.818364250358035,38,0.418251695665888,0.72766988365586
"bin1 vs bin9",-2.8709374376048,29,0.00756804097698605,0.150078280692974
"bin1 vs bin10",-1.87464908302342,31,0.0702907690918488,0.461283172165258
"bin1 vs bin11",-0.728056750205576,42,0.470618623700769,0.737088763477343
"bin1 vs bin12",-4.42741603814486,28,0.000132384036644062,0.0139003238476265
"bin1 vs bin13",-1.54644759786672,33,0.131533929489175,0.491805349805818
"bin1 vs bin14",-1.75219176386991,32,0.0893197393598244,0.478242818111501
"bin1 vs bin15",-2.81977848283386,29,0.00857590175388423,0.150078280692974
"bin1 vs bin16",-1.98895130188639,31,0.0555943886471948,0.429149775744576
"bin2 vs bin3",-0.428158769292,25,0.672201690899862,0.860746067615678
"bin2 vs bin4",-1.12919506644792,20,0.272178033623833,0.72766988365586
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.464464752057367,27,0.646038426400641,0.847925434650841
"bin2 vs bin7",-0.442428292862655,28,0.661578185125729,0.857601351088907
"bin2 vs bin8",-0.477601552712725,27,0.636777642756591,0.846350031511924
"bin2 vs bin9",-2.24741259233072,18,0.0373889605582616,0.388623440353396
"bin2 vs bin10",-1.40017696811897,20,0.176782821173755,0.562490794643765
"bin2 vs bin11",-0.376509596353167,31,0.709102895362238,0.886378619202797
"bin2 vs bin12",-3.56234866089174,17,0.00239696427293445,0.112984828854188
"bin2 vs bin13",-1.10808319199445,22,0.279793703244479,0.72766988365586
"bin2 vs bin14",-1.28773851518788,21,0.211847717582768,0.654235598417372
"bin2 vs bin15",-2.20485129232623,18,0.0407129318465462,0.388623440353396
"bin2 vs bin16",-1.4929370953311,20,0.151061840015628,0.503011915758509
"bin3 vs bin4",-0.662339242644991,13,0.519323913186825,0.737088763477343
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.00183784557040324,20,0.998551820501931,0.998551820501931
"bin3 vs bin7",0.0356648151514245,21,0.971886470497209,0.998551820501931
"bin3 vs bin8",-0.0112770234476755,20,0.991114160715782,0.998551820501931
"bin3 vs bin9",-1.64414626839605,11,0.128393245482756,0.491805349805818
"bin3 vs bin10",-0.886447208961132,13,0.391480326984631,0.72766988365586
"bin3 vs bin11",0.125418165751332,24,0.9012371885338,0.996104261011042
"bin3 vs bin12",-2.79842906021693,10,0.0188452681742908,0.219861462033392
"bin3 vs bin13",-0.598100737872965,15,0.558695965746796,0.752090723120687
"bin3 vs bin14",-0.769979084486486,14,0.454109358355557,0.733561271189746
"bin3 vs bin15",-1.60938251632988,11,0.135831953755893,0.491805349805818
"bin3 vs bin16",-0.96098390305615,13,0.354094522885957,0.72766988365586
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",0.71970651646902,15,0.482769735836546,0.737088763477343
"bin4 vs bin7",0.774881445805178,16,0.449710488334777,0.733561271189746
"bin4 vs bin8",0.703969109426909,15,0.492236694731972,0.737088763477343
"bin4 vs bin9",-0.867497082921274,6,0.419007637568515,0.72766988365586
"bin4 vs bin10",-0.179768642901773,8,0.861804157173004,0.996104261011042
"bin4 vs bin11",0.906914001219003,19,0.375811128680014,0.72766988365586
"bin4 vs bin12",-1.8733513649939,5,0.119896206723383,0.491805349805818
"bin4 vs bin13",0.132388783980235,10,0.897302752037715,0.996104261011042
"bin4 vs bin14",-0.047082556685567,9,0.963475642024627,0.998551820501931
"bin4 vs bin15",-0.84472932832791,6,0.430650525570521,0.72766988365586
"bin4 vs bin16",-0.232936590501673,8,0.821659809358022,0.991658390604509
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.0367522104539357,23,0.970999705394303,0.998551820501931
"bin6 vs bin8",-0.0142639832103465,22,0.988747940630456,0.998551820501931
"bin6 vs bin9",-1.77996709226784,13,0.0984531725476985,0.478242818111501
"bin6 vs bin10",-0.962804757316321,15,0.350911127383601,0.72766988365586
"bin6 vs bin11",0.134397636187389,26,0.894123133246177,0.996104261011042
"bin6 vs bin12",-3.02220016249164,12,0.0106194085296401,0.150494093799852
"bin6 vs bin13",-0.651217430584098,17,0.523612278611076,0.737088763477343
"bin6 vs bin14",-0.837272371205067,16,0.414771246027912,0.72766988365586
"bin6 vs bin15",-1.74252849075266,13,0.105005684806125,0.478242818111501
"bin6 vs bin16",-1.04359826830773,15,0.313199347787648,0.72766988365586
"bin7 vs bin8",-0.0513527076104693,23,0.959487861866593,0.998551820501931
"bin7 vs bin9",-1.87376767085707,14,0.0819868163993012,0.478242818111501
"bin7 vs bin10",-1.02761148783603,16,0.3194181803015,0.72766988365586
"bin7 vs bin11",0.098299829290534,27,0.922420364546828,0.998551820501931
"bin7 vs bin12",-3.16585700998468,13,0.00744097304164604,0.150078280692974
"bin7 vs bin13",-0.708111589900376,18,0.487945077606608,0.737088763477343
"bin7 vs bin14",-0.899262411490306,17,0.381074394001088,0.72766988365586
"bin7 vs bin15",-1.83425437881626,14,0.0879550670560385,0.478242818111501
"bin7 vs bin16",-1.11203662753694,16,0.282552821603302,0.72766988365586
"bin8 vs bin9",-1.75550949047264,13,0.10269110999593,0.478242818111501
"bin8 vs bin10",-0.94539017695418,15,0.359440616583012,0.72766988365586
"bin8 vs bin11",0.149678955261834,26,0.88217296315556,0.996104261011042
"bin8 vs bin12",-2.9809160674373,12,0.0114662166704649,0.150494093799852
"bin8 vs bin13",-0.634511288679042,17,0.534193766199655,0.737088763477343
"bin8 vs bin14",-0.820126974524166,16,0.42419375103265,0.72766988365586
"bin8 vs bin15",-1.719034433364,13,0.109312644139772,0.478242818111501
"bin8 vs bin16",-1.02529273178751,15,0.32147642714376,0.72766988365586
"bin9 vs bin10",0.702134592770878,6,0.508902976253894,0.737088763477343
"bin9 vs bin11",2.0820477159918,17,0.0527589505530037,0.429149775744576
"bin9 vs bin12",-0.956136180716214,3,0.409540362239786,0.72766988365586
"bin9 vs bin13",1.10313645474036,8,0.302042921522595,0.72766988365586
"bin9 vs bin14",0.8764225090343,7,0.409866530708584,0.72766988365586
"bin9 vs bin15",0.00582059477498395,4,0.995634584730646,0.998551820501931
"bin9 vs bin16",0.66773069112757,6,0.529137521815035,0.737088763477343
"bin10 vs bin11",1.18103394564911,19,0.252162619350832,0.72766988365586
"bin10 vs bin12",-1.69533739264814,5,0.15078039665632,0.503011915758509
"bin10 vs bin13",0.337947970531225,10,0.742389740819674,0.917069679836068
"bin10 vs bin14",0.144774763598948,9,0.88807895410257,0.996104261011042
