"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-3.13921305200025,43,0.00305877574505486,0.00683343517512257
"bin1 vs bin3",-5.33241269857781,36,5.42288846938632e-06,4.38002530219664e-05
"bin1 vs bin4",-7.4153877121281,31,2.37148252146824e-08,3.90466212696339e-07
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-5.383411078587,38,3.98687974167977e-06,3.49704808022544e-05
"bin1 vs bin7",-5.36024606208089,39,3.9966263774005e-06,3.49704808022544e-05
"bin1 vs bin8",-5.63171692886714,38,1.82208049315236e-06,2.12576057534442e-05
"bin1 vs bin9",-8.02166701596986,29,7.58536633505003e-09,1.99115866295063e-07
"bin1 vs bin10",-7.38112194760129,31,2.60310808464226e-08,3.90466212696339e-07
"bin1 vs bin11",-3.80669351355083,42,0.000451608007093984,0.00128159029040185
"bin1 vs bin12",-8.35833454012905,28,4.30198610068544e-09,1.99115866295063e-07
"bin1 vs bin13",-6.96554727334843,33,5.80369059477448e-08,7.6173439056415e-07
"bin1 vs bin14",-7.39308668511818,32,2.07173824762208e-08,3.90466212696339e-07
"bin1 vs bin15",-8.05958955865869,29,6.89273060849871e-09,1.99115866295063e-07
"bin1 vs bin16",-8.05467701374301,31,4.27518176415731e-09,1.99115866295063e-07
"bin2 vs bin3",-2.49188528946476,25,0.0196985207093858,0.0344724112414252
"bin2 vs bin4",-5.03534950853147,20,6.33698813896633e-05,0.000302447161177938
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-2.27146514841565,27,0.0313038154789815,0.0490582182879561
"bin2 vs bin7",-2.15628639393069,28,0.0397991096006918,0.0587293010365438
"bin2 vs bin8",-2.49030424349764,27,0.0192139538510792,0.0341943246502256
"bin2 vs bin9",-6.05701954452238,18,1.00299384282465e-05,6.58214709353677e-05
"bin2 vs bin10",-5.00292075824273,20,6.82704383287991e-05,0.000311669392370605
"bin2 vs bin11",-0.612558217108177,31,0.544636182161335,0.608370203478087
"bin2 vs bin12",-6.71595166043808,17,3.62092909389489e-06,3.49704808022544e-05
"bin2 vs bin13",-4.28572096437212,22,0.000300245242800479,0.000985179702939071
"bin2 vs bin14",-4.83744207430763,21,8.80616528360356e-05,0.000360541627960663
"bin2 vs bin15",-6.08816143176091,18,9.41296747236642e-06,6.58214709353677e-05
"bin2 vs bin16",-5.63309513983435,20,1.63356265343584e-05,0.000100896516829861
"bin3 vs bin4",-2.60479283236924,13,0.0218067492349387,0.0375362076994847
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.461713647788091,20,0.649269279677946,0.717613414380887
"bin3 vs bin7",0.634776579243714,21,0.532429731784569,0.601130342337416
"bin3 vs bin8",0.286131395497839,20,0.7777202607592,0.808521063165505
"bin3 vs bin9",-3.88994305503051,11,0.00251983079323503,0.0057517876802104
"bin3 vs bin10",-2.5903380117272,13,0.0224130154986406,0.0379575262476978
"bin3 vs bin11",1.99026476277303,24,0.0580688791230817,0.0835237302455284
"bin3 vs bin12",-4.75361598289908,10,0.000775987039564496,0.00208919587575057
"bin3 vs bin13",-1.69358251130065,15,0.111002267343671,0.14942612911648
"bin3 vs bin14",-2.30422913286606,14,0.0370518947252001,0.0563833180600871
"bin3 vs bin15",-3.92017445770287,11,0.00239212020026591,0.00569192645761422
"bin3 vs bin16",-3.1135816840266,13,0.00822879725694103,0.0157095220359783
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",3.3992192017976,15,0.00396412909004562,0.00867153238447479
"bin4 vs bin7",3.62212341381825,16,0.0022896590528696,0.00559102791979785
