"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.387431319308394,43,0.70034803970852,0.808093891971369
"bin1 vs bin3",-1.44557987165937,36,0.15694489358224,0.262902989686772
"bin1 vs bin4",-2.45951116523326,31,0.0196923330586838,0.0827077988464719
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-2.49499644281615,38,0.0170582298289423,0.0746297555016227
"bin1 vs bin7",-2.73966230589336,39,0.0092266950469857,0.0509896305228157
"bin1 vs bin8",-2.59994212798365,38,0.013206493067623,0.063030989640928
"bin1 vs bin9",-4.49072273650329,29,0.00010417137917651,0.00364599827117784
"bin1 vs bin10",-3.84544985378138,31,0.00056024372822594,0.00735319893296546
"bin1 vs bin11",-3.06703247840947,42,0.00377414736894277,0.0324567839639728
"bin1 vs bin12",-5.80580685416515,28,3.08992226405458e-06,0.000324441837725731
"bin1 vs bin13",-4.19336532575466,33,0.000193716024374568,0.00406803651186594
"bin1 vs bin14",-4.23767112179428,32,0.000178820984033212,0.00406803651186594
"bin1 vs bin15",-4.04563572195387,29,0.000353387433460028,0.0061842800855505
"bin1 vs bin16",-4.52374256487284,31,8.36834814001985e-05,0.00364599827117784
"bin2 vs bin3",-0.872695664823345,25,0.391134117238725,0.578986527738672
"bin2 vs bin4",-1.73294174795557,20,0.0984987394811756,0.215009021918118
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.57909588243715,27,0.125959639241255,0.237702284877802
"bin2 vs bin7",-1.7197626724433,28,0.096512608029611,0.215009021918118
"bin2 vs bin8",-1.65505666951625,27,0.109492677125203,0.22109098265666
"bin2 vs bin9",-3.32697796008034,18,0.00375103175153169,0.0324567839639728
"bin2 vs bin10",-2.77229974728668,20,0.0117545542435906,0.0617114097788508
"bin2 vs bin11",-1.90839340557698,31,0.065638060856239,0.176717856151413
"bin2 vs bin12",-4.36118911358164,17,0.000425180303060824,0.00637770454591235
"bin2 vs bin13",-2.9334321485723,22,0.00769094335729492,0.044863836250887
"bin2 vs bin14",-3.02758581281222,21,0.00640456414364343,0.0435122872804086
"bin2 vs bin15",-3.00799310270215,18,0.00755294761781311,0.044863836250887
"bin2 vs bin16",-3.2557704132764,20,0.00395801834209331,0.0324567839639728
"bin3 vs bin4",-0.870092885623759,13,0.400030886207859,0.583378375719794
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-0.369857308741199,20,0.715376313325088,0.808675890384251
"bin3 vs bin7",-0.400954962160752,21,0.692503688055759,0.807920969398386
"bin3 vs bin8",-0.422347453312872,20,0.67727718047081,0.799034875836349
"bin3 vs bin9",-2.17034222468483,11,0.0527456438653047,0.162890958995794
"bin3 vs bin10",-1.62097779658356,13,0.129013785712289,0.237702284877802
"bin3 vs bin11",-0.42344364639878,24,0.67574230669026,0.799034875836349
"bin3 vs bin12",-3.01277769792024,10,0.0130555188103636,0.063030989640928
"bin3 vs bin13",-1.56005689214729,15,0.139592743228118,0.252711000671594
"bin3 vs bin14",-1.7303639032738,14,0.105536685739171,0.220777142654127
"bin3 vs bin15",-1.96331078154048,11,0.0753875098285541,0.187886789546245
"bin3 vs bin16",-1.93612487211222,13,0.0748997188048082,0.187886789546245
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",0.773310601079269,15,0.451353953683332,0.631895535156665
"bin4 vs bin7",0.821861135690838,16,0.423234521122445,0.608761982436393
"bin4 vs bin8",0.740875423852467,15,0.470208942549388,0.649630775890602
"bin4 vs bin9",-1.03405209563765,6,0.340978617790429,0.534369475641718
"bin4 vs bin10",-0.489383157822635,8,0.637705929833154,0.780913584453077
"bin4 vs bin11",0.935028055900258,19,0.361506441904166,0.550118498549818
"bin4 vs bin12",-1.70988553136618,5,0.147978904387164,0.258963082677536
"bin4 vs bin13",-0.256142402239154,10,0.8030330218466,0.878317367644719
"bin4 vs bin14",-0.473628818760093,9,0.647042684261121,0.780913584453077
"bin4 vs bin15",-0.923224340099865,6,0.391505175899483,0.578986527738672
"bin4 vs bin16",-0.663807923196017,8,0.525477652990532,0.698419665367163
"bin5 vs bin6",NA,NA,NA,NA
