"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.61886988490847,27,0.0142933775278222,0.0250134106736889
"E_Trias vs L_Trias",1.11811010923948,21,0.276148150048469,0.336180356580745
"E_Trias vs E_Jur",2.7065798920628,34,0.0105542560310261,0.0197012779245821
"E_Trias vs M_Jur",-3.96614973232242,12,0.00187244620843985,0.00476622671239234
"E_Trias vs L_Jur",0.970700256304423,26,0.340641935907758,0.397415591892385
"E_Trias vs E_Cret",-0.0119401217919133,22,0.990581005123855,0.990581005123855
"E_Trias vs L_Cret",-3.55041240331813,12,0.00399361585379987,0.00891446600657781
"M_Trias vs L_Trias",-1.38913272410913,28,0.175742400047397,0.258988800069849
"M_Trias vs E_Jur",-0.218126556382164,41,0.828412559119465,0.859094505753519
"M_Trias vs M_Jur",-6.20046552140891,19,5.88215000152381e-06,5.49000666808889e-05
"M_Trias vs L_Jur",-2.25596994534263,33,0.0308222901545292,0.0479457846848232
"M_Trias vs E_Cret",-2.97461045654323,29,0.00585825559546915,0.0117165111909383
"M_Trias vs L_Cret",-5.71835284586821,19,1.64063982941443e-05,9.18758304472078e-05
"L_Trias vs E_Jur",1.34552111561331,35,0.18710967364887,0.261953543108418
"L_Trias vs M_Jur",-4.85878211400363,13,0.000312215765253754,0.00124886306101502
"L_Trias vs L_Jur",-0.452778868666988,27,0.654325435543402,0.73284448780861
"L_Trias vs E_Cret",-1.28176121832752,23,0.212697442979869,0.283596590639825
"L_Trias vs L_Cret",-4.41574849093859,13,0.000697154577151693,0.0021689253511386
"E_Jur vs M_Jur",-6.47523150885003,26,7.30882245836284e-07,2.0464702883416e-05
"E_Jur vs L_Jur",-2.24322385066326,40,0.0304888471329974,0.0479457846848232
"E_Jur vs E_Cret",-3.0624086119102,36,0.0041388592173397,0.00891446600657781
"E_Jur vs L_Cret",-5.98281832351506,26,2.57352459387405e-06,3.60293443142368e-05
"M_Jur vs L_Jur",6.06144667695089,18,9.93974690643995e-06,6.95782283450797e-05
"M_Jur vs E_Cret",4.64281458762709,14,0.000380232991840757,0.00133081547144265
"M_Jur vs L_Cret",0.327638700172086,4,0.75961592796518,0.81804792242404
"L_Jur vs E_Cret",-1.12616268928647,28,0.26965664476573,0.336180356580745
"L_Jur vs L_Cret",-5.45723875381245,18,3.48912215444308e-05,0.000162825700540677
"E_Cret vs L_Cret",-4.13898374468802,14,0.0010028706057601,0.00280803769612827
