"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.553850107344796,27,0.58423963537846,0.711248251765082
"E_Trias vs L_Trias",0.588897370134278,21,0.562211907893172,0.711248251765082
"E_Trias vs E_Jur",-2.57098193835573,34,0.0146894583074484,0.082260966521711
"E_Trias vs M_Jur",-1.68424486093795,12,0.117943700894518,0.2201615750031
"E_Trias vs L_Jur",-1.66224887164829,26,0.10847415561998,0.216948311239959
"E_Trias vs E_Cret",-1.3896871622021,22,0.178528226326911,0.312373839211153
"E_Trias vs L_Cret",-0.0939205364363329,12,0.926722253377254,0.926722253377254
"M_Trias vs L_Trias",0.14761173407541,28,0.883707022756783,0.926722253377254
"M_Trias vs E_Jur",-4.21000994982806,41,0.000135960910596422,0.00380690549669982
"M_Trias vs M_Jur",-2.41725769884241,19,0.0258588512830322,0.103435405132129
"M_Trias vs L_Jur",-2.90033471383321,33,0.0065860667601485,0.0614699564280527
"M_Trias vs E_Cret",-2.44837120150458,29,0.0206354619306892,0.0962988223432163
"M_Trias vs L_Cret",-0.475142035546764,19,0.640102079496924,0.716914329036555
"L_Trias vs E_Jur",-3.85485606529708,35,0.00047407314210246,0.00663702398943444
"L_Trias vs M_Jur",-2.20955596107829,13,0.0456881854865232,0.116297199420241
"L_Trias vs L_Jur",-2.68726017176966,27,0.0121811638067808,0.082260966521711
"L_Trias vs E_Cret",-2.27311678280066,23,0.0326762798604714,0.11436697951165
"L_Trias vs L_Cret",-0.492952727766794,13,0.630267658973132,0.716914329036555
"E_Jur vs M_Jur",-2.12240001908431,26,0.0434902280468306,0.116297199420241
"E_Jur vs L_Jur",1.14335621038521,40,0.25968764652555,0.382697584353441
"E_Jur vs E_Cret",1.08462306520247,36,0.285299056902744,0.399418679663841
"E_Jur vs L_Cret",1.92918673075895,26,0.064690029832954,0.150943402943559
"M_Jur vs L_Jur",2.15561633064058,18,0.0448956089555981,0.116297199420241
"M_Jur vs E_Cret",1.84412958696769,14,0.0864280784818303,0.186152784422404
"M_Jur vs L_Cret",1.57821822490323,4,0.189655545235343,0.312373839211153
"L_Jur vs E_Cret",0.100141035636878,28,0.920945946446812,0.926722253377254
"L_Jur vs L_Cret",1.19028395826524,18,0.249397025739545,0.382697584353441
"E_Cret vs L_Cret",0.974729773058313,14,0.34623653714203,0.461648716189374
