"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.0507165614570411,43,0.959786242998436,0.994901942878293
"bin1 vs bin3",-0.128815926604708,36,0.898220290786599,0.972300314768999
"bin1 vs bin4",-0.0889243822091444,31,0.929714023038849,0.986060327465446
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.834942314827416,38,0.408968980508489,0.764565523900092
"bin1 vs bin7",-0.991433741365371,39,0.327585461074936,0.764565523900092
"bin1 vs bin8",-0.964050304931721,38,0.341115977937335,0.764565523900092
"bin1 vs bin9",-1.0075837356207,29,0.321987958879693,0.764565523900092
"bin1 vs bin10",-0.762614207825123,31,0.451457737921959,0.764565523900092
"bin1 vs bin11",-0.569177473278087,42,0.572267259129575,0.823427395425233
"bin1 vs bin12",-1.04736232017239,28,0.303889846161469,0.764565523900092
"bin1 vs bin13",-0.736401185321057,33,0.466689575969168,0.776271109157823
"bin1 vs bin14",-0.779347279126823,32,0.441501137867615,0.764565523900092
"bin1 vs bin15",-0.867074374630833,29,0.393019329294144,0.764565523900092
"bin1 vs bin16",-0.358437454263907,31,0.722445472323103,0.902043467285346
"bin2 vs bin3",-0.196041150646665,25,0.846162768763901,0.945181816172443
"bin2 vs bin4",-0.148341739757852,20,0.883558526382899,0.966392138231295
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.07432825378434,27,0.292183265163217,0.764565523900092
"bin2 vs bin7",-1.2921873144673,28,0.206855690174421,0.764565523900092
"bin2 vs bin8",-1.24336732705777,27,0.224420983268271,0.764565523900092
"bin2 vs bin9",-1.31925283186107,18,0.203621176873751,0.764565523900092
"bin2 vs bin10",-1.00513079431353,20,0.326840586697636,0.764565523900092
"bin2 vs bin11",-0.726213648652452,31,0.473155723677149,0.776271109157823
"bin2 vs bin12",-1.3723442584823,17,0.187793429635464,0.764565523900092
"bin2 vs bin13",-0.970252540876942,22,0.34246771912071,0.764565523900092
"bin2 vs bin14",-1.02153729539963,21,0.318624738816309,0.764565523900092
"bin2 vs bin15",-1.13739025989805,18,0.27028975530112,0.764565523900092
"bin2 vs bin16",-0.487361440444512,20,0.631301355268348,0.871594663772118
"bin3 vs bin4",0.009770017575434,13,0.992353119066773,0.994901942878293
"bin3 vs bin5",NA,NA,NA,NA
