"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-2.25635989854652,43,0.0291873923658388,0.0464344878547435
"bin1 vs bin3",-3.67007955999426,36,0.000779871491367601,0.002213148826854
"bin1 vs bin4",-5.17492232214338,31,1.30067625281338e-05,8.53568790908782e-05
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-5.21730814328274,38,6.72172604709864e-06,5.63585829899554e-05
"bin1 vs bin7",-5.41225375765611,39,3.38662345211738e-06,3.95106069413694e-05
"bin1 vs bin8",-5.34802847797478,38,4.45664421211411e-06,4.25406947519984e-05
"bin1 vs bin9",-6.47524284830966,29,4.36282301619073e-07,2.02131041043829e-05
"bin1 vs bin10",-6.0763937488964,31,9.87527364992857e-07,2.02131041043829e-05
"bin1 vs bin11",-4.2605647355729,42,0.00011254015628559,0.000492363183749456
"bin1 vs bin12",-6.17151113849973,28,1.15503452025045e-06,2.02131041043829e-05
"bin1 vs bin13",-5.95009496970254,33,1.1172869722742e-06,2.02131041043829e-05
"bin1 vs bin14",-6.18430856951684,32,6.37303752215601e-07,2.02131041043829e-05
"bin1 vs bin15",-6.14080770517228,29,1.08318288183362e-06,2.02131041043829e-05
"bin1 vs bin16",-5.75341045767056,31,2.47910695572173e-06,3.7186604335826e-05
"bin2 vs bin3",-2.0629672937818,25,0.0496479892016062,0.0714114913173788
"bin2 vs bin4",-4.55248507434813,20,0.000193603709048418,0.000752903312966069
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-3.62038719751954,27,0.00119702707520508,0.00302960373984196
"bin2 vs bin7",-3.75742010359882,28,0.000802103670116239,0.00221633908847908
"bin2 vs bin8",-3.74950203627729,27,0.000855302187610762,0.00230273665895205
"bin2 vs bin9",-6.68172585331138,18,2.87664767784079e-06,3.77560007716604e-05
"bin2 vs bin10",-5.67647250702731,20,1.4826270121393e-05,8.6486575708126e-05
"bin2 vs bin11",-2.18962438729068,31,0.0362028009809516,0.0559013838676459
"bin2 vs bin12",-6.69364004726103,17,3.77564015918708e-06,3.96442216714643e-05
"bin2 vs bin13",-5.17407478005025,22,3.45984128991006e-05,0.000181641667720278
"bin2 vs bin14",-5.60505455679038,21,1.45819264878444e-05,8.6486575708126e-05
"bin2 vs bin15",-6.23585775272992,18,6.97772932256591e-06,5.63585829899554e-05
"bin2 vs bin16",-5.26043989053711,20,3.78809818994963e-05,0.000189404909497481
"bin3 vs bin4",-2.46461974136298,13,0.0284209516170519,0.0459107679967762
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-1.0316561583236,20,0.314548248048699,0.366972956056815
"bin3 vs bin7",-1.04215824218047,21,0.309188183904339,0.364772576516355
"bin3 vs bin8",-1.18190413511913,20,0.251106320231099,0.306583297956574
"bin3 vs bin9",-4.65537738642099,11,0.000698945971252307,0.00203859241615256
"bin3 vs bin10",-3.42508277697024,13,0.00451924167693241,0.0101684799665407
"bin3 vs bin11",0.353481746587921,24,0.726813515790914,0.778728766918836
"bin3 vs bin12",-4.91854260311648,10,0.000606169627656472,0.00187199443835087
"bin3 vs bin13",-2.72831274904453,15,0.0155495766760663,0.0286439570348589
"bin3 vs bin14",-3.22987077506259,14,0.00605018759700227,0.0127053939537048
"bin3 vs bin15",-4.26306643557826,11,0.00133611591946758,0.00326260864056038
"bin3 vs bin16",-3.07208097493753,13,0.00891308419516346,0.0179975738556185
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",2.06715552978088,15,0.0564286259573885,0.0800676449395377
"bin4 vs bin7",2.23546281608694,16,0.0399918628635962,0.0591428957841916
"bin4 vs bin8",1.82860444581651,15,0.0874115270352818,0.114727629233807
"bin4 vs bin9",-2.66880468718232,6,0.0370856664149415,0.0564347097618675
"bin4 vs bin10",-0.88325436681876,8,0.402859882146026,0.459785735057964
