"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.506752765784705,43,0.614917146826664,0.725464049626963
"bin1 vs bin3",-0.0456938367874115,36,0.963806811982874,0.982521507361182
"bin1 vs bin4",0.798522588849779,31,0.430642667825526,0.572373166097218
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-3.10474629137259,38,0.00358935112865466,0.0463931509371051
"bin1 vs bin7",-3.77045220372408,39,0.000540362807541328,0.0189126982639465
"bin1 vs bin8",-3.58540611376501,38,0.000945268230801322,0.0248132910585347
"bin1 vs bin9",-2.63167247735706,29,0.0134698999889276,0.0707169749418697
"bin1 vs bin10",-2.24652273637187,31,0.0319353987847393,0.104788027262426
"bin1 vs bin11",-2.18587515722034,42,0.0344505448504429,0.106391388508721
"bin1 vs bin12",-2.27652488588429,28,0.0306577744082863,0.10384084880226
"bin1 vs bin13",-2.4562709165187,33,0.0194701548699936,0.0817746504539731
"bin1 vs bin14",-2.43473904800361,32,0.0206584249483686,0.0834282545991807
"bin1 vs bin15",-2.15485511866686,29,0.039612153153268,0.118836459459804
"bin1 vs bin16",-0.511179591579753,31,0.612847062253548,0.725464049626963
"bin2 vs bin3",-0.413213494222055,25,0.682973097117182,0.771098658035529
"bin2 vs bin4",0.457907755067846,20,0.651954728719874,0.760613850173187
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-3.53291910537101,27,0.00150076189308557,0.028137954498848
"bin2 vs bin7",-4.24229669779102,28,0.000218750602043682,0.0189126982639465
"bin2 vs bin8",-4.01341411960391,27,0.000427136180905618,0.0189126982639465
"bin2 vs bin9",-2.86783220002431,18,0.0102312877151174,0.0634316970642065
"bin2 vs bin10",-2.55286421388521,20,0.0189595240657483,0.0817746504539731
"bin2 vs bin11",-2.64801633938659,31,0.0126175623371181,0.0697286339682841
"bin2 vs bin12",-2.4691834302191,17,0.0244391103174613,0.0916466636904797
"bin2 vs bin13",-2.8070447438657,22,0.0102698938103953,0.0634316970642065
"bin2 vs bin14",-2.75162239334566,21,0.0119555441093244,0.0697286339682841
"bin2 vs bin15",-2.38062810898507,18,0.0285378773806813,0.0998825708323844
"bin2 vs bin16",-0.804885054854664,20,0.430351053690989,0.572373166097218
"bin3 vs bin4",0.656936250441507,13,0.522682392471053,0.669288429383666
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-2.58377804145572,20,0.0177379288631718,0.0809775013318714
"bin3 vs bin7",-3.18864183975913,21,0.00441839532734334,0.0463931509371051
"bin3 vs bin8",-3.00515233833223,20,0.0069942922078079,0.0597241913263648
"bin3 vs bin9",-2.28897588249377,11,0.0428547688508174,0.120219845897844
"bin3 vs bin10",-1.92296584573752,13,0.0766665889285569,0.157842977205852
"bin3 vs bin11",-1.73886728666923,24,0.0948719111242098,0.171965790825725
"bin3 vs bin12",-1.98746520502509,10,0.0749361170723339,0.157842977205852
"bin3 vs bin13",-2.07914927429934,15,0.0551745982290683,0.129988954845344
"bin3 vs bin14",-2.06083818342014,14,0.0584040824476366,0.129988954845344
"bin3 vs bin15",-1.85129576746488,11,0.0911389699578262,0.171965790825725
"bin3 vs bin16",-0.394176789516275,13,0.699840476911882,0.781736702933485
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",-3.17423118737421,15,0.00628685498165815,0.0597241913263648
"bin4 vs bin7",-3.78952391840406,16,0.00160788311421989,0.028137954498848
"bin4 vs bin8",-3.54804391960946,15,0.00292092935666988,0.0438139403500482
"bin4 vs bin9",-2.54970113653503,6,0.0435081347058865,0.120219845897844
"bin4 vs bin10",-2.35169356746916,8,0.0465580095287796,0.122214775013047
"bin4 vs bin11",-2.48570313597368,19,0.0224049913136528,0.0871305217753165
"bin4 vs bin12",-2.20227982170397,5,0.0788671592725809,0.159250994685019
"bin4 vs bin13",-2.57379857270486,10,0.0277095250001,0.0998825708323844
"bin4 vs bin14",-2.49536199285007,9,0.0341204984976053,0.106391388508721
"bin4 vs bin15",-2.14196009028803,6,0.0759445534743344,0.157842977205852
"bin4 vs bin16",-0.942358140778928,8,0.373592021903131,0.52930354377889
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
