"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.551088463719471,27,0.586104897787123,0.963172770339686
"E_Trias vs L_Trias",0.249011804423297,21,0.805770912591911,0.963172770339686
"E_Trias vs E_Jur",0.726234093844981,34,0.472665508796561,0.956027604244228
"E_Trias vs M_Jur",-1.63607233212577,12,0.127764038496361,0.298116089824843
"E_Trias vs L_Jur",0.31428901775545,26,0.755809633659585,0.963172770339686
"E_Trias vs E_Cret",0.0429007722584327,22,0.966167627793664,0.984181684690808
"E_Trias vs L_Cret",-1.75664993124736,12,0.104439527584221,0.265846070214381
"M_Trias vs L_Trias",-0.256598665037745,28,0.799364675998367,0.963172770339686
"M_Trias vs E_Jur",0.0939497632961625,41,0.925606696664893,0.984181684690808
"M_Trias vs M_Jur",-2.23906869209078,19,0.037312692408066,0.214524318926039
"M_Trias vs L_Jur",-0.280263174754995,33,0.781025074192975,0.963172770339686
"M_Trias vs E_Cret",-0.538253377988546,29,0.594509670679177,0.963172770339686
"M_Trias vs L_Cret",-2.38072264039234,19,0.0279001102217042,0.214524318926039
"L_Trias vs E_Jur",0.380347958802885,35,0.705985729791561,0.963172770339686
"L_Trias vs M_Jur",-1.7749107719598,13,0.0993163091902374,0.265846070214381
"L_Trias vs L_Jur",0.02001108108085,27,0.984181684690808,0.984181684690808
"L_Trias vs E_Cret",-0.222905670640405,23,0.825576660291159,0.963172770339686
"L_Trias vs L_Cret",-1.89453052205222,13,0.0806148802410482,0.265846070214381
"E_Jur vs M_Jur",-2.67199738740518,26,0.0128420453234444,0.179788634528221
"E_Jur vs L_Jur",-0.423338730575907,40,0.674315766652278,0.963172770339686
"E_Jur vs E_Cret",-0.716978274655421,36,0.478013802122114,0.956027604244228
"E_Jur vs L_Cret",-2.83953933391347,26,0.00865686385797981,0.179788634528221
"M_Jur vs L_Jur",2.09465999435261,18,0.0506169189436438,0.236212288403671
"M_Jur vs E_Cret",1.75745309094617,14,0.100675783824835,0.265846070214381
"M_Jur vs L_Cret",-0.0591470466783592,4,0.955672016334794,0.984181684690808
"L_Jur vs E_Cret",-0.285055834993009,28,0.777699281250112,0.963172770339686
"L_Jur vs L_Cret",-2.23530804514622,18,0.0383079140939355,0.214524318926039
"E_Cret vs L_Cret",-1.8842547921878,14,0.0804651455121212,0.265846070214381
