"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",3.12528023048102,27,0.00421699516847607,0.00737974154483312
"E_Trias vs L_Trias",0.765037840076499,21,0.452761484753893,0.50709286292436
"E_Trias vs E_Jur",4.40081053138418,34,0.000101259068197912,0.000326844410179087
"E_Trias vs M_Jur",-4.37985996834302,12,0.00089652370938742,0.00179304741877484
"E_Trias vs L_Jur",2.41564217238853,26,0.0230340060459939,0.0362144886993747
"E_Trias vs E_Cret",0.785154826642708,22,0.440736777869508,0.50709286292436
"E_Trias vs L_Cret",-5.08278310851616,12,0.000269401963871374,0.00068575045349077
"M_Trias vs L_Trias",-2.28083063207528,28,0.0303688069028583,0.0447540312252648
"M_Trias vs E_Jur",1.32230873344623,41,0.19339486251977,0.235437223937111
"M_Trias vs M_Jur",-6.65510673530424,19,2.29781996519129e-06,1.60847397563391e-05
"M_Trias vs L_Jur",-0.641627224912831,33,0.525547225583414,0.565973935243677
"M_Trias vs E_Cret",-2.39539795849311,29,0.0232807427353123,0.0362144886993747
"M_Trias vs L_Cret",-7.41291743696886,19,5.10039368073478e-07,4.76036743535246e-06
"L_Trias vs E_Jur",3.54747759826624,35,0.00112959679869951,0.00210858069090574
"L_Trias vs M_Jur",-4.79577878371819,13,0.00034947663546836,0.000815445482759506
"L_Trias vs L_Jur",1.610968582715,27,0.118816938678611,0.151221558318232
"L_Trias vs E_Cret",-0.0133664563237371,23,0.989450697574834,0.989450697574834
"L_Trias vs L_Cret",-5.48347440610629,13,0.000105057131843278,0.000326844410179087
"E_Jur vs M_Jur",-7.39251044347843,26,7.52538367176925e-08,1.05355371404769e-06
"E_Jur vs L_Jur",-1.95180650956313,40,0.0579871083263883,0.0811819516569436
"E_Jur vs E_Cret",-3.71684601944418,36,0.000682689856863705,0.00147040892247567
"E_Jur vs L_Cret",-8.12652664539243,26,1.31635751188242e-08,3.68580103327076e-07
"M_Jur vs L_Jur",5.92493533332062,18,1.31476013820464e-05,6.13554731162166e-05
"M_Jur vs E_Cret",4.99632796761916,14,0.000195844560301639,0.000548364768844589
"M_Jur vs L_Cret",-0.460943395267955,4,0.66878746084839,0.693557366805738
"L_Jur vs E_Cret",-1.6952040801517,28,0.101131331821254,0.134841775761672
"L_Jur vs L_Cret",-6.61934237011346,18,3.25110061405454e-06,1.82061634387054e-05
"E_Cret vs L_Cret",-5.71588255262773,14,5.33454655085031e-05,0.000213381862034012
