"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",1.73450273897162,27,0.0942335509226373,0.164908714114615
"E_Trias vs L_Trias",1.00818108030666,21,0.324843753752849,0.454781255253989
"E_Trias vs E_Jur",2.03050797855457,34,0.050185285541529,0.100930504964804
"E_Trias vs M_Jur",-2.04256685457877,12,0.0637018025867262,0.118910031495222
"E_Trias vs L_Jur",0.622138598309099,26,0.539268803304796,0.656501151849317
"E_Trias vs E_Cret",-0.155411481747031,22,0.877914055218379,0.878112148817462
"E_Trias vs L_Cret",-2.52946122057241,12,0.0264455726377435,0.0706024973075826
"M_Trias vs L_Trias",-0.424105842115233,28,0.674729342549949,0.787184232974941
"M_Trias vs E_Jur",-0.231291951251293,41,0.818238416210844,0.878112148817462
"M_Trias vs M_Jur",-3.25385796573473,19,0.00417733917430074,0.0233930993760842
"M_Trias vs L_Jur",-1.43653381951876,33,0.160263985775833,0.249299533429074
"M_Trias vs E_Cret",-2.07914480568072,29,0.0465546642667423,0.100930504964804
"M_Trias vs L_Cret",-3.92132998901062,19,0.000917026754502448,0.00855891637535618
"L_Trias vs E_Jur",0.361464923267647,35,0.719924933966947,0.80631592604298
"L_Trias vs M_Jur",-2.47756906497171,13,0.027736695370836,0.0706024973075826
"L_Trias vs L_Jur",-0.675434409847361,27,0.505143863335239,0.642910371517577
"L_Trias vs E_Cret",-1.24563210380823,23,0.22544002549338,0.332227405990245
"L_Trias vs L_Cret",-2.98995073899584,13,0.0104386754170231,0.0487138186127747
"E_Jur vs M_Jur",-3.88747229238812,26,0.00062653944872304,0.00855891637535618
"E_Jur vs L_Jur",-1.61705658183487,40,0.113726422419108,0.187314107513826
"E_Jur vs E_Cret",-2.45497736414289,36,0.0190531274099994,0.0592763963866649
"E_Jur vs L_Cret",-4.72087299122593,26,7.0220190191872e-05,0.00196616532537242
"M_Jur vs L_Jur",2.78574350341682,18,0.012203684000379,0.0488147360015159
"M_Jur vs E_Cret",2.13980893649775,14,0.0504652524824019,0.100930504964804
"M_Jur vs L_Cret",-0.163420038088325,4,0.878112148817462,0.878112148817462
"L_Jur vs E_Cret",-0.873623944020454,28,0.389754434075535,0.519672578767381
"L_Jur vs L_Cret",-3.4195030709824,18,0.00305655553720641,0.0213958887604448
"E_Cret vs L_Cret",-2.65999540534522,14,0.0186612332978477,0.0592763963866649
