"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.268773222815773,43,0.789389585038431,0.963789609639945
"bin1 vs bin3",-0.734710955617816,36,0.467274736963025,0.731105436323505
"bin1 vs bin4",-1.61303199496307,31,0.116872849199023,0.514216034624357
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.79832947865167,38,0.429640546435055,0.731105436323505
"bin1 vs bin7",-0.759943701611949,39,0.451857915065251,0.731105436323505
"bin1 vs bin8",-0.81412685053237,38,0.420644934929149,0.731105436323505
"bin1 vs bin9",-2.79720268907082,29,0.00905967771476446,0.197655953794664
"bin1 vs bin10",-1.81652323447024,31,0.0789712586660691,0.514216034624357
"bin1 vs bin11",-0.678835709885022,42,0.500965718217288,0.731105436323505
"bin1 vs bin12",-4.17085156246441,28,0.000265345643813086,0.0278612926003741
"bin1 vs bin13",-1.54476889249794,33,0.131939084197096,0.532830916949813
"bin1 vs bin14",-1.72270653606113,32,0.0945944707335411,0.514216034624357
"bin1 vs bin15",-2.78145478079414,29,0.00941218827593637,0.197655953794664
"bin1 vs bin16",-1.95886203842355,31,0.0591770630963375,0.469873537771982
"bin2 vs bin3",-0.420157419810627,25,0.677959753643632,0.873308559905567
"bin2 vs bin4",-1.17742777976595,20,0.252846910242267,0.731105436323505
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.454229792848297,27,0.653294038188632,0.85744842512258
"bin2 vs bin7",-0.414022029339369,28,0.682012399164348,0.873308559905567
"bin2 vs bin8",-0.468183598453285,27,0.643410854768818,0.855166325958555
"bin2 vs bin9",-2.16835187885282,18,0.043777519192356,0.428790486658988
"bin2 vs bin10",-1.33977838466043,20,0.195342866599351,0.621545484634297
"bin2 vs bin11",-0.330525255985527,31,0.743226688689556,0.929033360861944
"bin2 vs bin12",-3.31868979850813,17,0.00406277779382624,0.197655953794664
"bin2 vs bin13",-1.0966036873701,22,0.284673668573503,0.731105436323505
"bin2 vs bin14",-1.25066452150657,21,0.224812943742443,0.678376510934796
"bin2 vs bin15",-2.15533153204805,18,0.0449209081261797,0.428790486658988
"bin2 vs bin16",-1.45527612726445,20,0.161110212958558,0.583177466884586
"bin3 vs bin4",-0.69621179297844,13,0.498555515510528,0.731105436323505
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.00510871476580614,20,0.995974467775125,0.995974467775125
"bin3 vs bin7",0.0553920277928655,21,0.956349773966623,0.995974467775125
"bin3 vs bin8",-0.00889391943914827,20,0.992991891529449,0.995974467775125
"bin3 vs bin9",-1.5452766850706,11,0.150547019844856,0.572217271276511
"bin3 vs bin10",-0.819705845328254,13,0.427157403392735,0.731105436323505
"bin3 vs bin11",0.155374929075277,24,0.877825157862202,0.995974467775125
"bin3 vs bin12",-2.52850402765734,10,0.0299476020249576,0.349388690291172
"bin3 vs bin13",-0.58228712489299,15,0.569023027396566,0.765992536879993
"bin3 vs bin14",-0.72348839231367,14,0.481294255215173,0.731105436323505
"bin3 vs bin15",-1.53680793144183,11,0.152591272340403,0.572217271276511
"bin3 vs bin16",-0.913768273656141,13,0.377474839648038,0.731105436323505
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",0.763991669895856,15,0.456722418853156,0.731105436323505
"bin4 vs bin7",0.83919739329971,16,0.413721845825043,0.731105436323505
"bin4 vs bin8",0.74664579001361,15,0.466819823493339,0.731105436323505
"bin4 vs bin9",-0.732296260148503,6,0.49159105575866,0.731105436323505
"bin4 vs bin10",-0.0747641090001134,8,0.942238116266083,0.995974467775125
"bin4 vs bin11",0.978092861163356,19,0.340318815003146,0.731105436323505
"bin4 vs bin12",-1.57888324587129,5,0.175195937104114,0.593405593417161
"bin4 vs bin13",0.183545262603761,10,0.858038447267551,0.995974467775125
"bin4 vs bin14",0.0457773973818213,9,0.964487324481218,0.995974467775125
"bin4 vs bin15",-0.733646077793685,6,0.490825726976717,0.731105436323505
"bin4 vs bin16",-0.149485553996866,8,0.884870339976858,0.995974467775125
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.0548203148445461,23,0.956755035117803,0.995974467775125
"bin6 vs bin8",-0.0152907112819319,22,0.987938075995265,0.995974467775125
"bin6 vs bin9",-1.68866780075829,13,0.115110275007754,0.514216034624357
"bin6 vs bin10",-0.899223520446816,15,0.38274232313315,0.731105436323505
"bin6 vs bin11",0.163963642779525,26,0.871027730461505,0.995974467775125
"bin6 vs bin12",-2.75928553398754,12,0.0173020521323852,0.246590705799334
"bin6 vs bin13",-0.641240580728597,17,0.529917383498806,0.751909800910467
"bin6 vs bin14",-0.79504388717732,16,0.438223470939047,0.731105436323505
"bin6 vs bin15",-1.67904677130923,13,0.117002730434238,0.514216034624357
"bin6 vs bin16",-1.00189302129244,15,0.332284568481538,0.731105436323505
"bin7 vs bin8",-0.0704039687178049,23,0.944480714371255,0.995974467775125
"bin7 vs bin9",-1.80833004665594,14,0.0920790630326365,0.514216034624357
"bin7 vs bin10",-0.983369007998713,16,0.340063257236847,0.731105436323505
"bin7 vs bin11",0.109686257789419,27,0.913469396311403,0.995974467775125
"bin7 vs bin12",-2.93698962961034,13,0.0115571568515234,0.202250244901659
"bin7 vs bin13",-0.717857816423324,18,0.482058765564797,0.731105436323505
"bin7 vs bin14",-0.877423027011226,17,0.392488433229844,0.731105436323505
"bin7 vs bin15",-1.79648160011303,14,0.0940206257142044,0.514216034624357
"bin7 vs bin16",-1.09086886679432,16,0.291486550380815,0.731105436323505
"bin8 vs bin9",-1.66074744792434,13,0.12067764951643,0.514216034624357
"bin8 vs bin10",-0.879663304118287,15,0.392916727909467,0.731105436323505
"bin8 vs bin11",0.180044232033486,26,0.858513770265812,0.995974467775125
"bin8 vs bin12",-2.71479700565608,12,0.0187878632989968,0.246590705799334
"bin8 vs bin13",-0.622970161872403,17,0.541572019075277,0.75224310827774
"bin8 vs bin14",-0.77564641663663,16,0.449271275912853,0.731105436323505
"bin8 vs bin15",-1.6521811744327,13,0.122432389196276,0.514216034624357
"bin8 vs bin16",-0.981492062122061,15,0.341916724713489,0.731105436323505
"bin9 vs bin10",0.703186675821931,6,0.50829235096777,0.731105436323505
"bin9 vs bin11",2.00443313589187,17,0.0612201829142798,0.469873537771982
"bin9 vs bin12",-0.89278381211741,3,0.437751147185946,0.731105436323505
"bin9 vs bin13",1.02136472998462,8,0.336971678104524,0.731105436323505
"bin9 vs bin14",0.869156324621824,7,0.413567696109677,0.731105436323505
"bin9 vs bin15",-0.0168415042955575,4,0.987369618107359,0.995974467775125
"bin9 vs bin16",0.630442989345485,6,0.551644946070343,0.75224310827774
"bin10 vs bin11",1.1350570078979,19,0.270468198722638,0.731105436323505
"bin10 vs bin12",-1.61783464011066,5,0.166622133395596,0.583177466884586
"bin10 vs bin13",0.279220915473865,10,0.785764920176283,0.963789609639945
"bin10 vs bin14",0.132092924691171,9,0.89781675802654,0.995974467775125
"bin10 vs bin15",-0.704445576886619,6,0.507562328895912,0.731105436323505
"bin10 vs bin16",-0.0784311788797408,8,0.93941135451474,0.995974467775125
"bin11 vs bin12",-3.19386353233038,16,0.00565009477917178,0.197655953794664
"bin11 vs bin13",-0.860957135863027,21,0.39898542378743,0.731105436323505
"bin11 vs bin14",-1.02791994518156,20,0.31625963050922,0.731105436323505
"bin11 vs bin15",-1.99228887116577,17,0.0626498050362643,0.469873537771982
"bin11 vs bin16",-1.25098547647798,19,0.226125503644932,0.678376510934796
"bin12 vs bin13",1.99485447207003,7,0.0862714947680758,0.514216034624357
"bin12 vs bin14",1.83512299769152,6,0.116160584262659,0.514216034624357
"bin12 vs bin15",0.841358578874463,3,0.461922243095978,0.731105436323505
"bin12 vs bin16",1.54076217243584,5,0.184005872557706,0.603769269329973
"bin13 vs bin14",-0.152935063539307,11,0.881218800471929,0.995974467775125
"bin13 vs bin15",-1.01865821714216,8,0.338179126746141,0.731105436323505
"bin13 vs bin16",-0.366099572026684,10,0.7219171626177,0.91326869969709
"bin14 vs bin15",-0.867958574281856,7,0.414180114927842,0.731105436323505
"bin14 vs bin16",-0.215990094037097,9,0.833811344579799,0.995974467775125
"bin15 vs bin16",0.633644913844027,6,0.549688987168856,0.75224310827774
