"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-3.28810607357643,43,0.00201582884955509,0.00481050066371101
"bin1 vs bin3",-5.68946688010339,36,1.80743549660356e-06,1.89780727143374e-05
"bin1 vs bin4",-7.74943482712129,31,9.62864987741341e-09,2.02201647425682e-07
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-5.42175595050285,38,3.53330034430499e-06,3.09163780126687e-05
"bin1 vs bin7",-5.26960910321187,39,5.33192419260864e-06,4.02125788301344e-05
"bin1 vs bin8",-5.91470568456316,38,7.4532590033094e-07,8.6954688371943e-06
"bin1 vs bin9",-8.36157484907429,29,3.23677773472753e-09,8.49654155365975e-08
"bin1 vs bin10",-7.61851824667659,31,1.36867921440853e-08,2.39518862521493e-07
"bin1 vs bin11",-3.80552341595451,42,0.000453195213001578,0.00128609452338286
"bin1 vs bin12",-8.50705989885821,28,3.0048148413897e-09,8.49654155365975e-08
"bin1 vs bin13",-7.03256477243759,33,4.78832806738438e-08,6.284680588442e-07
"bin1 vs bin14",-7.44949152770445,32,1.77181262994708e-08,2.65771894492062e-07
"bin1 vs bin15",-8.43058967807176,29,2.72779132615142e-09,8.49654155365975e-08
"bin1 vs bin16",-8.164223271176,31,3.20354565097603e-09,8.49654155365975e-08
"bin2 vs bin3",-2.67361383221282,25,0.0130287934033375,0.0244289876312578
"bin2 vs bin4",-5.25711478967134,20,3.81687353177007e-05,0.000200385860417929
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-2.21701204325618,27,0.0352316950366816,0.0552138504306203
"bin2 vs bin7",-2.02353397290988,28,0.0526572772225957,0.07636617832373
"bin2 vs bin8",-2.63944914058248,27,0.0136243549163251,0.0246647804519678
"bin2 vs bin9",-6.30838269352409,18,6.03018667710842e-06,4.22113067397589e-05
"bin2 vs bin10",-5.13638771497459,20,5.02730498972426e-05,0.000251365249486213
"bin2 vs bin11",-0.543135917987006,31,0.590920593020514,0.639656312032515
"bin2 vs bin12",-6.78780541543861,17,3.16594087612643e-06,3.02203447266614e-05
"bin2 vs bin13",-4.26193393898875,22,0.000318214283288931,0.00100162206867495
"bin2 vs bin14",-4.79809662312321,21,9.66798658286194e-05,0.00042297441300021
"bin2 vs bin15",-6.36702703726517,18,5.36167717735125e-06,4.02125788301344e-05
"bin2 vs bin16",-5.6423833891986,20,1.59997281892199e-05,9.88218505804759e-05
"bin3 vs bin4",-2.8640900162291,13,0.0132929427518318,0.0244869998060059
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.580950261729166,20,0.567763660171238,0.627528255978737
"bin3 vs bin7",0.762859167938464,21,0.454032086283774,0.51818879412822
"bin3 vs bin8",0.251446464124485,20,0.804034481082445,0.835877430828284
"bin3 vs bin9",-4.22586683016587,11,0.00142227027135489,0.00355567567838722
"bin3 vs bin10",-2.71973733976049,13,0.017521688884782,0.0301602841459362
"bin3 vs bin11",2.13289403849498,24,0.0433623191938626,0.0659861379037039
"bin3 vs bin12",-4.99794636714994,10,0.00053896271173226,0.00148923907189177
"bin3 vs bin13",-1.68356787092888,15,0.112955345110278,0.150130521982015
