"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.44360876054524,43,0.659549678316564,0.814241912025584
"bin1 vs bin3",-1.53691605501525,36,0.133057529465713,0.263205369006022
"bin1 vs bin4",-2.60860962292813,31,0.013865576720143,0.0678274642179492
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-2.57009738767348,38,0.0142114686932846,0.0678274642179492
"bin1 vs bin7",-2.60284296461412,39,0.0130066458653022,0.0678274642179492
"bin1 vs bin8",-2.60148683243874,38,0.0131562993472727,0.0678274642179492
"bin1 vs bin9",-4.47664425535998,29,0.00010830255195815,0.00468844118521017
"bin1 vs bin10",-3.831563191732,31,0.000582071050468036,0.00873106575702054
"bin1 vs bin11",-2.80039397285312,42,0.00768166898462574,0.0605670217246868
"bin1 vs bin12",-5.21463776709849,28,1.54251043160691e-05,0.00161963595318726
"bin1 vs bin13",-4.14385229147867,33,0.000223259104057627,0.00468844118521017
"bin1 vs bin14",-4.17644118076804,32,0.000212800710725158,0.00468844118521017
"bin1 vs bin15",-4.06087565880103,29,0.00033902597084734,0.00593295448982845
"bin1 vs bin16",-4.21126749004721,31,0.000202393999845896,0.00468844118521017
"bin2 vs bin3",-0.892234522241471,25,0.380775219726821,0.563118282694594
"bin2 vs bin4",-1.84106804662686,20,0.0804954895940329,0.211300660184336
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.57584755990447,27,0.12670703635704,0.255905469806977
"bin2 vs bin7",-1.57394052493993,28,0.126734137428217,0.255905469806977
"bin2 vs bin8",-1.61547479786252,27,0.117834669067699,0.252444843457712
"bin2 vs bin9",-3.26583243544678,18,0.00429298069252915,0.045076297271556
"bin2 vs bin10",-2.69624578828673,20,0.0138916205795339,0.0678274642179492
"bin2 vs bin11",-1.66541040254616,31,0.105906766831227,0.247115789272863
"bin2 vs bin12",-3.88063201107201,17,0.00120112186128152,0.0157647244293199
"bin2 vs bin13",-2.86387060392679,22,0.00902208308015662,0.0616474189830788
"bin2 vs bin14",-2.92593227054038,21,0.0080756028966249,0.0605670217246868
"bin2 vs bin15",-2.98261961615315,18,0.00798127496413947,0.0605670217246868
"bin2 vs bin16",-3.00369115564441,20,0.00701734276160382,0.0605670217246868
"bin3 vs bin4",-1.00117142068322,13,0.335015818884425,0.517303837983304
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-0.376572078371638,20,0.710457101350601,0.847704495929694
"bin3 vs bin7",-0.328418022918591,21,0.745847903562617,0.879932919933424
"bin3 vs bin8",-0.425999705988784,20,0.67465758424977,0.814241912025584
"bin3 vs bin9",-2.13470338822348,11,0.056119335118161,0.178561520830512
"bin3 vs bin10",-1.55946102360067,13,0.142891811509112,0.263221758043101
"bin3 vs bin11",-0.28876608446981,24,0.775239889666716,0.900254124604836
"bin3 vs bin12",-2.69215606842942,10,0.0226158409313959,0.0949865319118628
"bin3 vs bin13",-1.5653059197739,15,0.138360342728678,0.263221758043101
"bin3 vs bin14",-1.67506303872685,14,0.116104256906514,0.252444843457712
"bin3 vs bin15",-1.95764226687507,11,0.0761198240986032,0.204937987957778
"bin3 vs bin16",-1.81417766327644,13,0.0927872594828369,0.226752331582526
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",0.917193778081873,15,0.373553161405925,0.560329742108887
"bin4 vs bin7",1.0007189976887,16,0.331857748620901,0.517303837983304
"bin4 vs bin8",0.871786516774822,15,0.397064520156095,0.571120200224519
"bin4 vs bin9",-0.831530487465115,6,0.437508098358429,0.620788517941014
"bin4 vs bin10",-0.2582817405998,8,0.802710004045458,0.900254124604836
"bin4 vs bin11",1.15905367359572,19,0.260794468718007,0.421283372544473
"bin4 vs bin12",-1.33451295326972,5,0.239579722584784,0.399299537641307
"bin4 vs bin13",-0.10258430217028,10,0.92032088315326,0.95732994000379
"bin4 vs bin14",-0.253014004265056,9,0.805941787741473,0.900254124604836
"bin4 vs bin15",-0.765056738313275,6,0.473246071050094,0.65382680868763
"bin4 vs bin16",-0.445734228110338,8,0.66760529433397,0.814241912025584
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.0812416989137914,23,0.935952569521415,0.963480586272045
"bin6 vs bin8",-0.0670475775374763,22,0.947149435038015,0.965540686203802
"bin6 vs bin9",-2.2367495874048,13,0.043456990882393,0.157344277332802
"bin6 vs bin10",-1.53483664498778,15,0.145644595770681,0.263666940619336
"bin6 vs bin11",0.186111205136024,26,0.853802008765943,0.914787866534939
"bin6 vs bin12",-2.88660225670785,12,0.0136620648205745,0.0678274642179492
"bin6 vs bin13",-1.49495639023418,17,0.153257212200921,0.272745886120283
"bin6 vs bin14",-1.64421819732026,16,0.119632875888628,0.252444843457712
"bin6 vs bin15",-2.03803635960248,13,0.0624279159035543,0.192792093231565
"bin6 vs bin16",-1.82781538583165,15,0.0875353802191212,0.224175973731896
"bin7 vs bin8",-0.150112523010457,23,0.881984492710736,0.935438098329569
"bin7 vs bin9",-2.37706620063253,14,0.032253508005029,0.125430308908446
"bin7 vs bin10",-1.6593300486293,16,0.11651932949711,0.252444843457712
