"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.300714888769202,27,0.765935399313611,0.928240366278685
"E_Trias vs L_Trias",0.243393638685054,21,0.810062286484814,0.928240366278685
"E_Trias vs E_Jur",-0.544640552388097,34,0.589555468387126,0.928240366278685
"E_Trias vs M_Jur",-0.958814917031846,12,0.356572543051865,0.928240366278685
"E_Trias vs L_Jur",-0.340243603862779,26,0.736406757547034,0.928240366278685
"E_Trias vs E_Cret",-0.355531454445813,22,0.72557772388564,0.928240366278685
"E_Trias vs L_Cret",-0.445192519933266,12,0.664105145526592,0.928240366278685
"M_Trias vs L_Trias",-0.0451689005320751,28,0.964293288988464,0.964293288988464
"M_Trias vs E_Jur",-1.05441157518337,41,0.297868747275315,0.928240366278685
"M_Trias vs M_Jur",-1.14165596064301,19,0.267781827581212,0.928240366278685
"M_Trias vs L_Jur",-0.762774671186484,33,0.45101619520094,0.928240366278685
"M_Trias vs E_Cret",-0.735851787387483,29,0.467731397538329,0.928240366278685
"M_Trias vs L_Cret",-0.637550894581118,19,0.5313746974811,0.928240366278685
"L_Trias vs E_Jur",-0.934785870774448,35,0.356303672624294,0.928240366278685
"L_Trias vs M_Jur",-1.17186572599257,13,0.262280508320509,0.928240366278685
"L_Trias vs L_Jur",-0.680007469863601,27,0.502289130839181,0.928240366278685
"L_Trias vs E_Cret",-0.668028673174634,23,0.51076393157958,0.928240366278685
"L_Trias vs L_Cret",-0.635502979099142,13,0.536127372447655,0.928240366278685
"E_Jur vs M_Jur",-1.0454158036247,26,0.305453327960254,0.928240366278685
"E_Jur vs L_Jur",0.21767877205636,40,0.828786041320254,0.928240366278685
"E_Jur vs E_Cret",0.132247445296697,36,0.895524979519465,0.964293288988464
"E_Jur vs L_Cret",-0.279701213087748,26,0.78191989641059,0.928240366278685
"M_Jur vs L_Jur",1.11837247054695,18,0.278112032785232,0.928240366278685
"M_Jur vs E_Cret",1.05333915257415,14,0.310026610143876,0.928240366278685
"M_Jur vs L_Cret",0.740985116468948,4,0.499843361129062,0.928240366278685
"L_Jur vs E_Cret",-0.0605030697398533,28,0.9521847624528,0.964293288988464
"L_Jur vs L_Cret",-0.376615835357911,18,0.710861941789516,0.928240366278685
"E_Cret vs L_Cret",-0.328745472039989,14,0.747213934920319,0.928240366278685
