"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.67103205362119,27,0.0126541838886607,0.0236211432588333
"E_Trias vs L_Trias",1.18620000874455,21,0.248791101036052,0.33172146804807
"E_Trias vs E_Jur",2.42002240544255,34,0.0210139134982608,0.0367743486219563
"E_Trias vs M_Jur",-4.33245584718615,12,0.000974481895508861,0.00248049937038619
"E_Trias vs L_Jur",1.03044236323803,26,0.312293326036773,0.377277189111669
"E_Trias vs E_Cret",0.0455608488555414,22,0.964071313036591,0.964071313036591
"E_Trias vs L_Cret",-3.88365249910855,12,0.00217345283139792,0.00507138993992847
"M_Trias vs L_Trias",-1.31368129579854,28,0.199616162385871,0.294171186673915
"M_Trias vs E_Jur",-0.449866708063266,41,0.655176126393794,0.733797261561049
"M_Trias vs M_Jur",-6.49757654704653,19,3.17263177174176e-06,4.44168448043847e-05
"M_Trias vs L_Jur",-1.97346559746205,33,0.056864898176693,0.0936598322910238
"M_Trias vs E_Cret",-2.92448325819539,29,0.00663339702911836,0.0142873166781011
"M_Trias vs L_Cret",-5.99782066043044,19,9.02087399157203e-06,6.31461179410042e-05
"L_Trias vs E_Jur",1.00166535351054,35,0.323380447810002,0.377277189111669
"L_Trias vs M_Jur",-5.05641855313201,13,0.000219950690071524,0.000769827415250335
"L_Trias vs L_Jur",-0.365470483787446,27,0.717607878275979,0.772808484297208
"L_Trias vs E_Cret",-1.27869377563219,23,0.213757327007389,0.299260257810345
"L_Trias vs L_Cret",-4.60956065348726,13,0.000489124069865898,0.00152171932847168
"E_Jur vs M_Jur",-6.20033165542069,26,1.47152192031541e-06,4.12026137688315e-05
"E_Jur vs L_Jur",-1.63244995806693,40,0.110433504072237,0.171785450779035
"E_Jur vs E_Cret",-2.6293053768534,36,0.0125045338056842,0.0236211432588333
"E_Jur vs L_Cret",-5.73444617101361,26,4.89707072648393e-06,4.57059934471834e-05
"M_Jur vs L_Jur",5.62292865221087,18,2.46164101116442e-05,0.000137851896625207
"M_Jur vs E_Cret",4.97198447660012,14,0.000204898323887148,0.000769827415250335
"M_Jur vs L_Cret",0.34761559886787,4,0.745649877622123,0.773266539756276
"L_Jur vs E_Cret",-1.09745102409641,28,0.281792844242311,0.358645438126578
"L_Jur vs L_Cret",-5.11103515405619,18,7.30538735906894e-05,0.00034091807675655
"E_Cret vs L_Cret",-4.44904728523499,14,0.000550403586143888,0.00154113004120289
