"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.608685320161087,27,0.547820386490421,0.667630561115473
"E_Trias vs L_Trias",0.609993324974616,21,0.548410818059138,0.667630561115473
"E_Trias vs E_Jur",-2.44619187133033,34,0.0197647032285149,0.0790588129140595
"E_Trias vs M_Jur",-1.62050120595319,12,0.131088405526911,0.262176811053822
"E_Trias vs L_Jur",-1.4962193340932,26,0.146637742844704,0.273723786643447
"E_Trias vs E_Cret",-1.29663105481725,22,0.208194111250877,0.338385641681996
"E_Trias vs L_Cret",-0.102770188728214,12,0.919842814278665,0.953911066659356
"M_Trias vs L_Trias",0.132013581008064,28,0.895917628511275,0.953911066659356
"M_Trias vs E_Jur",-4.38484224737546,41,7.90260646934549e-05,0.00221272981141674
"M_Trias vs M_Jur",-2.55514006110701,19,0.0193468815252402,0.0790588129140595
"M_Trias vs L_Jur",-2.92271453751771,33,0.00622251107773031,0.0580767700588162
"M_Trias vs E_Cret",-2.53459439215956,29,0.0169132811715629,0.0790588129140595
"M_Trias vs L_Cret",-0.546565075814495,19,0.591039147120476,0.674003813524999
"L_Trias vs E_Jur",-3.8718893363292,35,0.000451500958715156,0.00632101342201219
"L_Trias vs M_Jur",-2.25672271659052,13,0.0418841251830662,0.130306167236206
"L_Trias vs L_Jur",-2.61564213191294,27,0.0144010455864414,0.0790588129140595
"L_Trias vs E_Cret",-2.27237748699401,23,0.0327275879643445,0.114546557875206
"L_Trias vs L_Cret",-0.534840066596061,13,0.601789119218749,0.674003813524999
"E_Jur vs M_Jur",-1.88314300392783,26,0.0709144998980995,0.178773379205894
"E_Jur vs L_Jur",1.25285435476157,40,0.217533626795569,0.338385641681996
"E_Jur vs E_Cret",1.11208726117183,36,0.273472232179194,0.403011710579865
"E_Jur vs L_Cret",1.84394195248757,26,0.0766171625168115,0.178773379205894
"M_Jur vs L_Jur",2.0821225619056,18,0.0518728904839194,0.145244093354974
"M_Jur vs E_Cret",1.81497147309,14,0.0910064458767925,0.196013883426938
"M_Jur vs L_Cret",1.62190613978199,4,0.180142367491866,0.315249143110765
"L_Jur vs E_Cret",0.0234420355649051,28,0.981463941956142,0.981463941956142
"L_Jur vs L_Cret",1.06852934444665,18,0.299403004841603,0.419164206778245
"E_Cret vs L_Cret",0.922112352677644,14,0.372088542778791,0.496118057038388
