"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.0640190018260132,43,0.949251786350541,0.979771378309336
"bin1 vs bin3",-0.120047005170439,36,0.905113389643917,0.959968746592033
"bin1 vs bin4",-0.132489100262023,31,0.895453689931891,0.959414667784169
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.87171345593601,38,0.388839197821238,0.752399965856891
"bin1 vs bin7",-1.00954929769774,39,0.318934044865633,0.752399965856891
"bin1 vs bin8",-0.965545376636768,38,0.340376716829151,0.752399965856891
"bin1 vs bin9",-1.07474710117629,29,0.291349103070759,0.752399965856891
"bin1 vs bin10",-0.750426314906222,31,0.458656343935161,0.776756711503096
"bin1 vs bin11",-0.527443496022853,42,0.60066101254775,0.863964470102928
"bin1 vs bin12",-1.063402832566,28,0.296684865184746,0.752399965856891
"bin1 vs bin13",-0.774051699888723,33,0.444410624425766,0.764969107618122
"bin1 vs bin14",-0.836598796169769,32,0.409022352568923,0.753462228416437
"bin1 vs bin15",-0.924301800148371,29,0.362956806401071,0.752399965856891
"bin1 vs bin16",-0.405936605864282,31,0.687577668710355,0.902445690182341
"bin2 vs bin3",-0.197150346130075,25,0.845303983353455,0.947642247651882
"bin2 vs bin4",-0.208719122643638,20,0.836778563933918,0.947642247651882
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.11532656652497,27,0.274539514137432,0.752399965856891
"bin2 vs bin7",-1.31240949460199,28,0.200039025798763,0.752399965856891
"bin2 vs bin8",-1.23892395019826,27,0.226036367976432,0.752399965856891
"bin2 vs bin9",-1.39450100739225,18,0.180140457817144,0.752399965856891
"bin2 vs bin10",-0.985506801729754,20,0.336148293093106,0.752399965856891
"bin2 vs bin11",-0.680062160359071,31,0.501512625416475,0.797860994980755
"bin2 vs bin12",-1.38122926972329,17,0.185095550133659,0.752399965856891
"bin2 vs bin13",-1.01586698006223,22,0.320735357133242,0.752399965856891
"bin2 vs bin14",-1.09028603102271,21,0.287940087998572,0.752399965856891
"bin2 vs bin15",-1.20112924793567,18,0.245268343685829,0.752399965856891
"bin2 vs bin16",-0.549166611719467,20,0.58897072243809,0.863964470102928
"bin3 vs bin4",-0.05529965771509,13,0.956740593199162,0.979771378309336
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-0.915087120661935,20,0.371047657062215,0.752399965856891
"bin3 vs bin7",-1.13706022915739,21,0.26832169029132,0.752399965856891
"bin3 vs bin8",-1.05351633908932,20,0.304666550283881,0.752399965856891
"bin3 vs bin9",-1.43627167399854,11,0.178749436245163,0.752399965856891
"bin3 vs bin10",-0.912989900585173,13,0.3778690208042,0.752399965856891
"bin3 vs bin11",-0.420703233622065,24,0.677715121934541,0.902445690182341
"bin3 vs bin12",-1.46388142965507,10,0.17394000109223,0.752399965856891
"bin3 vs bin13",-0.903775386595149,15,0.380400370267495,0.752399965856891
"bin3 vs bin14",-1.00291513799641,14,0.332922087439141,0.752399965856891
"bin3 vs bin15",-1.21073613959945,11,0.251368297227732,0.752399965856891
"bin3 vs bin16",-0.422843619404191,13,0.679320036580852,0.902445690182341
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",-0.789456201008968,15,0.442146445474243,0.764969107618122
"bin4 vs bin7",-1.05269929928726,16,0.308118112972129,0.752399965856891
"bin4 vs bin8",-0.939305038406525,15,0.362454661317243,0.752399965856891
"bin4 vs bin9",-1.5742440539504,6,0.166496933290861,0.752399965856891
"bin4 vs bin10",-0.917966656279235,8,0.385475625755187,0.752399965856891
"bin4 vs bin11",-0.29429125259237,19,0.771726397049606,0.920809905570552
"bin4 vs bin12",-1.66643292315691,5,0.156504998640338,0.752399965856891
"bin4 vs bin13",-0.871424662438515,10,0.403958181195928,0.753462228416437
"bin4 vs bin14",-0.984859310986089,9,0.350427367608168,0.752399965856891
"bin4 vs bin15",-1.30030580576592,6,0.24120698175999,0.752399965856891
