"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-2.31511161697648,43,0.0254457582281415,0.0424095970469026
"bin1 vs bin3",-3.58857288361116,36,0.000982073737392453,0.00245518434348113
"bin1 vs bin4",-5.25970156434819,31,1.01988536729269e-05,6.29929197445488e-05
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-5.42240766745924,38,3.52605291964458e-06,2.99206723689634e-05
"bin1 vs bin7",-5.53570094941727,39,2.28462217477521e-06,2.39885328351397e-05
"bin1 vs bin8",-5.51412885090723,38,2.64069605160344e-06,2.52066441289419e-05
"bin1 vs bin9",-6.67557321569408,29,2.54282407574635e-07,1.28614808253547e-05
"bin1 vs bin10",-6.19163735680361,31,7.12114892387206e-07,1.28614808253547e-05
"bin1 vs bin11",-4.03248705146069,42,0.000227777551289998,0.000791502178260467
"bin1 vs bin12",-6.34091139027531,28,7.34941761448837e-07,1.28614808253547e-05
"bin1 vs bin13",-6.15008767635306,33,6.20713537236028e-07,1.28614808253547e-05
"bin1 vs bin14",-6.51772739659438,32,2.44582065933585e-07,1.28614808253547e-05
"bin1 vs bin15",-6.38993783461423,29,5.49670240213018e-07,1.28614808253547e-05
"bin1 vs bin16",-5.99021533857095,31,1.26174414627478e-06,1.89261621941217e-05
"bin2 vs bin3",-1.94507910406245,25,0.0630950318447026,0.0860386797882308
"bin2 vs bin4",-4.55239081167536,20,0.000193646186791963,0.000753068504190965
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-3.83835437088809,27,0.000677685126496685,0.0017789234570538
"bin2 vs bin7",-3.87698929664693,28,0.000583826884159366,0.00160563710465544
"bin2 vs bin8",-3.91877859592449,27,0.000548442498402357,0.0015606427309493
"bin2 vs bin9",-6.95263074050462,18,1.70123766318753e-06,2.23287443293363e-05
"bin2 vs bin10",-5.81533908141603,20,1.08858532115175e-05,6.35008104005186e-05
"bin2 vs bin11",-1.90451849544231,31,0.0661584521376914,0.0890594548007385
"bin2 vs bin12",-6.9683693018639,17,2.26623489574251e-06,2.39885328351397e-05
"bin2 vs bin13",-5.41043324747258,22,1.96181991944933e-05,0.000106755223656663
"bin2 vs bin14",-6.00607064493911,21,5.8298143630342e-06,4.37236077227565e-05
"bin2 vs bin15",-6.553083980201,18,3.70446419806214e-06,2.99206723689634e-05
"bin2 vs bin16",-5.52053675898005,20,2.10284344264178e-05,0.000106755223656663
"bin3 vs bin4",-2.49903893576783,13,0.0266370127424862,0.0437013490306414
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-1.25785759340005,20,0.222931871042587,0.269055706430709
"bin3 vs bin7",-1.20070022583269,21,0.243236565385907,0.290225447335457
"bin3 vs bin8",-1.36876614246716,20,0.186251147994619,0.22739965743529
"bin3 vs bin9",-4.75343506451814,11,0.000596379496014876,0.00160563710465544
"bin3 vs bin10",-3.48677270863873,13,0.00401460641458895,0.00878195153191333
"bin3 vs bin11",0.441629245468228,24,0.662711060553475,0.717367642867164
"bin3 vs bin12",-4.98427781630947,10,0.000549940771858326,0.0015606427309493
"bin3 vs bin13",-2.90830509057758,15,0.0108110261486374,0.0202706740286951
"bin3 vs bin14",-3.52478340456279,14,0.00336533590273014,0.00751830361248222
"bin3 vs bin15",-4.42025359527424,11,0.00102808248332709,0.00251043397091498
"bin3 vs bin16",-3.25828229694716,13,0.00622815675950417,0.0123388011273196
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",2.01281582333753,15,0.0624436965617257,0.0860386797882308
"bin4 vs bin7",2.20755825352928,16,0.0422226290260881,0.0633339435391321
"bin4 vs bin8",1.8155697586646,15,0.0894775725755559,0.115989445931276
"bin4 vs bin9",-2.2928608984513,6,0.0617014768456898,0.0860386797882308
"bin4 vs bin10",-0.682157662505252,8,0.51440101138316,0.57459687441736
"bin4 vs bin11",3.46950453706623,19,0.00256690330460008,0.00612556470415927
"bin4 vs bin12",-2.88177289182252,5,0.0345165658051216,0.0535811909429354
"bin4 vs bin13",0.186818379905997,10,0.855538764848425,0.885542619455143
"bin4 vs bin14",-0.535033085863884,9,0.605591881201631,0.666537796774991
"bin4 vs bin15",-2.00524923587296,6,0.0917564947703766,0.116431109698048
"bin4 vs bin16",-0.531655847113222,8,0.609405985622849,0.666537796774991
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.142170729359212,23,0.888183202475409,0.896723425576134
"bin6 vs bin8",-0.178142297541708,22,0.860241401756425,0.885542619455143
"bin6 vs bin9",-5.07012891321818,13,0.000214711583834459,0.000777404010435111
"bin6 vs bin10",-3.20558849757352,15,0.00589599723224365,0.0121388178310899
"bin6 vs bin11",2.10838178524928,26,0.0447885791258633,0.0662366311016288
"bin6 vs bin12",-5.60158099255003,12,0.000115847209919417,0.000486558281661553
"bin6 vs bin13",-2.29545707320214,17,0.0347001998487582,0.0535811909429354
"bin6 vs bin14",-3.15444682574596,16,0.00613765847732428,0.0123388011273196
"bin6 vs bin15",-4.63683079688695,13,0.000465501275490166,0.00143757746842551
"bin6 vs bin16",-2.92540030226894,15,0.0104423867755179,0.0199559066356554
"bin7 vs bin8",-0.323842760460317,23,0.748983520971748,0.802482343898302
"bin7 vs bin9",-5.42662661107874,14,8.92310194060553e-05,0.000407359001636339
"bin7 vs bin10",-3.47762010418969,16,0.00310698212594906,0.00724962496054782
"bin7 vs bin11",2.06293581328445,27,0.0488571456338902,0.0712500040494232
"bin7 vs bin12",-5.98743644115481,13,4.5379703325521e-05,0.000216584947689987
"bin7 vs bin13",-2.53655256141362,18,0.0206724618481531,0.0355837458041979
"bin7 vs bin14",-3.4303244185767,17,0.00319124585599662,0.00728436554086184
"bin7 vs bin15",-4.96575419021258,14,0.00020728448773788,0.00077731682901705
"bin7 vs bin16",-3.17727888532551,16,0.00585040240310541,0.0121388178310899
"bin8 vs bin9",-4.69465853171205,13,0.000419242383840057,0.00133395303949109
"bin8 vs bin10",-2.9248954987314,15,0.01045309395201,0.0199559066356554
"bin8 vs bin11",2.23212916757598,26,0.0344371268179795,0.0535811909429354
"bin8 vs bin12",-5.16862596484666,12,0.000233681595486424,0.000791502178260467
"bin8 vs bin13",-2.04120588134748,17,0.057069104297057,0.0809764317728512
"bin8 vs bin14",-2.87246331511196,16,0.0110546030825629,0.0203637425205106
"bin8 vs bin15",-4.29488668527939,13,0.000871491047326867,0.0022318673163249
"bin8 vs bin16",-2.66884339312272,15,0.0175186912378598,0.0311773318639877
"bin9 vs bin10",2.03367479168006,6,0.088213696957993,0.115780477257366
"bin9 vs bin11",6.21834512483001,17,9.35542368596387e-06,6.13949679391379e-05
"bin9 vs bin12",-0.968081095691528,3,0.404412311297553,0.456594545013367
"bin9 vs bin13",3.21553872717886,8,0.0123214144368,0.0223060088942069
"bin9 vs bin14",2.30857367499476,7,0.0543007792540953,0.0781038605709589
"bin9 vs bin15",0.251734376499286,4,0.813651017965658,0.862963200872668
"bin9 vs bin16",2.05400286857993,6,0.0857654537024615,0.113992058718461
"bin10 vs bin11",4.7324477041487,19,0.0001449176417605,0.000585244322494328
"bin10 vs bin12",-2.91368481824742,5,0.0332569049480782,0.0535811909429354
"bin10 vs bin13",1.1031882488114,10,0.295785300409452,0.348960185876319
"bin10 vs bin14",0.217014845719224,9,0.833036455723062,0.874688278509215
"bin10 vs bin15",-1.69209645521781,6,0.141575752434672,0.174887694184007
"bin10 vs bin16",0.146325112404987,8,0.887284765616145,0.896723425576134
"bin11 vs bin12",-6.44687355169899,16,8.06855448320931e-06,5.64798813824652e-05
"bin11 vs bin13",-4.08271828420308,21,0.000533165808537461,0.0015606427309493
"bin11 vs bin14",-4.81586942679533,20,0.000105078527433244,0.000459718557520444
"bin11 vs bin15",-5.79932832544038,17,2.13510447313325e-05,0.000106755223656663
"bin11 vs bin16",-4.4379824981471,19,0.000282263817728889,0.000926178151922918
"bin12 vs bin13",4.069295911939,7,0.00475344929019239,0.010185962764698
"bin12 vs bin14",3.17274118382893,6,0.0192518479367632,0.0336907338893355
"bin12 vs bin15",1.16131389176072,3,0.329519532095119,0.384439454110972
"bin12 vs bin16",2.83965186021647,5,0.036261268035616,0.0551801904889809
"bin13 vs bin14",-0.921352150372911,11,0.37663140455207,0.434574697560081
"bin13 vs bin15",-2.81296690670098,8,0.0227388820138175,0.0385093969588844
"bin13 vs bin16",-0.892813009279783,10,0.392935489007463,0.448458982019387
"bin14 vs bin15",-1.95096949772664,7,0.0920360200470283,0.116431109698048
"bin14 vs bin16",-0.0535739399782256,9,0.95844496824096,0.95844496824096
"bin15 vs bin16",1.73178424598465,6,0.134023968335947,0.167529960419933
