"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.48087608402955,43,0.633042415586792,0.752207391723612
"bin1 vs bin3",0.0714039731421697,36,0.943471462877509,0.963059820576177
"bin1 vs bin4",0.646696878276726,31,0.522587881152925,0.669167408793379
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-3.32331578478864,38,0.00197640112095798,0.0345870196167647
"bin1 vs bin7",-3.94205817623994,39,0.000325525790485726,0.0170901040005006
"bin1 vs bin8",-3.65957288827103,38,0.000764187791546078,0.0200599295280846
"bin1 vs bin9",-2.85900033388374,29,0.00779270076284178,0.0604542638024064
"bin1 vs bin10",-2.24607444042003,31,0.0319671751683388,0.101713739171987
"bin1 vs bin11",-2.13681214328176,42,0.0384825000762044,0.108796152455367
"bin1 vs bin12",-2.29381206175168,28,0.0295124611820181,0.0985714248908905
"bin1 vs bin13",-2.6115993674716,33,0.0134566290919793,0.0642248206662649
"bin1 vs bin14",-2.6806791149521,32,0.0115158249523484,0.0604542638024064
"bin1 vs bin15",-2.28451632712913,29,0.0298448626449883,0.0985714248908905
"bin1 vs bin16",-0.702867639069707,31,0.487383393414908,0.639690703857067
"bin2 vs bin3",-0.282727269328593,25,0.779713642300706,0.844019922078083
"bin2 vs bin4",0.322453841918891,20,0.750455400041962,0.838274648983042
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-3.57544903937011,27,0.00134472516613848,0.0282392284889081
"bin2 vs bin7",-4.21549768084949,28,0.000235195644030517,0.0170901040005006
"bin2 vs bin8",-3.89310947641573,27,0.000586813780977469,0.0200599295280846
"bin2 vs bin9",-2.95736638320646,18,0.00843092533212109,0.0604542638024064
"bin2 vs bin10",-2.42994778015594,20,0.0246416672296326,0.0985714248908905
"bin2 vs bin11",-2.47092336380034,31,0.0191772525452749,0.0875483268371246
"bin2 vs bin12",-2.37388405022658,17,0.0296496331531486,0.0985714248908905
"bin2 vs bin13",-2.82912393259741,22,0.00976671047279787,0.0604542638024064
"bin2 vs bin14",-2.86054590668849,21,0.00936364721204441,0.0604542638024064
"bin2 vs bin15",-2.39587437892492,18,0.0276600354003373,0.0985714248908905
"bin2 vs bin16",-0.945348903038605,20,0.355762762034708,0.518820694633949
"bin3 vs bin4",0.453434852364657,13,0.657711944446162,0.752207391723612
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-2.81741900188094,20,0.0106389020261717,0.0604542638024064
"bin3 vs bin7",-3.38670063303333,21,0.00278359147091689,0.0417538720637534
"bin3 vs bin8",-3.09965194810772,20,0.00564933386576416,0.0539254596277488
"bin3 vs bin9",-2.48989872314795,11,0.0300408152048428,0.0985714248908905
"bin3 vs bin10",-1.94694285439556,13,0.0734750949685747,0.152369514629016
"bin3 vs bin11",-1.77839339192414,24,0.0880118725326267,0.168022665744105
"bin3 vs bin12",-1.99869726860892,10,0.0735475109540755,0.152369514629016
"bin3 vs bin13",-2.25675105393289,15,0.0393738456505139,0.108796152455367
"bin3 vs bin14",-2.30436023524745,14,0.0370426810419755,0.108041153039095
"bin3 vs bin15",-1.97412904115401,11,0.074008049962665,0.152369514629016
"bin3 vs bin16",-0.619834090328714,13,0.546078467571049,0.690822157770604
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",-2.86474776279941,15,0.0118087384030321,0.0604542638024064
"bin4 vs bin7",-3.3801511335605,16,0.00381670039611826,0.0445281712880463
"bin4 vs bin8",-3.08823844977945,15,0.00749512609963165,0.0604542638024064
"bin4 vs bin9",-2.37594525522178,6,0.0550719818530996,0.125707784664684
"bin4 vs bin10",-2.00588912811141,8,0.0797848867544546,0.155541514665617
"bin4 vs bin11",-2.06567112311612,19,0.0527722473456174,0.125707784664684
"bin4 vs bin12",-1.92438740767955,5,0.112295240844116,0.193295086698889
"bin4 vs bin13",-2.31954218793106,10,0.0428061290377177,0.115247270486163
