"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.443310024116401,27,0.661073468489687,0.971456067541069
"E_Trias vs L_Trias",0.153272712503957,21,0.879646485415741,0.971456067541069
"E_Trias vs E_Jur",0.860424066057379,34,0.395582299754248,0.834579008199438
"E_Trias vs M_Jur",-1.52434212770241,12,0.15333536605736,0.357782520800506
"E_Trias vs L_Jur",0.369283007268756,26,0.714907318061372,0.971456067541069
"E_Trias vs E_Cret",0.0802535200475292,22,0.936761207986031,0.971456067541069
"E_Trias vs L_Cret",-1.63024035659255,12,0.129000386006787,0.328364618926367
"M_Trias vs L_Trias",-0.267466855623127,28,0.79107007892147,0.971456067541069
"M_Trias vs E_Jur",0.448252505183734,41,0.65633091762006,0.971456067541069
"M_Trias vs M_Jur",-2.09748980418045,19,0.0495601155932242,0.236542968199399
"M_Trias vs L_Jur",-0.0965772803305074,33,0.923646253989945,0.971456067541069
"M_Trias vs E_Cret",-0.380929456109073,29,0.706031990233202,0.971456067541069
"M_Trias vs L_Cret",-2.22855559998274,19,0.0381166133294968,0.236542968199399
"L_Trias vs E_Jur",0.673819904245936,35,0.504851793026726,0.942390013649889
"L_Trias vs M_Jur",-1.64686273589607,13,0.12353301228366,0.328364618926367
"L_Trias vs L_Jur",0.189238652339384,27,0.851321154659142,0.971456067541069
"L_Trias vs E_Cret",-0.0831870253067206,23,0.934422602641171,0.971456067541069
"L_Trias vs L_Cret",-1.7558419974387,13,0.102632422560603,0.328364618926367
"E_Jur vs M_Jur",-2.53794185410524,26,0.0174846115665777,0.236542968199399
"E_Jur vs L_Jur",-0.559069239825134,40,0.579231349862707,0.971456067541069
"E_Jur vs E_Cret",-0.820574102469066,36,0.417289504099719,0.834579008199438
"E_Jur vs L_Cret",-2.6818467146992,26,0.0125509881639159,0.236542968199399
"M_Jur vs L_Jur",2.09394517457927,18,0.0506877788998712,0.236542968199399
"M_Jur vs E_Cret",1.68604420262338,14,0.11393513615376,0.328364618926367
"M_Jur vs L_Cret",-0.0319632054172172,4,0.976032696928,0.976032696928
"L_Jur vs E_Cret",-0.299755713377118,28,0.766577528880985,0.971456067541069
"L_Jur vs L_Cret",-2.23388549997354,18,0.0384172673780121,0.236542968199399
"E_Cret vs L_Cret",-1.80115593283833,14,0.0932503507122753,0.328364618926367
