"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",2.94973909458608,27,0.0064967279773982,0.0113692739604468
"E_Trias vs L_Trias",0.552607879125399,21,0.586366517213289,0.631471633922004
"E_Trias vs E_Jur",4.54537447932151,34,6.62079150530737e-05,0.000211916827219759
"E_Trias vs M_Jur",-4.57636809753727,12,0.000636421420407318,0.00118798665142699
"E_Trias vs L_Jur",2.32845010082385,26,0.0279336131548265,0.0411653246492179
"E_Trias vs E_Cret",0.88368934119005,22,0.386419274197886,0.450822486564201
"E_Trias vs L_Cret",-5.36331565455627,12,0.000169892747496903,0.000432454266355752
"M_Trias vs L_Trias",-2.42587735348974,28,0.0219669328801664,0.0341707844802588
"M_Trias vs E_Jur",2.02110170148716,41,0.0498313152831984,0.0664417537109312
"M_Trias vs M_Jur",-6.35867084224989,19,4.22809502742538e-06,2.36773321535821e-05
"M_Trias vs L_Jur",-0.703692320206932,33,0.486560296989204,0.544947532627908
"M_Trias vs E_Cret",-2.13625691420586,29,0.0412261638006712,0.0577166293209397
"M_Trias vs L_Cret",-7.12434605945629,19,8.96522909465958e-07,8.36754715501561e-06
"L_Trias vs E_Jur",4.1138209722283,35,0.000224323497064693,0.000523421493150951
"L_Trias vs M_Jur",-4.95110716297472,13,0.000264916657162662,0.000570589723119579
"L_Trias vs L_Jur",1.78490429320552,27,0.0855176904529587,0.108840696940129
"L_Trias vs E_Cret",0.327247208575921,23,0.74644074030508,0.74644074030508
"L_Trias vs L_Cret",-5.74094330146306,13,6.81161230349225e-05,0.000211916827219759
"E_Jur vs M_Jur",-6.75548335635578,26,3.61107698854113e-07,5.05550778395758e-06
"E_Jur vs L_Jur",-2.69334481929622,40,0.010285561563393,0.0169409249279414
"E_Jur vs E_Cret",-3.89918363710745,36,0.000404184023673038,0.000808368047346075
"E_Jur vs L_Cret",-7.41579549312082,26,7.11287615473566e-08,1.99160532332598e-06
"M_Jur vs L_Jur",6.06164075576254,18,9.93581223562856e-06,4.63671237662666e-05
"M_Jur vs E_Cret",5.19447973715497,14,0.000135951237082654,0.000380663463831432
"M_Jur vs L_Cret",-0.518668543154117,4,0.631364186275124,0.654748045026055
"L_Jur vs E_Cret",-1.47736232786557,28,0.150739156963973,0.183508538912663
"L_Jur vs L_Cret",-6.84101581427458,18,2.10973913072898e-06,1.47681739151029e-05
"E_Cret vs L_Cret",-5.98750990139921,14,3.32546214534268e-05,0.000133018485813707
