"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.320571989930648,43,0.750087517095958,0.972335670309575
"bin1 vs bin3",-0.718191852315903,36,0.477274392718464,0.770981711314442
"bin1 vs bin4",-1.70021889630852,31,0.0991032439946171,0.520292995759442
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.508269041228311,38,0.614202783594187,0.858630164076348
"bin1 vs bin7",-0.3955306811946,39,0.694606670641479,0.935047441248144
"bin1 vs bin8",-0.465268957088315,38,0.644394322394242,0.878719530537603
"bin1 vs bin9",-2.68824360605908,29,0.0117761371807479,0.267428231605222
"bin1 vs bin10",-1.65831771249255,31,0.107339713556761,0.536698567783805
"bin1 vs bin11",-0.572263334470591,42,0.570194269073165,0.809059435847058
"bin1 vs bin12",-3.78860762531758,28,0.000738482148063824,0.0775406255467015
"bin1 vs bin13",-1.35353603975172,33,0.185083472447499,0.626895632483466
"bin1 vs bin14",-1.49831948206686,32,0.143851122858741,0.580937226929531
"bin1 vs bin15",-2.49436583806452,29,0.0185653457308996,0.267428231605222
"bin1 vs bin16",-1.79945873343703,31,0.0816873308590615,0.520292995759442
"bin2 vs bin3",-0.376760765293463,25,0.709530398831648,0.942586930536002
"bin2 vs bin4",-1.24754077804211,20,0.226609826258152,0.717718207175258
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.188151086203782,27,0.852165193866703,0.991703826272496
"bin2 vs bin7",-0.0862831024744712,28,0.931855435080843,0.991703826272496
"bin2 vs bin8",-0.154481680187932,27,0.878378938179976,0.991703826272496
"bin2 vs bin9",-2.10979924121813,18,0.0491371525367672,0.515940101636056
"bin2 vs bin10",-1.21306265499987,20,0.239239402391753,0.717718207175258
"bin2 vs bin11",-0.204936862561417,31,0.838961159108334,0.991703826272496
"bin2 vs bin12",-3.07660162581318,17,0.00683878793126103,0.249711024066143
"bin2 vs bin13",-0.932475585240446,22,0.361212279183905,0.745550404076008
"bin2 vs bin14",-1.06537079809797,21,0.298804721579018,0.736018016813314
"bin2 vs bin15",-1.94970871287696,18,0.066964361419346,0.520292995759442
"bin2 vs bin16",-1.32967130493,20,0.198594009977205,0.651636595237703
"bin3 vs bin4",-0.804854802851158,13,0.435376908437056,0.765971331580689
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.176704579167194,20,0.861517589503039,0.991703826272496
"bin3 vs bin7",0.27384794611911,21,0.786876965559101,0.983596206948876
"bin3 vs bin8",0.201573683460757,20,0.842286084642284,0.991703826272496
"bin3 vs bin9",-1.58916766690154,11,0.140329836472509,0.580937226929531
"bin3 vs bin10",-0.776855292703603,13,0.451149029091397,0.765971331580689
"bin3 vs bin11",0.213100796425938,24,0.833048140761526,0.991703826272496
"bin3 vs bin12",-2.47571578876274,10,0.0327824515306814,0.382461934524616
"bin3 vs bin13",-0.504143253996694,15,0.621484690188595,0.858630164076348
"bin3 vs bin14",-0.632705841620752,14,0.537123562727339,0.794360495443433
"bin3 vs bin15",-1.45465185428139,11,0.173699503700858,0.626895632483466
"bin3 vs bin16",-0.87304663948081,13,0.398477333359661,0.765971331580689
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",0.988497713730773,15,0.338587065720589,0.745550404076008
"bin4 vs bin7",1.09694445781025,16,0.288901325244294,0.736018016813314
"bin4 vs bin8",0.998874823590836,15,0.333697295678919,0.745550404076008
"bin4 vs bin9",-0.759258255956806,6,0.476458062598092,0.770981711314442
"bin4 vs bin10",0.0171041376325184,8,0.986772419020185,0.991703826272496
"bin4 vs bin11",1.14096888700583,19,0.268060601588719,0.736018016813314
"bin4 vs bin12",-1.57016806063676,5,0.177172901661312,0.626895632483466
"bin4 vs bin13",0.313581062149235,10,0.760282439232969,0.973532391700753
"bin4 vs bin14",0.174586040003769,9,0.865269186134117,0.991703826272496
"bin4 vs bin15",-0.641837171179904,6,0.54470433973264,0.794360495443433
"bin4 vs bin16",-0.0502659575496046,8,0.961142814573683,0.991703826272496
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.0960777533735446,23,0.924291068637197,0.991703826272496
"bin6 vs bin8",0.028214929386066,22,0.977745116647247,0.991703826272496
"bin6 vs bin9",-1.78678788698581,13,0.0972994403089704,0.520292995759442
"bin6 vs bin10",-0.958137815856607,15,0.35318297095543,0.745550404076008
"bin6 vs bin11",0.0104983474406524,26,0.991703826272496,0.991703826272496
"bin6 vs bin12",-2.69149160152394,12,0.0196156601052673,0.267428231605222
"bin6 vs bin13",-0.689236259139333,17,0.499974732226746,0.772019807114828
"bin6 vs bin14",-0.816225122182924,16,0.426357101230154,0.765971331580689
"bin6 vs bin15",-1.6451843904779,13,0.123882124764192,0.56700315036403
"bin6 vs bin16",-1.06124956419802,15,0.305365605072851,0.736018016813314
"bin7 vs bin8",-0.0659033890295354,23,0.948024248736432,0.991703826272496
"bin7 vs bin9",-1.91227588163478,14,0.0765233835503052,0.520292995759442
"bin7 vs bin10",-1.06481818602624,16,0.302764454025868,0.736018016813314
"bin7 vs bin11",-0.0997278417075658,27,0.921297197431945,0.991703826272496
"bin7 vs bin12",-2.8480962061991,13,0.0137068953033992,0.267428231605222
"bin7 vs bin13",-0.794932125532909,18,0.437009900857356,0.765971331580689
"bin7 vs bin14",-0.922403238539262,17,0.369224962018595,0.745550404076008
"bin7 vs bin15",-1.76646306941994,14,0.0991034277637033,0.520292995759442
"bin7 vs bin16",-1.17302657753325,16,0.257953337147484,0.736018016813314
"bin8 vs bin9",-1.78416446815553,13,0.0977417530338167,0.520292995759442
"bin8 vs bin10",-0.968809807818985,15,0.348002951681494,0.745550404076008
"bin8 vs bin11",-0.0220727801540653,26,0.982558429076893,0.991703826272496
"bin8 vs bin12",-2.67093577356304,12,0.0203754843127788,0.267428231605222
"bin8 vs bin13",-0.705767336915038,17,0.489892231499472,0.772019807114828
"bin8 vs bin14",-0.830039493307228,16,0.418729546209869,0.765971331580689
"bin8 vs bin15",-1.64365649552075,13,0.12420069007974,0.56700315036403
"bin8 vs bin16",-1.07089438623631,15,0.301146162144804,0.736018016813314
"bin9 vs bin10",0.765582821271819,6,0.472955401767429,0.770981711314442
"bin9 vs bin11",2.05026379693859,17,0.0560865254969714,0.520292995759442
"bin9 vs bin12",-0.716991521497538,3,0.525160583130388,0.794360495443433
"bin9 vs bin13",1.0876560091975,8,0.30842659752177,0.736018016813314
"bin9 vs bin14",0.936739909179062,7,0.380076389676623,0.752981526717839
"bin9 vs bin15",0.115221413931544,4,0.913822121516312,0.991703826272496
"bin9 vs bin16",0.723941001512014,6,0.496346399734814,0.772019807114828
"bin10 vs bin11",1.10604798786946,19,0.282514218690511,0.736018016813314
"bin10 vs bin12",-1.56234084723267,5,0.178967066684663,0.626895632483466
"bin10 vs bin13",0.29193386318261,10,0.776303796054488,0.982071067297846
"bin10 vs bin14",0.155026286246739,9,0.880221671065192,0.991703826272496
"bin10 vs bin15",-0.649370460539192,6,0.540145824294054,0.794360495443433
"bin10 vs bin16",-0.0670106423907462,8,0.94821769508016,0.991703826272496
"bin11 vs bin12",-3.08263841032278,16,0.00713460068760408,0.249711024066143
"bin11 vs bin13",-0.800012574353628,21,0.43266082416843,0.765971331580689
"bin11 vs bin14",-0.944666715895036,20,0.356102555480608,0.745550404076008
"bin11 vs bin15",-1.88865668972747,17,0.0761228242583407,0.520292995759442
"bin11 vs bin16",-1.22447692445897,19,0.235738310965274,0.717718207175258
"bin12 vs bin13",1.92369869341262,7,0.0958068329578632,0.520292995759442
"bin12 vs bin14",1.7545495386285,6,0.129870760115336,0.568184575504594
"bin12 vs bin15",0.861564620636215,3,0.45228783388574,0.765971331580689
"bin12 vs bin16",1.54695075221338,5,0.182546788916872,0.626895632483466
"bin13 vs bin14",-0.137289189794885,11,0.893282897407293,0.991703826272496
"bin13 vs bin15",-0.962996892108296,8,0.363750315467598,0.745550404076008
"bin13 vs bin16",-0.371297636326557,10,0.718161470884573,0.942586930536002
"bin14 vs bin15",-0.816254538703025,7,0.441242691801445,0.765971331580689
"bin14 vs bin16",-0.228655997942951,9,0.824247313076381,0.991703826272496
"bin15 vs bin16",0.60473956198377,6,0.567502258786099,0.809059435847058
