"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-3.36988521785776,43,0.00159703988353477,0.00372642639491446
"bin1 vs bin3",-5.78327840343384,36,1.353983697161e-06,1.57964764668783e-05
"bin1 vs bin4",-6.99568797744369,31,7.49217679008041e-08,1.35213335195061e-06
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-4.82664018992678,38,2.27837100439388e-05,0.000132904975256309
"bin1 vs bin7",-4.64029557674171,39,3.86882490257534e-05,0.000213803481458111
"bin1 vs bin8",-5.43609349242267,38,3.3772334038229e-06,3.22372279455822e-05
"bin1 vs bin9",-7.6519181725416,29,1.9479863055949e-08,1.00002893299589e-06
"bin1 vs bin10",-6.92884060247056,31,9.01422234633742e-08,1.35213335195061e-06
"bin1 vs bin11",-3.94833514482181,42,0.000294458386109975,0.000858982105868267
"bin1 vs bin12",-7.59252999495261,28,2.8572255228454e-08,1.00002893299589e-06
"bin1 vs bin13",-6.60511039786083,33,1.64395176804888e-07,2.15768669556415e-06
"bin1 vs bin14",-6.91327000855655,32,7.94363648193297e-08,1.35213335195061e-06
"bin1 vs bin15",-7.38575731325755,29,3.8814558900313e-08,1.01888217113322e-06
"bin1 vs bin16",-7.46395427633816,31,2.07852919320572e-08,1.00002893299589e-06
"bin2 vs bin3",-3.0394358964137,25,0.00549122968448779,0.0108788512617211
"bin2 vs bin4",-5.19138822185615,20,4.43367776066239e-05,0.000232768082434776
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.87638417788977,27,0.0714511566142439,0.102772211568433
"bin2 vs bin7",-1.61106820615091,28,0.118381969158029,0.160381212165727
"bin2 vs bin8",-2.44171663343987,27,0.0214504195612222,0.0355927604705715
"bin2 vs bin9",-6.45932017953312,18,4.46061973313761e-06,3.9030422664954e-05
"bin2 vs bin10",-5.10577458857437,20,5.39212181533966e-05,0.000257351268459393
"bin2 vs bin11",-0.629440868209203,31,0.53367223184657,0.583704003582186
"bin2 vs bin12",-6.87043066281597,17,2.71532240536665e-06,2.85108852563498e-05
"bin2 vs bin13",-4.35826502219147,22,0.0002514700792422,0.000851753494207451
"bin2 vs bin14",-4.87805812322448,21,7.99778990425715e-05,0.000365116495629131
"bin2 vs bin15",-6.18575352569865,18,7.72110685387517e-06,5.79083014040638e-05
"bin2 vs bin16",-5.68338240893235,20,1.45993417546286e-05,9.58081802647504e-05
"bin3 vs bin4",-2.79630770782658,13,0.0151363133354958,0.0269375067835095
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",1.0688519201042,20,0.297867875523358,0.359495711838535
"bin3 vs bin7",1.32276246958363,21,0.200139038552404,0.250173798190506
"bin3 vs bin8",0.694459868987829,20,0.495382712955352,0.547528261687494
"bin3 vs bin9",-4.55184615205103,11,0.000827627547303145,0.00217252231167075
"bin3 vs bin10",-2.72657171660109,13,0.0172946130370573,0.0302523621803132
