"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-0.754192421377814,43,0.454844199861694,0.672656915288421
"bin1 vs bin3",-1.47917975408556,36,0.147790200673117,0.287369834642172
"bin1 vs bin4",-3.37847190614262,31,0.00198116212329302,0.0354058187163375
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-0.907122730646324,38,0.370058639321705,0.579942643713119
"bin1 vs bin7",-0.505047823458134,39,0.616367474108895,0.780819476307991
"bin1 vs bin8",-0.68414462500987,38,0.498035149643026,0.703570520069229
"bin1 vs bin9",-3.86314878296526,29,0.00057936599535191,0.0202778098373169
"bin1 vs bin10",-3.08190249011922,31,0.00429247678211486,0.0500788957913401
"bin1 vs bin11",-2.10688635547589,42,0.0411409086455468,0.143993180259414
"bin1 vs bin12",-4.54746920871605,28,9.54741517174007e-05,0.0100247859303271
"bin1 vs bin13",-3.33627220911068,33,0.00211068021192951,0.0354058187163375
"bin1 vs bin14",-3.30301092684597,32,0.0023603879144225,0.0354058187163375
"bin1 vs bin15",-3.47228231731004,29,0.00163951532560525,0.0354058187163375
"bin1 vs bin16",-3.93530008594752,31,0.000437136983853614,0.0202778098373169
"bin2 vs bin3",-0.69203162412037,25,0.495295230117368,0.703570520069229
"bin2 vs bin4",-2.3162260573508,20,0.0312762551073753,0.143993180259414
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.209509845617672,27,0.83562305945213,0.935142519898493
"bin2 vs bin7",0.122204585623888,28,0.903609878270294,0.935142519898493
"bin2 vs bin8",-0.0412008476667578,27,0.967438943926762,0.976741241464519
"bin2 vs bin9",-2.81593589243084,18,0.0114390862000373,0.100092004250326
"bin2 vs bin10",-2.10728697398097,20,0.0479136135582798,0.157216544488106
"bin2 vs bin11",-0.974908287362662,31,0.337152387915768,0.536378798956903
"bin2 vs bin12",-3.37855079132267,17,0.00356966129839442,0.0468518045414268
"bin2 vs bin13",-2.19610095783106,22,0.0389202791264549,0.143993180259414
"bin2 vs bin14",-2.21919541073262,21,0.0376217538637942,0.143993180259414
"bin2 vs bin15",-2.50045812145342,18,0.0222867865990115,0.136033351300138
"bin2 vs bin16",-2.72117273988569,20,0.0131534770372592,0.106239622224017
"bin3 vs bin4",-1.43614141158585,13,0.174587445383746,0.327351460094524
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.422986687137224,20,0.676818382194275,0.826348024772079
"bin3 vs bin7",0.706057457140118,21,0.487912261925011,0.703570520069229
"bin3 vs bin8",0.55027949989743,20,0.588221555574106,0.76250942389236
"bin3 vs bin9",-1.95559045598714,11,0.0763865224019014,0.195624020785357
"bin3 vs bin10",-1.29283272667576,13,0.218573845656705,0.395694030930242
"bin3 vs bin11",-0.00606325125422853,24,0.995212373520345,0.995212373520345
"bin3 vs bin12",-2.43482540637889,10,0.0351588182603759,0.143993180259414
"bin3 vs bin13",-1.24839442279424,15,0.23102138905858,0.404287430852515
"bin3 vs bin14",-1.31763363801446,14,0.208782528582964,0.384599394758092
"bin3 vs bin15",-1.70012404808257,11,0.11717255282873,0.2321343027739
"bin3 vs bin16",-1.72754659194125,13,0.107734455857653,0.221806232648109
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",1.85529312200107,15,0.0833131477505726,0.203439081716515
"bin4 vs bin7",2.1165807369121,16,0.0503194153038471,0.160107230512241
"bin4 vs bin8",1.93779673655521,15,0.0717079686078814,0.188703564820438
"bin4 vs bin9",-0.690045271176392,6,0.515954429515851,0.712831777620584
"bin4 vs bin10",0.0579503397497837,8,0.955209522168097,0.973757279880099
"bin4 vs bin11",1.92129577200232,19,0.069825830903381,0.188703564820438
"bin4 vs bin12",-1.1385415212986,5,0.306488412030652,0.519052955858362
"bin4 vs bin13",0.358362966286473,10,0.727521347749744,0.848774905708035
"bin4 vs bin14",0.188844236810384,9,0.854404702283608,0.935142519898493
"bin4 vs bin15",-0.485449236099628,6,0.644574279016869,0.796238815256132
"bin4 vs bin16",-0.153462974523197,8,0.881833603017186,0.935142519898493
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.288185701836649,23,0.77578565357237,0.895137292583504
"bin6 vs bin8",0.141204758479238,22,0.888993193148318,0.935142519898493
"bin6 vs bin9",-2.32327579987736,13,0.0370230443971262,0.143993180259414
"bin6 vs bin10",-1.68412442849768,15,0.112846025870308,0.227862167622738
"bin6 vs bin11",-0.594698044703042,26,0.557185782603504,0.750057784273948
"bin6 vs bin12",-2.81651921088205,12,0.0155600959607656,0.108920671725359
"bin6 vs bin13",-1.72218452140685,17,0.10317850014136,0.22078898360765
"bin6 vs bin14",-1.75864423622936,16,0.0977458143953809,0.219534701075878
"bin6 vs bin15",-2.05193826192856,13,0.0608834756003807,0.172777430757837
"bin6 vs bin16",-2.19132545831088,15,0.0446278841930727,0.15115896258944
"bin7 vs bin8",-0.13896917734848,23,0.890684157493326,0.935142519898493
"bin7 vs bin9",-2.54055877898947,14,0.0235444209096751,0.136033351300138
"bin7 vs bin10",-1.92731667611969,16,0.0718870723125478,0.188703564820438
