"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",0.487863757468554,27,0.629584677432584,0.881418548405618
"E_Trias vs L_Trias",0.655816931748575,21,0.519063168068831,0.867114719589354
"E_Trias vs E_Jur",0.75446699955146,34,0.455763019643071,0.867114719589354
"E_Trias vs M_Jur",-0.659135298464899,12,0.522256732505499,0.867114719589354
"E_Trias vs L_Jur",-0.0317786227358996,26,0.974891292982485,0.974891292982485
"E_Trias vs E_Cret",-0.281910621396162,22,0.780646943201811,0.886886266024711
"E_Trias vs L_Cret",-2.83625433332732,12,0.0150006250942711,0.420017502639592
"M_Trias vs L_Trias",0.0323144519862856,28,0.974450537141345,0.974891292982485
"M_Trias vs E_Jur",0.316201752636848,41,0.753453601095086,0.886886266024711
"M_Trias vs M_Jur",-0.597190207303803,19,0.557430891164585,0.867114719589354
"M_Trias vs L_Jur",-0.5326819473557,33,0.597822763603753,0.881001967416056
"M_Trias vs E_Cret",-0.692280710830512,29,0.494267402232403,0.867114719589354
"M_Trias vs L_Cret",-1.52527411257841,19,0.143664544225144,0.670434539717338
"L_Trias vs E_Jur",0.265917800474959,35,0.791862737522063,0.886886266024711
"L_Trias vs M_Jur",-0.8143083373445,13,0.430132967809019,0.867114719589354
"L_Trias vs L_Jur",-0.60277326533478,27,0.551689310972042,0.867114719589354
"L_Trias vs E_Cret",-0.826728304306985,23,0.416885767296369,0.867114719589354
"L_Trias vs L_Cret",-2.11422002630273,13,0.0543892953007454,0.670434539717338
"E_Jur vs M_Jur",-0.705980007230287,26,0.486478866279608,0.867114719589354
"E_Jur vs L_Jur",-0.85782741297498,40,0.396098733168643,0.867114719589354
"E_Jur vs E_Cret",-0.972177988154687,36,0.337449192586769,0.867114719589354
"E_Jur vs L_Cret",-1.5409416211687,26,0.135415008448528,0.670434539717338
"M_Jur vs L_Jur",0.395962739939231,18,0.69678672243134,0.886886266024711
"M_Jur vs E_Cret",0.309584511295981,14,0.761436838415729,0.886886266024711
"M_Jur vs L_Cret",-1.67609977906578,4,0.169026678848466,0.676106715393863
"L_Jur vs E_Cret",-0.212881510045672,28,0.832961712551544,0.897035690440124
"L_Jur vs L_Cret",-1.56852344365783,18,0.134170604001515,0.670434539717338
"E_Cret vs L_Cret",-1.68342660199764,14,0.114448957259522,0.670434539717338
