"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",3.38086772975009,27,0.00221582491753436,0.003446838760609
"E_Trias vs L_Trias",1.84791795535219,21,0.0787488005659776,0.0958681050368422
"E_Trias vs E_Jur",6.24077250651442,34,4.20025465075469e-07,2.35214260442262e-06
"E_Trias vs M_Jur",-3.99750329878272,12,0.00176962906050671,0.00309685085588673
"E_Trias vs L_Jur",1.90135417119674,26,0.0683929836917225,0.0870456156076469
"E_Trias vs E_Cret",-0.113808344557613,22,0.910421946898832,0.910421946898832
"E_Trias vs L_Cret",-7.0892526600891,12,1.26645707017037e-05,4.62328313306504e-05
"M_Trias vs L_Trias",-1.360438082227,28,0.184543486291384,0.198739139083029
"M_Trias vs E_Jur",3.00677987693351,41,0.00449419491671521,0.00662302408779084
"M_Trias vs M_Jur",-5.2991999014859,19,4.09307955846483e-05,0.000104187479670014
"M_Trias vs L_Jur",-1.67688890135978,33,0.103013624158347,0.120182561518072
"M_Trias vs E_Cret",-3.59154149110274,29,0.00119737441464385,0.00223509890733518
"M_Trias vs L_Cret",-7.54615415580947,19,3.94595054853397e-07,2.35214260442262e-06
"L_Trias vs E_Jur",4.09281749951371,35,0.000238477041107021,0.000513642857768969
"L_Trias vs M_Jur",-4.42060429086786,13,0.000690954714392733,0.00138190942878547
"L_Trias vs L_Jur",-0.123488234446333,27,0.902635183472524,0.910421946898832
"L_Trias vs E_Cret",-1.972643933092,23,0.0606746223167767,0.0808994964223689
"L_Trias vs L_Cret",-6.77024675034763,13,1.32093803801858e-05,4.62328313306504e-05
"E_Jur vs M_Jur",-6.87363731605521,26,2.68968810557269e-07,2.35214260442262e-06
"E_Jur vs L_Jur",-4.82681198180258,40,2.0527017953631e-05,5.74756502701668e-05
"E_Jur vs E_Cret",-6.61924057976971,36,1.04241266063454e-07,1.45937772488836e-06
"E_Jur vs L_Cret",-9.08679384264829,26,1.49759338263777e-09,4.19326147138577e-08
"M_Jur vs L_Jur",4.68371553091497,18,0.000184934207290155,0.000431513150343695
"M_Jur vs E_Cret",3.74698936724277,14,0.00216624531941778,0.003446838760609
"M_Jur vs L_Cret",-1.87813479566061,4,0.133568839984451,0.149597100782585
"L_Jur vs E_Cret",-2.0564981062528,28,0.0491615215093597,0.0688261301131036
"L_Jur vs L_Cret",-7.09894070891681,18,1.28635676821531e-06,6.00299825167146e-06
"E_Cret vs L_Cret",-6.45275626458485,14,1.51572005073763e-05,4.71557349118375e-05
