"","t_statistic","degrees_freedom","p_value","p_adjusted"
"E_Trias vs M_Trias",1.87607127816961,27,0.071495639021725,0.125117368288019
"E_Trias vs L_Trias",2.25261796317382,21,0.0351057504683459,0.0756123856241295
"E_Trias vs E_Jur",3.30631362345876,34,0.00223776262601483,0.00895105050405931
"E_Trias vs M_Jur",0.361089281598759,12,0.724309831969663,0.780025972890407
"E_Trias vs L_Jur",-0.206968319702397,26,0.837646988389935,0.837646988389935
"E_Trias vs E_Cret",-0.854824119981043,22,0.401861958066064,0.56260674129249
"E_Trias vs L_Cret",-6.42119082870354,12,3.29753862597926e-05,0.000923310815274192
"M_Trias vs L_Trias",0.289317637522513,28,0.774469787662125,0.803153853871834
"M_Trias vs E_Jur",1.35392460039768,41,0.183176845080457,0.29483717290597
"M_Trias vs M_Jur",-0.64780974832021,19,0.524859508036158,0.638959401087496
"M_Trias vs L_Jur",-2.09523404248039,33,0.043904111779683,0.087808223559366
"M_Trias vs E_Cret",-2.48180444667953,29,0.0191108796746342,0.0486458755354325
"M_Trias vs L_Cret",-3.87657673854642,19,0.00101571843395543,0.00474001935845865
"L_Trias vs E_Jur",0.905855270205215,35,0.371206565483493,0.547041254396727
"L_Trias vs M_Jur",-0.799301129233944,13,0.438476736632398,0.584635648843197
"L_Trias vs L_Jur",-2.29033137467338,27,0.0300383061313367,0.0700893809731191
"L_Trias vs E_Cret",-2.7235939297344,23,0.0121117925073357,0.0339130190205401
"L_Trias vs L_Cret",-4.30506722683271,13,0.000855206028012034,0.00474001935845865
"E_Jur vs M_Jur",-1.34720782708659,26,0.189538182582409,0.29483717290597
"E_Jur vs L_Jur",-3.69569010911149,40,0.000656764630947437,0.00459735241663206
"E_Jur vs E_Cret",-3.98760572011753,36,0.000312585775576135,0.0029174672387106
"E_Jur vs L_Cret",-4.71109642891619,26,7.2056909478535e-05,0.00100879673269949
"M_Jur vs L_Jur",-0.396137747521704,18,0.696659907372574,0.780025972890407
"M_Jur vs E_Cret",-0.690045320922562,14,0.501445276086196,0.638203078655159
"M_Jur vs L_Cret",-2.44487460562602,4,0.070835253096651,0.125117368288019
"L_Jur vs E_Cret",-0.544748703524632,28,0.590239165919054,0.688612360238896
"L_Jur vs L_Cret",-3.33362201267179,18,0.00369636237911664,0.0129372683269082
"E_Cret vs L_Cret",-3.41495023906104,14,0.00418652472531411,0.0130247435898661
