"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.0612613164084932,43,0.951434959031776,0.990017740037246
"bin1 vs bin3",0.0273302998972722,36,0.978347235721487,0.990017740037246
"bin1 vs bin4",-0.696118393710703,31,0.491541295072831,0.904103763435948
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",0.0457912956357355,38,0.963716399328561,0.990017740037246
"bin1 vs bin7",0.159868736417096,39,0.873809614099936,0.990017740037246
"bin1 vs bin8",0.126623232033228,38,0.899906249737682,0.990017740037246
"bin1 vs bin9",-0.643481851030462,29,0.524967857851435,0.918693751240012
"bin1 vs bin10",-0.559050414969196,31,0.580143947707134,0.982501846923371
"bin1 vs bin11",-0.843271046806221,42,0.403853995147048,0.864829725730507
"bin1 vs bin12",-0.983015929858103,28,0.334017984464894,0.860443118286893
"bin1 vs bin13",-0.83121977747471,33,0.411823678919289,0.864829725730507
"bin1 vs bin14",-0.683180477795819,32,0.499409697897952,0.904103763435948
"bin1 vs bin15",-0.608754974633529,29,0.547426181907515,0.942290968857198
"bin1 vs bin16",-0.712972111948609,31,0.48119588881118,0.904103763435948
"bin2 vs bin3",-0.0292240484307536,25,0.976917950640018,0.990017740037246
"bin2 vs bin4",-0.794444305634743,20,0.436262944612525,0.879954763971601
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-0.0126276085593268,27,0.990017740037246,0.990017740037246
"bin2 vs bin7",0.100813377120635,28,0.920417034930652,0.990017740037246
"bin2 vs bin8",0.0689816610687567,27,0.945512568978687,0.990017740037246
"bin2 vs bin9",-0.733484517936049,18,0.472708875838035,0.904103763435948
"bin2 vs bin10",-0.64717661645296,20,0.52487688968974,0.918693751240012
"bin2 vs bin11",-0.92802065724902,31,0.360566640044031,0.860443118286893
"bin2 vs bin12",-1.10445598089557,17,0.284783142879507,0.860443118286893
"bin2 vs bin13",-0.943793409393178,22,0.35552551768815,0.860443118286893
"bin2 vs bin14",-0.77987200281081,21,0.444167642766617,0.879954763971601
"bin2 vs bin15",-0.695751778830684,18,0.495470065036909,0.904103763435948
"bin2 vs bin16",-0.803915946873376,20,0.430897678590808,0.879954763971601
"bin3 vs bin4",-1.20288105026455,13,0.250472724764669,0.860443118286893
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.0206239244617813,20,0.983750027916602,0.990017740037246
"bin3 vs bin7",0.162523917965817,21,0.872447019811888,0.990017740037246
"bin3 vs bin8",0.133470758697616,20,0.895154960532344,0.990017740037246
"bin3 vs bin9",-1.15945721534225,11,0.270819174444004,0.860443118286893
"bin3 vs bin10",-0.978254854692586,13,0.34580285501634,0.860443118286893
"bin3 vs bin11",-1.08419691177049,24,0.289049367929627,0.860443118286893
"bin3 vs bin12",-1.8511169489028,10,0.093873055813213,0.860443118286893
"bin3 vs bin13",-1.4022208954948,15,0.181204570761856,0.860443118286893
"bin3 vs bin14",-1.1408785068589,14,0.273061353290015,0.860443118286893
"bin3 vs bin15",-1.09827437884346,11,0.295542703650523,0.860443118286893
"bin3 vs bin16",-1.14688724679755,13,0.272099046757046,0.860443118286893
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",1.04092950202507,15,0.314396351398224,0.860443118286893
"bin4 vs bin7",1.26764362588511,16,0.223063673498712,0.860443118286893
"bin4 vs bin8",1.41276594726647,15,0.178137143931921,0.860443118286893
"bin4 vs bin9",-0.199315085337974,6,0.848599258816425,0.990017740037246
"bin4 vs bin10",0.24803736158654,8,0.810353510282821,0.990017740037246
"bin4 vs bin11",0.323438797564466,19,0.749895836274325,0.990017740037246
"bin4 vs bin12",-1.24527588140998,5,0.268206815106528,0.860443118286893
"bin4 vs bin13",-0.0190643880824155,10,0.985164762031131,0.990017740037246
"bin4 vs bin14",0.121969538743429,9,0.905603120682464,0.990017740037246
"bin4 vs bin15",-0.130158195657097,6,0.900695337331973,0.990017740037246
"bin4 vs bin16",-0.0385389409015112,8,0.970202356515791,0.990017740037246
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.133028349897905,23,0.895328005755345,0.990017740037246
"bin6 vs bin8",0.100345623244631,22,0.920978785405612,0.990017740037246
"bin6 vs bin9",-0.981137465774953,13,0.344432507905371,0.860443118286893
"bin6 vs bin10",-0.847655172377155,15,0.409952164102569,0.864829725730507
"bin6 vs bin11",-1.05726153103802,26,0.300117119144025,0.860443118286893
"bin6 vs bin12",-1.51710443622703,12,0.155134285453124,0.860443118286893
"bin6 vs bin13",-1.22478438286038,17,0.237357508080763,0.860443118286893
"bin6 vs bin14",-1.00479841899287,16,0.329948943129457,0.860443118286893
"bin6 vs bin15",-0.930119616814002,13,0.369259811225421,0.861606226192649
"bin6 vs bin16",-1.02256283475124,15,0.322724165450885,0.860443118286893
"bin7 vs bin8",-0.0429003494084713,23,0.966151237452853,0.990017740037246
"bin7 vs bin9",-1.18183549031721,14,0.25695687627508,0.860443118286893
"bin7 vs bin10",-1.05505254144809,16,0.307073203115068,0.860443118286893
"bin7 vs bin11",-1.29850825073431,27,0.205094573414845,0.860443118286893
"bin7 vs bin12",-1.76951540324714,13,0.100244758156791,0.860443118286893
"bin7 vs bin13",-1.48797447954514,18,0.154067467092281,0.860443118286893
"bin7 vs bin14",-1.23172207723824,17,0.234819753372015,0.860443118286893
"bin7 vs bin15",-1.12525883963967,14,0.279401227672579,0.860443118286893
"bin7 vs bin16",-1.23320269980129,16,0.23531156647542,0.860443118286893
"bin8 vs bin9",-1.34056930492804,13,0.203017675932317,0.860443118286893
"bin8 vs bin10",-1.17153422787857,15,0.259657584522,0.860443118286893
"bin8 vs bin11",-1.32417466841569,26,0.196968759190101,0.860443118286893
"bin8 vs bin12",-2.0649810597456,12,0.0612292531324383,0.860443118286893
"bin8 vs bin13",-1.64807381694587,17,0.117694203429185,0.860443118286893
"bin8 vs bin14",-1.35381985691818,16,0.194609506522367,0.860443118286893
