"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",-1.69330322394854,43,0.0976314354962311,0.146447153244347
"bin1 vs bin3",-3.84301787258401,36,0.000475415932186252,0.00136941361762215
"bin1 vs bin4",-6.90599518345533,31,9.60335559962999e-08,2.33113946546126e-06
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",-2.96013663162839,38,0.00527258584095214,0.00907576251311434
"bin1 vs bin7",-2.53939239234146,39,0.015203921577819,0.025339869296365
"bin1 vs bin8",-3.06679586828233,38,0.00397375734839756,0.00719387106175419
"bin1 vs bin9",-6.85457152591555,29,1.57509886022922e-07,2.36264829034383e-06
"bin1 vs bin10",-6.74511282240221,31,1.50202268178745e-07,2.36264829034383e-06
"bin1 vs bin11",-5.26947331039602,42,4.42037598902267e-06,5.15710532052645e-05
"bin1 vs bin12",-7.06109367256418,28,1.11006641212441e-07,2.33113946546126e-06
"bin1 vs bin13",-7.30532599703879,33,2.19900961884179e-08,1.59063308025065e-06
"bin1 vs bin14",-6.94184084100143,32,7.32791209934192e-08,2.33113946546126e-06
"bin1 vs bin15",-6.67494060040222,29,2.54714686898083e-07,3.34313026553734e-06
"bin1 vs bin16",-7.32541622290759,31,3.02977729571552e-08,1.59063308025065e-06
"bin2 vs bin3",-2.16636136788657,25,0.0400190062396786,0.0627163530621828
"bin2 vs bin4",-5.40666408620904,20,2.71864485803519e-05,0.000194090700252669
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",-1.32211739542983,27,0.197221024332862,0.258852594436881
"bin2 vs bin7",-0.83846279744878,28,0.408871907275395,0.482376969257489
"bin2 vs bin8",-1.35364833907347,27,0.187072663689047,0.248640882118354
"bin2 vs bin9",-5.6279642727878,18,2.43580746526195e-05,0.000194090700252669
"bin2 vs bin10",-5.26528601848111,20,3.74655497044074e-05,0.00023140486582134
"bin2 vs bin11",-3.13548720137681,31,0.00374014889259278,0.00691776493272602
"bin2 vs bin12",-6.03696638367234,17,1.33334529401896e-05,0.000118859828875661
"bin2 vs bin13",-5.56463351810629,22,1.35839804429327e-05,0.000118859828875661
"bin2 vs bin14",-5.3282447915633,21,2.77272428932385e-05,0.000194090700252669
"bin2 vs bin15",-5.44237131570704,18,3.60062820468077e-05,0.00023140486582134
"bin2 vs bin16",-5.75947348848457,20,1.23231971596027e-05,0.000118859828875661
"bin3 vs bin4",-3.58945424475779,13,0.00329771559234882,0.00641222476290047
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",0.732478506187013,20,0.472374227237891,0.551103265110873
"bin3 vs bin7",1.40546246521041,21,0.174506193659699,0.237962991354135
"bin3 vs bin8",0.895646250811742,20,0.381095299464495,0.454715982315591
"bin3 vs bin9",-4.23250206250109,11,0.00140648785701991,0.00328180499971313
"bin3 vs bin10",-3.45417215300287,13,0.00427375526187368,0.0076058356355379
"bin3 vs bin11",-0.508888413633349,24,0.615477163527309,0.659439818064974
"bin3 vs bin12",-4.99331480533311,10,0.000542656205215986,0.00149944477757049
"bin3 vs bin13",-3.42691844377045,15,0.00374509587933813,0.00691776493272602
"bin3 vs bin14",-3.34547246780514,14,0.00480707389037005,0.00841237930814759
"bin3 vs bin15",-4.02989673632822,11,0.00198234617561321,0.00421611091326288
"bin3 vs bin16",-3.91501019463096,13,0.00177506485165058,0.00396557041326193
"bin4 vs bin5",NA,NA,NA,NA
"bin4 vs bin6",3.86398247328847,15,0.00152962162138293,0.00349152761402624
"bin4 vs bin7",5.01494658775596,16,0.000126983084099752,0.000551464359385356
"bin4 vs bin8",4.5676272078671,15,0.00037000626851369,0.00121408306856054
"bin4 vs bin9",-1.35357565074832,6,0.224637171875058,0.287645159108306
"bin4 vs bin10",0.201387580748198,8,0.845421819994842,0.870287167641749
"bin4 vs bin11",3.56287344864217,19,0.00207658165437774,0.0042753151707777
"bin4 vs bin12",-2.69224438283399,5,0.0431825893412638,0.0666789982475398
"bin4 vs bin13",0.611820788012544,10,0.554310791371667,0.619176947808777
"bin4 vs bin14",0.482899789649257,9,0.640696304068453,0.679526383102904
"bin4 vs bin15",-1.19631106983908,6,0.276699930077826,0.350042080218936
"bin4 vs bin16",-0.529752439908206,8,0.610665822982132,0.659439818064974
"bin5 vs bin6",NA,NA,NA,NA
"bin5 vs bin7",NA,NA,NA,NA
"bin5 vs bin8",NA,NA,NA,NA
"bin5 vs bin9",NA,NA,NA,NA
"bin5 vs bin10",NA,NA,NA,NA
"bin5 vs bin11",NA,NA,NA,NA
"bin5 vs bin12",NA,NA,NA,NA
"bin5 vs bin13",NA,NA,NA,NA
"bin5 vs bin14",NA,NA,NA,NA
"bin5 vs bin15",NA,NA,NA,NA
"bin5 vs bin16",NA,NA,NA,NA
"bin6 vs bin7",0.553534769415707,23,0.585238712504929,0.646842787505447
"bin6 vs bin8",0.0733145769930266,22,0.942218293287004,0.942218293287004
"bin6 vs bin9",-4.27998104107266,13,0.000895913692239736,0.00223978423059934
"bin6 vs bin10",-3.73096417717624,15,0.00200767186345852,0.00421611091326288
"bin6 vs bin11",-1.35827186769243,26,0.186047480407995,0.248640882118354
"bin6 vs bin12",-4.78981269387317,12,0.000441121013202483,0.00136941361762215
"bin6 vs bin13",-3.84147975735806,17,0.00130763881341944,0.00312050171384185
"bin6 vs bin14",-3.70784382990305,16,0.00191045720368788,0.00417912513306723
"bin6 vs bin15",-4.11902865445413,13,0.00120927558133666,0.00295288223349648
"bin6 vs bin16",-4.20329840962896,15,0.000767771583657373,0.00196624429961035
"bin7 vs bin8",-0.531416074874947,23,0.600225789798602,0.656496957592221
"bin7 vs bin9",-5.43752424761791,14,8.75001471705161e-05,0.000417614338768372
"bin7 vs bin10",-4.88306307652395,16,0.000165803215798288,0.000644790283660009
"bin7 vs bin11",-2.19380705062799,27,0.0370365927818266,0.0589218521529059
"bin7 vs bin12",-6.06603003917176,13,3.9938757959046e-05,0.000232976088094435
"bin7 vs bin13",-5.0299856538544,18,8.70115149766981e-05,0.000417614338768372
"bin7 vs bin14",-4.85479972359026,17,0.000148641284180018,0.000600282109188533
"bin7 vs bin15",-5.21351905449691,14,0.000131301037948894,0.000551464359385356
"bin7 vs bin16",-5.31909571911928,16,6.91706147144533e-05,0.000382258660264084
"bin8 vs bin9",-5.08320295345746,13,0.000209836849696776,0.000759754110971086
"bin8 vs bin10",-4.43436702515265,15,0.000482555274781138,0.00136941361762215
"bin8 vs bin11",-1.58556046910148,26,0.124928004624317,0.177262709264234
"bin8 vs bin12",-5.78069521557466,12,8.73299710268949e-05,0.000417614338768372
"bin8 vs bin13",-4.51273224079127,17,0.000307271342593785,0.00105477977388916
"bin8 vs bin14",-4.37154689601922,16,0.000474474242102785,0.00136941361762215
"bin8 vs bin15",-4.86022746153707,13,0.000311411171338705,0.00105477977388916
"bin8 vs bin16",-4.87700034458162,15,0.000201173895599815,0.000754402108499308
"bin9 vs bin10",1.57775048775403,6,0.165698460111213,0.228925504101018
"bin9 vs bin11",4.30792563210522,17,0.000476773561062682,0.00136941361762215
"bin9 vs bin12",-1.25175645455461,3,0.299371762118695,0.369812176734859
"bin9 vs bin13",1.97350550065595,8,0.0838875079872099,0.127654903458798
"bin9 vs bin14",1.81821545309709,7,0.111860631755782,0.163130087977183
"bin9 vs bin15",0.0789908258611416,4,0.940833765188685,0.942218293287004
"bin9 vs bin16",0.742826393137319,6,0.48564214319857,0.560356319075273
"bin10 vs bin11",3.39165988573154,19,0.00306167234303345,0.00606557728336816
"bin10 vs bin12",-3.0004548299986,5,0.0300835221287301,0.0485964588233333
"bin10 vs bin13",0.410341419175824,10,0.690208980993384,0.724719430043054
"bin10 vs bin14",0.286960205018972,9,0.780639791036089,0.811556218403855
"bin10 vs bin15",-1.40079680126941,6,0.210814736219022,0.273278361765398
"bin10 vs bin16",-0.721189059694403,8,0.491328914014621,0.560755825777556
"bin11 vs bin12",-5.09063965591309,16,0.000109054438944822,0.000497857221269841
"bin11 vs bin13",-3.35876869356443,21,0.00297195589757426,0.0060010647931788
"bin11 vs bin14",-3.27871139192626,20,0.00375535810633698,0.00691776493272602
"bin11 vs bin15",-4.11685968645755,17,0.000719984190794332,0.00193841897521551
"bin11 vs bin16",-4.00692207134743,19,0.000754172776061601,0.00196624429961035
"bin12 vs bin13",3.31439072575764,7,0.0128637269560421,0.0217853440384584
"bin12 vs bin14",3.1540141565646,6,0.0197140755213301,0.0323434051521822
"bin12 vs bin15",1.23594102849556,3,0.304432299421237,0.371690598130579
"bin12 vs bin16",1.86454614086466,5,0.121260280521348,0.174415471982761
"bin13 vs bin14",-0.114881394697521,11,0.910609340491849,0.928291075258681
"bin13 vs bin15",-1.78965529370567,8,0.111298094247132,0.163130087977183
"bin13 vs bin16",-1.13786318959208,10,0.281705289348221,0.352131611685277
