"","t_statistic","degrees_freedom","p_value","p_adjusted"
"bin1 vs bin2",0.609591763221632,43,0.54534014031144,0.784393352502756
"bin1 vs bin3",0.641188694794421,36,0.525461392162867,0.766297863570848
"bin1 vs bin4",-2.22328999005778,31,0.0336200916845506,0.114742534576178
"bin1 vs bin5",NA,NA,NA,NA
"bin1 vs bin6",0.64439927245937,38,0.523187667176422,0.766297863570848
"bin1 vs bin7",1.09732838864571,39,0.279227085456477,0.505497309878105
"bin1 vs bin8",0.960538406200285,38,0.342856691678572,0.606449662428778
"bin1 vs bin9",-1.32637779732181,29,0.195066141667601,0.396093544145262
"bin1 vs bin10",-1.66893259932952,31,0.105201106046228,0.240132959453347
"bin1 vs bin11",-3.72489671955254,42,0.000576548067813931,0.00963680260762101
"bin1 vs bin12",-2.30054194751818,28,0.0290771793081464,0.107492851746252
"bin1 vs bin13",-3.14737789620662,33,0.00348333395554623,0.0336223886756409
"bin1 vs bin14",-2.29656126990088,32,0.0283380689906554,0.107492851746252
"bin1 vs bin15",-1.16689766465155,29,0.252757758709355,0.473920797580041
"bin1 vs bin16",-1.96697561057977,31,0.0581917192166237,0.156670013275525
"bin2 vs bin3",0.0501274343876682,25,0.960419194003451,0.987021411878226
"bin2 vs bin4",-2.1412782474336,20,0.0447500990678444,0.138198835356578
"bin2 vs bin5",NA,NA,NA,NA
"bin2 vs bin6",0.048286723765513,27,0.961843152305671,0.987021411878226
"bin2 vs bin7",0.372741073003062,28,0.712147942774385,0.909851886775493
"bin2 vs bin8",0.255119924768344,27,0.800563817034289,0.944485402119106
"bin2 vs bin9",-1.34237611373403,18,0.196160612338606,0.396093544145262
"bin2 vs bin10",-1.69742329272223,20,0.105124330097219,0.240132959453347
"bin2 vs bin11",-3.56973791874146,31,0.00118803224120079,0.0155929231657603
"bin2 vs bin12",-2.09092812038731,17,0.0518618840562242,0.15126382849732
"bin2 vs bin13",-2.9533148727641,22,0.00734640741031201,0.0482107986301725
"bin2 vs bin14",-2.22691519188425,21,0.0370264222334427,0.121492947953484
"bin2 vs bin15",-1.21279557560052,18,0.24088539848986,0.459872124389734
"bin2 vs bin16",-1.91047661606782,20,0.0705155849375214,0.185103410460994
"bin3 vs bin4",-2.73741640894615,13,0.0169401904088824,0.0810796044180581
"bin3 vs bin5",NA,NA,NA,NA
"bin3 vs bin6",-0.00222490153720607,20,0.998246829898759,0.998246829898759
